name,CF,Ionization Energy (eV),Polarity (Debye),Mass (g/mol),Boiling Point (°C),retentionTime,deltaT,OSHA PEL (ppm),NIOSH REL (ppm),EPA Limit (ppm),temp,pressure,column,sensor,slope,constant,coeffA,coeffB,coeffC,coeffD,lastUpdate,calData
Acetaldehyde,C2H4O,10.23,2.52,44.05,20.2,,,200,25,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Acetone,C3H6O,9.69,2.88,58.08,56,80,20,1000,250,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Acrolein,,,,,,,,,,,,,,,,,,,,,,
Ammonia,NH3,10.18,1.47,17.03,-33.34,,,50,25,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Benzene,C6H6,9.24,0,78.1118,80.1,130,20,1,0.1,0.01,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""},{""PPM"":""10"",""VALUE"":""4.6374"",""STATUS"":""true"",""TIMESTAMP"":""//""}]"
Butyraldehyde,C4H8O,10.18,,,,,,,,,,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,
Ethanol,C2H5OH,10.47,1.69,46.07,78.37,120,20,1000,1000,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Ethylbenzane,C8H10,8.79,0.6,106.17,136,330,30,100,100,0.023,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""},{""PPM"":""10"",""VALUE"":""0.9596"",""STATUS"":""true"",""TIMESTAMP"":""//""}]"
Ethylene Glycol,,,,,,,,,,,,,,,,,,,,,,
Formaldehyde,CH2O,10.88,2.33,30.03,-19,60,20,0.75,0.016,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Hydrogen Sulfide,H2S,10.46,0.97,34.08,-60.2,40,20,20,10,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Isopropanol,C3H8O,10.16,1.66,60.1,85.6,,,400,400,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Styrene,C8H8,8.64,0.14,104.15,145,,,100,50,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Tetrachloroethylene,C2Cl4,9.33,0,165.83,121.1,,,100,25,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Toluene,C7H8,8.82,0.36,92.14,110.6,210,20,200,100,1.3,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""},{""PPM"":""10"",""VALUE"":""2.1483"",""STATUS"":""true"",""TIMESTAMP"":""//""}]"
Trichloroethylene,C2HCl3,10.61,1.65,131.39,87.2,,,100,25,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
O-Xylene,C8H10,8.56,0.07,106.17,144.4,460,30,100,100,0.1,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""},{""PPM"":""10"",""VALUE"":""0.3708"",""STATUS"":""true"",""TIMESTAMP"":""//""}]"
