name,low,high,units,description,color,type,tag,check
Cognitivity Index,90,100,%,Good,#009900,index,,TRUE
Cognitivity Index,80,90,%,Acceptable,#ff9900,index,,TRUE
Cognitivity Index,0,80,%,Poor,#ff0000,index,,TRUE
Quality of sleep index,90,100,%,Good,#009900,index,,TRUE
Quality of sleep index,80,90,%,Acceptable,#ff9900,index,,TRUE
Quality of sleep index,0,80,%,Poor,#ff0000,index,,TRUE
Long term health index,90,100,%,Good,#009900,index,,TRUE
Long term health index,80,90,%,Acceptable,#ff9900,index,,TRUE
Long term health index,0,80,%,Poor,#ff0000,index,,TRUE
Short term health index,90,100,%,Good,#009900,index,,TRUE
Short term health index,80,90,%,Acceptable,#ff9900,index,,TRUE
Short term health index,0,80,%,Poor,#ff0000,index,,TRUE
Building health index,90,100,%,Good,#009900,index,,TRUE
Building health index,80,90,%,Acceptable,#ff9900,index,,TRUE
Building health index,0,80,%,Poor,#ff0000,index,,TRUE
Respiratory tract irritation index,90,100,%,Good,#009900,index,,TRUE
Respiratory tract irritation index,80,90,%,Acceptable,#ff9900,index,,TRUE
Respiratory tract irritation index,0,80,%,Poor,#ff0000,index,,TRUE
Olfactory Comfort Index,90,100,%,Good,#009900,index,,TRUE
Olfactory Comfort Index,80,90,%,Acceptable,#ff9900,index,,TRUE
Olfactory Comfort Index,0,80,%,Poor,#ff0000,index,,TRUE
Risk of virus spreading index,0,5,%,Good,#009900,index,,TRUE
Risk of virus spreading index,5,20,%,Acceptable,#ff9900,index,,TRUE
Risk of virus spreading index,20,100,%,Critical,#ff0000,index,,TRUE
CO2,0,500,ppm,Low,#009900,sensor,,TRUE
CO2,501,1000,ppm,Elevated,#ff9900,sensor,,TRUE
CO2,1000,5000,ppm,Critical,#ff0000,sensor,,TRUE
Total VOC,0,300,ug/m^3,Low,#009900,sensor,,TRUE
Total VOC,300,500,ug/m^3,Acceptable,#ff9900,sensor,,TRUE
Total VOC,500,1000,ug/m^3,Marginal,#ff9900,sensor,,TRUE
Total VOC,1000,3000,ug/m^3,High,#ff0000,sensor,,TRUE
Total VOC,3000,65000,ug/m^3,Very high,#ff0000,sensor,,TRUE
Temperature,0,15,C,Cold,#ff0000,sensor,,TRUE
Temperature,0,20,C,Cool,#ff9900,sensor,,TRUE
Temperature,20,25,C,Comfortable,#009900,sensor,,TRUE
Temperature,25,27,C,Warm,#ff9900,sensor,,TRUE
Temperature,25,50,C,Hot,#ff0000,sensor,,TRUE
Relative Humidity,0,30,%,Over Dry,#ff0000,sensor,,TRUE
Relative Humidity,30,40,%,Good,#009900,sensor,,TRUE
Relative Humidity,40,45,%,Very good,#009900,sensor,,TRUE
Relative Humidity,45,50,%,Good,#009900,sensor,,TRUE
Relative Humidity,50,100,%,High,#ff0000,sensor,,TRUE
O3,0,50,ppb,Low,#009900,sensor,,TRUE
O3,50,100,ppb,Elevated,#ff9900,sensor,,TRUE
O3,100,500,ppb,High,#ff0000,sensor,,TRUE
Sulphurous Odors,0,20,,No odor,#009900,sensor,,TRUE
