name,CF,Ionization Energy (eV),Polarity (Debye),Mass (g/mol),Boiling Point (°C),retentionTime,deltaT,OSHA PEL (ppm),NIOSH REL (ppm),EPA Limit (ppm),temp,pressure,column,sensor,slope,constant,coeffA,coeffB,coeffC,coeffD,lastUpdate,calData
Methane,CH4,12.61,0,16.04,-161.5,,,1000,1000,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Acetylene,C2H2,11.4,0,26.04,-84,,,2500,2500,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Ethylene,C2H4,10.51,0,28.054,-103.7,40,20,1000,1000,10,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Ethane,C2H6,11.52,0,30.07,-88.6,,,1000,1000,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Propane,C3H8,11.13,0,44.1,-42,,,1000,1000,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Butane,C4H10,10.58,0,58.12,-0.5,40,20,800,800,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Isoprene,C5H8,8.86,0,68.117,-12,48,20,NA,NA,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Benzene,C6H6,9.24,0,78.1118,80.1,130,20,1,0.1,0.01,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""},{""PPM"":""10"",""VALUE"":""4.6374"",""STATUS"":""true"",""TIMESTAMP"":""//""}]"
Hexane,C6H14,10.13,0.08,86.178,68.7,45,20,500,50,NA,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]"
Toluene,C7H8,8.82,0.36,92.14,110.6,210,20,200,100,1.3,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""},{""PPM"":""10"",""VALUE"":""2.1483"",""STATUS"":""true"",""TIMESTAMP"":""//""}]"
