name,CF,IE,OSHA,NIOSH,EPA,temp,pressure,column,sensor,retentionTime,deltaT,coeffA,coeffB,coeffC,coeffD,lastUpdate,calData,slope,constant
Benzene,C6H6,9.24,1,0.1,0.01,180,170,Restek_MXT-WAX_70625-273,piD-TECH_045-014,130,20,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""},{""PPM"":""10"",""VALUE"":""4.6374"",""STATUS"":""true"",""TIMESTAMP"":""//""}]",,
Toluene,C7H8,8.82,200,100,1.3,180,170,Restek_MXT-WAX_70625-273,piD-TECH_045-014,210,20,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""},{""PPM"":""10"",""VALUE"":""2.1483"",""STATUS"":""true"",""TIMESTAMP"":""//""}]",,
Ethylbenzane,C8H10,8.76,100,100,0.023,180,170,Restek_MXT-WAX_70625-273,piD-TECH_045-014,330,30,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""},{""PPM"":""10"",""VALUE"":""0.9596"",""STATUS"":""true"",""TIMESTAMP"":""//""}]",,
O-xylene,C8H10,8.56,100,100,0.1,180,170,Restek_MXT-WAX_70625-273,piD-TECH_045-014,460,30,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""},{""PPM"":""10"",""VALUE"":""0.3708"",""STATUS"":""true"",""TIMESTAMP"":""//""}]",,
M-xylene,C8H10,8.44,100,100,0.1,180,170,Restek_MXT-WAX_70625-273,piD-TECH_045-014,460,30,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]",,
P-xylene,C8H10,8.56,100,100,0.1,180,170,Restek_MXT-WAX_70625-273,piD-TECH_045-014,460,30,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]",,
Formaldehyde,CH2O,10.88,0.75,,,180,170,Restek_MXT-WAX_70625-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]",,
Acetone,C3H6O,9.69,1000,,,180,170,Restek_MXT-WAX_70625-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]",,
Acetaldehyde,C2H4O,10.22,0.25,,,180,170,Restek_MXT-WAX_70625-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]",,
Methane,CH4,12.61,1000,,,180,170,Restek_MXT-WAX_70625-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]",,
Ethanol,C2H5OH,10.48,1000,,,180,170,Restek_MXT-WAX_70625-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]",,
Methanol,CH3OH,10.84,,,,180,170,Restek_MXT-WAX_70625-273,piD-TECH_045-014,,,,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]",,
