id,name,Mold,Indoor furniture,Cleaning supplies,Paint,,temp,pressure,column,sensor,retentionTime,deltaT,coeffA,coeffB,coeffC,coeffD,calData,slope,constant
,Ethylene,FALSE,FALSE,,,,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,40,20,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]",,
,Butane,FALSE,FALSE,,,,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,40,20,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]",,
,Nitrogen Dioxide,FALSE,FALSE,,,,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,40,20,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]",,
,Hydrogen Sulfide,FALSE,FALSE,,,,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,40,20,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]",,
,Hexane,FALSE,FALSE,,,,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,45,20,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]",,
,Isoprene,FALSE,FALSE,,,,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,48,20,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]",,
,Heptane,FALSE,FALSE,,,,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,50,20,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]",,
,Formaldehyde,FALSE,TRUE,,,,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,60,20,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]",,
,Acetone,FALSE,FALSE,,,,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,80,20,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]",,
,Propanol,FALSE,FALSE,,,,180,170,Restek_MXT-WAX_70670-273,piD-TECH_045-014,80,20,,,,,"[{""PPM"":""0"",""VALUE"":""0"",""STATUS"":""null"",""TIMESTAMP"":""""}]",,
