input,sec,interval,sum,value,slope
Table,0,10,0.0013672120000000065,0.07332143,-0.0034766200000000136
Table,3,10,0.0019141020000000147,0.06980575,0.00015624999999999667
Table,6,10,0.004726644000000002,0.072227664,-0.00199221799999999
Table,9,10,0,0.06984481,0.00320318
Table,12,10,0.0010546940000000088,0.069962,0.0007031400000000049
Table,15,10,0,0.070235446,0.0008203239999999973
Table,18,10,0.0007812660000000027,0.07304799,-0.002304729999999991
Table,21,10,0,0.07066514,0.0025391000000000025
Table,24,10,0.001601595999999983,0.07105577,-0.0010156399999999982
Table,27,10,0.002617233999999982,0.07074326,-0.0007421940000000016
Table,30,10,0.001914103999999986,0.07320424,-0.00011719000000000313
Table,33,10,0,0.07004013,0.0024609799999999876
Table,36,10,0,0.070001066,0.0002734439999999977
Table,39,10,0,0.07308705,-0.0008203199999999994
Table,42,10,0.004961006000000018,0.07250111,-0.0025781699999999907
Table,45,10,0.004570383999999997,0.07027451,0.0005078160000000081
Table,48,10,0.0010156439999999822,0.07226673,0.0010547000000000056
Table,51,10,0,0.06992294,0.003398490000000004
Table,54,10,0,0.070782326,0.00011719399999998714
Table,57,10,0.000468761000000012,0.07332143,-0.002500040000000009
Table,60,10,0,0.07332143,-0.0009375100000000025
Table,63,10,0,0.07089952,0.0021094050000000086
Table,66,10,0,0.07082139,-0.0007031339999999942
Table,69,10,0.0034766089999999916,0.07238392,-0.001718780000000003
Table,72,10,0.004375063999999998,0.073008925,0.00007812499999999833
Table,75,10,0.003906320000000005,0.070118256,0.000976573999999994
Table,78,10,0,0.07066514,0.0024219099999999993
Table,81,10,0,0.07308705,0.0009765800000000047
Table,84,10,0.00042969000000001034,0.07109483,0.0005078300000000008
Table,87,10,0.0017578199999999933,0.07308705,-0.0017187699999999945
Table,90,10,0,0.07406363,-0.00019531999999999883
Table,93,10,0,0.07160266,0.0023437800000000036
Table,96,10,0,0.07136828,-0.00039064000000001153
Table,99,10,0.0030859849999999994,0.07386831,-0.0022265900000000005
Table,102,10,0.0007031389999999915,0.07394644,0
Table,105,10,0.0018750250000000024,0.07097764,0.0010547100000000004
Table,108,10,0,0.07164172,0.002031274999999999
Table,111,10,0.002656293000000018,0.07394644,-0.002382846000000008
Table,114,10,0,0.07203235,0.0022265960000000112
Table,117,10,0.0007422060000000091,0.073672995,-0.0016015850000000026
Table,120,10,0,0.071563594,0.0020312820000000092
Table,123,10,0,0.074258946,-0.0026172260000000003
Table,126,10,0,0.07207141,0.0013281500000000002
Table,129,10,0,0.073594876,-0.0023437860000000005
Table,132,10,0.0003515599999999869,0.07164172,-0.000507820000000006
Table,135,10,0.005234450000000002,0.07339956,-0.002109410000000006
Table,138,10,0.00011718000000000839,0.07125109,0.002304719999999996
Table,141,10,0,0.0711339,0.00015624999999999667
Table,144,10,0,0.07129015,0.0027734800000000087
Table,147,10,0,0.07355581,-0.002812549999999997
Table,150,10,0,0.07129015,-0.00023437999999999237
Table,153,10,0.001679709999999987,0.07406363,-0.0028516100000000044
Table,156,10,0.00011719000000000313,0.07074326,0.002109409999999992
Table,159,10,0.0021094150000000172,0.07105577,0.000039059999999993544
Table,162,10,0.0024609950000000075,0.07121202,-0.0004687599999999986
Table,165,10,0,0.07285267,0.0005468900000000082
Table,168,10,0,0.07109483,0.0020312850000000077
Table,171,10,0,0.07074326,-0.00011718000000000839
Table,174,10,0.0007812450000000137,0.07339956,-0.0029297300000000054
Table,177,10,0.0035156660000000145,0.073126115,-0.0028125449999999996
Table,180,10,0.0012109460000000044,0.07062608,0.00230472000000001
Table,183,10,0.0012500260000000013,0.07046983,0.0012890700000000033
Table,186,10,0.001210959999999997,0.07031357,-0.00007812399999999886
Table,189,10,0,0.0729308,0
Table,192,10,0,0.0717589,0.0013281500000000002
Table,195,10,0,0.070235446,-0.00011719000000000313
Table,198,10,0.002226613999999988,0.0729308,-0.0020703499999999986
Table,201,10,0.000039073999999986175,0.07308705,-0.00042968999999999646
Table,204,10,0.0017578399999999966,0.070118256,0.00023438399999999027
Table,207,10,0,0.07086045,0.002421919999999994
Table,210,10,0,0.07265736,-0.002617229999999998
Table,213,10,0,0.07035264,0.0019531500000000007
Table,216,10,0.000351565000000012,0.07328237,-0.0029297300000000054
Table,219,10,0,0.07004013,0.0006250099999999953
Table,222,10,0.00445319000000001,0.07230579,-0.002382849999999992
Table,225,10,0.0003906300000000029,0.07035264,0.0021094050000000086
Table,228,10,0.003828190000000009,0.07066514,-0.0008593900000000015
Table,231,10,0,0.06992294,0.0032031750000000025
Table,234,10,0.002460975000000004,0.072462045,-0.001953154999999998
Table,237,10,0,0.06980575,0.0025781700000000046
Table,240,10,0.001484399999999983,0.073126115,-0.0029297350000000028
Table,243,10,0,0.07050889,0.0028125400000000023
Table,246,10,0,0.07238392,-0.0017578400000000105
Table,249,10,0,0.07019638,0.0004296999999999912
Table,252,10,0.0014843960000000267,0.07332143,-0.0033594300000000105
Table,255,10,0,0.07062608,0.0016406500000000074
Table,258,10,0.0005859510000000012,0.07062608,-0.0003125099999999881
Table,261,10,0.0003125049999999907,0.069962,0.0001562560000000074
Table,264,10,0.0018750349999999971,0.07226673,-0.0018359700000000062
Table,267,10,0.00007812499999998446,0.07031357,0.002265665
Table,270,10,0.0035547439999999847,0.070118256,-0.00011719000000000313
Table,273,10,0.004648503999999984,0.07043076,-0.0002734399999999998
Table,276,10,0.0037891190000000075,0.072579235,0.0004687549999999874
Table,279,10,0,0.070001066,0.003359428999999997
Table,282,10,0,0.07015732,0.0008203199999999994
Table,285,10,0,0.07304799,-0.00039062999999998904
Table,288,10,0.0045313160000000074,0.073360495,-0.0029687949999999963
Table,291,10,0.005234453999999986,0.07097764,-0.0001953139999999881
Table,294,10,0.005664143999999996,0.07265736,0.0008984499999999951
Table,297,10,0.0019531539999999986,0.0703917,0.0038281800000000005
Table,300,10,0.0026562900000000056,0.070782326,0.0005078239999999901
Table,303,10,0,0.07355581,0.0013281400000000054
Table,306,10,0,0.07421988,0.00011719000000000313
Table,309,10,0.0010937750000000052,0.07129015,0.001210959999999997
Table,312,10,0.0029687999999999937,0.07488395,-0.0017578349999999993
Table,315,10,0.0064063439999999805,0.07433707,-0.0008203199999999994
Table,318,10,0,0.07250111,0.003671930000000004
Table,321,10,0.0005078139999999953,0.073126115,0.00011718999999998925
Table,324,10,0,0.07351675,0.0026172239999999874
Table,327,10,0.0010547060000000164,0.07617304,-0.0029297350000000028
Table,330,10,0,0.073243305,0.0008203250000000106
Table,333,10,0.004765695,0.076133974,-0.002578163999999994
Table,336,10,0,0.073243305,0.0028125449999999996
Table,339,10,0.00035156000000000076,0.07406363,-0.000507820000000006
Table,342,10,0,0.07355581,0.0024609700000000068
Table,345,10,0,0.07605585,-0.0035547400000000007
Table,348,10,0,0.07355581,0.0014453299999999947
Table,351,10,0.00011718600000001911,0.07601678,-0.0033203600000000083
Table,354,10,0,0.07250111,0.0017187700000000083
Table,357,10,0.0009765860000000154,0.07500114,-0.0031641099999999978
Table,360,10,0,0.07269642,0.0015625260000000085
Table,363,10,0,0.07421988,-0.002851599999999996
Table,366,10,0,0.07183703,0.0022656600000000027
Table,369,10,0.0005078309999999864,0.074258946,-0.0025000460000000058
Table,372,10,0.0018750410000000078,0.07136828,-0.0004687600000000125
Table,375,10,0.0027734789999999954,0.07410269,-0.0005078139999999953
Table,378,10,0,0.0717589,0.0014844049999999942
Table,381,10,0,0.07089952,0.000898450000000009
Table,384,10,0,0.073594876,0.0003906239999999922
Table,387,10,0.0005078199999999922,0.073243305,-0.0017187749999999918
Table,390,10,0.002968789999999999,0.07179797,-0.0006640700000000027
Table,393,10,0.00007811600000000307,0.0739855,-0.00015624999999999667
Table,396,10,0,0.07152453,0.0013281399999999915
Table,399,10,0,0.0711339,0.001796900000000004
Table,402,10,0,0.07382925,-0.0030469239999999925
Table,405,10,3.999999997894577e-9,0.07285267,-0.0019140899999999933
Table,408,10,0.0005078140000000092,0.0729308,-0.0003125000000000072
Table,411,10,0,0.070782326,0.0009375140000000004
Table,414,10,0,0.07093858,-0.0006250099999999953
Table,417,10,0,0.0726183,0.0001953100000000041
Table,420,10,0.00007812999999998183,0.07171984,-0.0010547000000000056
Table,423,10,0,0.07031357,0.0003125099999999881
Table,426,10,0.004101621,0.07281361,-0.0022656600000000027
Table,429,10,0,0.07066514,0.0020312799999999964
Table,432,10,0.0031250589999999995,0.07062608,-0.0006250139999999932
Table,435,10,0,0.07054795,0.0026953549999999965
Table,438,10,0.0016797050000000036,0.07269642,-0.0021093999999999974
Table,441,10,0,0.070001066,0.0025391040000000004
Table,444,10,0.00355473399999999,0.073243305,-0.003242238999999994
Table,447,10,0,0.07058702,0.002382839999999997
Table,450,10,0.0025391040000000004,0.07254017,-0.001992220000000003
Table,453,10,0,0.070001066,0.0031641139999999957
Table,456,10,0.005234454999999999,0.07296986,-0.002890669999999998
Table,459,10,0.002851604999999993,0.07054795,0.0022656600000000027
Table,462,10,0.009765775000000004,0.07316518,-0.0008593900000000015
