input,sec,interval,sum,value,slope
Table,0,10,0,0.064161986,-0.000849096
Table,3,10,0.000587761,0.06362983,-0.00027486
Table,6,10,0.001008299,0.06353712,-0.000109724
Table,9,10,0.001037409,0.06331289,0.00027132
Table,12,10,0.000636144,0.06335497,0.000426165
Table,15,10,0.000532354,0.063427396,0.000310814
Table,18,10,4.2964E-05,0.06358421,0.00030043
Table,21,10,0,0.063781135,2.49E-05
Table,24,10,0,0.06373821,0.000207024
Table,27,10,0.000179126,0.06388464,-0.00018896
Table,30,10,0.000412631,0.063806035,-2.2265E-05
Table,33,10,0.000947675,0.063945234,-0.000159949
Table,36,10,0.000719889,0.06369568,0.00036134
Table,39,10,0.000564129,0.06378377,0.00021124
Table,42,10,0.000220914,0.063785285,0.000375095
Table,45,10,0,0.06405702,0.000133554
Table,48,10,0,0.06399501,5.548E-05
Table,51,10,0,0.06416038,3.188E-05
Table,54,10,0,0.064190574,-0.000103399
Table,57,10,0,0.06405049,1.856E-05
Table,60,10,0,0.06419226,-9.531E-05
Table,63,10,0,0.064087175,-2.5355E-05
Table,66,10,0,0.06406905,-0.00050546
Table,69,10,0.000266405,0.06409695,-0.00052592
Table,72,10,0.000969705,0.06406182,-0.00040613
Table,75,10,0.001128655,0.06356359,0.000331315
Table,78,10,0.001835495,0.06357103,0.00034122
Table,81,10,0.002515085,0.06365569,0.00029717
Table,84,10,0.002873685,0.063894905,0.000490265
Table,87,10,0.001881825,0.06391225,0.00104806
Table,90,10,0.000797295,0.06395286,0.00097676
Table,93,10,0,0.06438517,0.000848865
Table,96,10,0,0.06496031,5.62E-05
Table,99,10,0,0.06492962,-0.00010777
Table,102,10,0,0.065234035,-0.000571139
Table,105,10,0,0.06501651,-0.000886286
Table,108,10,0,0.06482185,-0.001012045
Table,111,10,0,0.064662896,-0.000822156
Table,114,10,0.000184105,0.064130224,-0.000394614
Table,117,10,0.000423515,0.063809805,8.6255E-05
Table,120,10,0.000999395,0.06384074,-0.00018568
Table,123,10,0.000911055,0.06373561,0.00028353
Table,126,10,0.000629545,0.06389606,0.000325665
Table,129,10,0,0.06365506,0.0003902
Table,132,10,0,0.06401914,0.00019519
Table,135,10,0,0.064221725,4.4155E-05
Table,138,10,0,0.06404526,-0.00055155
Table,141,10,0.000286056,0.06421433,-0.00063218
Table,144,10,0.000691728,0.06426588,-0.000441964
Table,147,10,9.5378E-05,0.06349371,0.00044526
Table,150,10,0,0.06358215,0.00028276
Table,153,10,0.000184476,0.063823916,-3.6292E-05
Table,156,10,0.000866156,0.06393897,-0.00015109
Table,159,10,0.001480836,0.06386491,-9.288E-05
Table,162,10,0.001104045,0.063787624,0.000428446
Table,165,10,0.000480255,0.06378788,0.00053059
Table,168,10,0,0.06377203,0.0005218
Table,171,10,0,0.06421607,5.1655E-05
Table,174,10,0,0.06431847,-9.32E-05
Table,177,10,0,0.06429383,-0.00020619
Table,180,10,0,0.064267725,-0.000233255
Table,183,10,0,0.06422527,-0.00019497
Table,186,10,0,0.06408764,-0.00015611
Table,189,10,0,0.06403447,-0.00013305
Table,192,10,0.000753224,0.0640303,-0.00030853
Table,195,10,0.001461924,0.06393153,-0.00015883
Table,198,10,0.001189496,0.06390142,0.000345324
Table,201,10,3.4156E-05,0.06372177,0.00056673
Table,204,10,0,0.0637727,0.00054987
Table,207,10,0,0.064246744,7.2896E-05
Table,210,10,0,0.0642885,-0.00058861
Table,213,10,0,0.06432257,-0.00067354
Table,216,10,0.000375796,0.06431964,-0.00064807
Table,219,10,0.000190876,0.06369989,2.9E-05
Table,222,10,0.000218546,0.06364903,0.00015038
Table,225,10,0.000121238,0.06367157,0.000196416
Table,228,10,0.001141498,0.06372889,-0.00015592
Table,231,10,0.001319378,0.06379941,0.00017805
Table,234,10,0.00146029,0.063867986,9.9108E-05
Table,237,10,0.00044552,0.06357297,0.00086434
Table,240,10,0,0.06397746,0.00035593
Table,243,10,0,0.063967094,0.00024002
Table,246,10,0,0.06443731,-0.00015043
Table,249,10,0,0.06433339,-0.00060465
Table,252,10,0,0.064207114,-0.000344094
Table,255,10,2.776E-05,0.06428688,-0.00068645
Table,258,10,0.00044003,0.06372874,-0.00012943
Table,261,10,0.00078798,0.06386302,-7.963E-05
Table,264,10,0.00065497,0.06360043,0.00023682
Table,267,10,0.000139575,0.06359931,0.00028284
Table,270,10,0,0.06378339,0.00026832
Table,273,10,0,0.06383725,0.00010381
Table,276,10,0.000476046,0.06388215,-0.000232555
Table,279,10,0.001029122,0.06405171,-0.00021215
Table,282,10,0.00123031,0.06394106,-2.7834E-05
Table,285,10,0.000297105,0.063649595,0.00071603
Table,288,10,0.000363048,0.06383956,0.000340926
Table,291,10,0.000901974,0.063913226,0.000173354
Table,294,10,0.001561689,0.064365625,-0.000217175
Table,297,10,0.001148941,0.064180486,0.000406869
Table,300,10,0.000351011,0.06408658,0.00071228
Table,303,10,0,0.06414845,0.00044254
Table,306,10,0,0.064587355,-5.879E-06
Table,309,10,0,0.06479886,-8.565E-05
Table,312,10,0.000830076,0.06459099,-0.000373296
Table,315,10,0.00222861,0.064581476,-0.00027699
Table,318,10,0.00283832,0.06471321,-2.71E-05
Table,321,10,0.00142828,0.064217694,0.001134166
Table,324,10,0,0.064304486,0.001121544
Table,327,10,0,0.06468611,0.00058261
Table,330,10,0.000409208,0.06535186,-0.000275874
Table,333,10,0.001264008,0.06542603,-0.0004361
Table,336,10,0.000989218,0.06526872,0.00025254
Table,339,10,0.000373936,0.065075986,0.000592768
Table,342,10,0.00046941,0.06498993,0.0004187
Table,345,10,0.000936636,0.06552126,-2.225E-05
Table,348,10,0.00098041,0.065668754,-2.2514E-05
Table,351,10,9.9262E-05,0.06540863,0.000514174
Table,354,10,0,0.06549901,0.000444976
Table,357,10,0,0.06564624,2.126E-05
Table,360,10,0,0.065922804,-0.000366974
Table,363,10,0,0.065943986,-0.000618006
Table,366,10,0,0.0656675,-0.00051378
Table,369,10,0,0.06555583,-0.00032636
Table,372,10,0,0.06532598,-0.000219685
Table,375,10,2.9489E-05,0.06515372,-0.00014179
Table,378,10,0,0.06522947,0.000162674
Table,381,10,0,0.065106295,-4.5825E-05
Table,384,10,0,0.06501193,-8.736E-05
Table,387,10,0,0.065392144,-0.000478904
Table,390,10,0.000195795,0.06506047,-0.000376265
Table,393,10,0,0.06492457,0.00012145
Table,396,10,0,0.06491324,5.625E-05
Table,399,10,0,0.064684205,1.8095E-05
Table,402,10,0,0.06504602,-0.00107624
Table,405,10,0.000335268,0.06496949,-0.00101045
Table,408,10,0.00125794,0.0647023,-0.000619126
Table,411,10,0.000996602,0.06396978,0.000388894
Table,414,10,0.000326778,0.06395904,0.0005655
Table,417,10,0,0.064083174,0.000303546
Table,420,10,0,0.064358674,0.000127556
Table,423,10,0,0.06452454,-0.000104324
Table,426,10,0,0.06438672,-0.0001126
Table,429,10,0,0.06448623,-0.0002012
Table,432,10,0.00030168,0.064420216,-0.000477716
Table,435,10,0.00036168,0.06427412,-0.00015968
Table,438,10,0.000103935,0.06428503,0.00010926
Table,441,10,0,0.0639425,0.0003521
Table,444,10,0.000214949,0.06411444,-9.968E-05
Table,447,10,0.000123989,0.06439429,-0.000148485
Table,450,10,0,0.0642946,0.000136374
Table,453,10,0,0.06401476,0.00022706
Table,456,10,0,0.064245805,-0.000239445
Table,459,10,0,0.064430974,-0.000183314
Table,462,10,0,0.06424182,-0.00018329
Table,465,10,0,0.06400636,-3.67E-06
Table,468,10,0,0.06424766,-0.000135645
Table,471,10,0,0.06405853,9.168E-05
Table,474,10,0,0.06400269,-0.00044322
Table,477,10,0,0.064112015,-0.000575485
Table,480,10,0.000724115,0.06415021,-0.00065809
Table,483,10,0.00095643,0.06355947,1.3525E-05
Table,486,10,0.00067289,0.06353653,0.00029594
Table,489,10,0.00051744,0.06349212,0.00041465
Table,492,10,0.000718765,0.063572995,0.00024584
Table,495,10,0.001151365,0.06383247,1.24E-05
Table,498,10,0.000997085,0.06390677,0.0002592
Table,501,10,0.000209544,0.063818835,0.000447165
Table,504,10,0,0.06384487,0.000445
Table,507,10,0,0.06416597,0.00010492
Table,510,10,0,0.064266,-0.000340376
Table,513,10,0,0.06428987,-7.337E-05
Table,516,10,0,0.06427089,-5.6936E-05
Table,519,10,0,0.063925624,7.683E-05
Table,522,10,0,0.0642165,-0.0003751
Table,525,10,0,0.064213954,-0.000324794
Table,528,10,1.745E-05,0.064002454,-0.000170024
Table,531,10,0.000556465,0.0638414,-7.518E-05
Table,534,10,0.000782725,0.06388916,2.692E-05
Table,537,10,0.001268155,0.06383243,6.571E-05
Table,540,10,0.000900365,0.06376622,0.000463835
Table,543,10,0.000619205,0.06391608,0.00025318
Table,546,10,0,0.06389814,0.00055114
Table,549,10,0,0.064230055,9.6045E-05
Table,552,10,1.5065E-05,0.06416926,-2.798E-05
Table,555,10,0.000119765,0.06444928,-0.000216625
Table,558,10,0,0.0643261,1.465E-05
Table,561,10,0,0.06414128,0.00021704
Table,564,10,0,0.064232655,-0.000111925
Table,567,10,0,0.06434075,-0.000201
Table,570,10,0,0.06435832,-0.000113096
Table,573,10,0,0.06412073,1.1074E-05
Table,576,10,2.2732E-05,0.06413975,-0.00024556
Table,579,10,0,0.064245224,2.2732E-05
Table,582,10,0,0.064131804,NaN
Table,585,10,0,0.06389419,NaN
Table,588,10,0,0.064267956,NaN
Table,591,10,0,0.06397938,NaN
