input,sec,interval,sum,value,slope
Table,0,10,0,0.06408667,-0.00035836999999999675
Table,3,10,0.00015425899999998993,0.06382295,-0.0004317100000000018
Table,6,10,0.0008493859999999936,0.063543715,-0.00023932100000000067
Table,9,10,0.000667951,0.0637283,0.00003686999999999441
Table,12,10,0.00040824100000000363,0.06339124,0.0003567099999999962
Table,15,10,0.00013598499999999125,0.063304394,0.00045580600000000304
Table,18,10,0.0008177809999999897,0.06376517,-0.00014456499999999928
Table,21,10,0.0010801109999999947,0.06374795,0.00009699999999999986
Table,24,10,0.0011100960000000049,0.0637602,0.00018354999999999067
Table,27,10,0.00046811900000000295,0.063620605,0.0005372309999999991
Table,30,10,0.00040761899999999796,0.06384495,0.0003593300000000049
Table,33,10,0.0004244090000000006,0.06394375,0.0002135350000000008
Table,36,10,0.0006601750000000128,0.064157836,-0.00010474600000000278
Table,39,10,0,0.06420428,0.00029882999999999993
Table,42,10,0,0.064157285,0.00023032500000000344
Table,45,10,0,0.06405309,0.00013102000000000946
Table,48,10,0,0.06450311,-0.0005683140000000003
Table,51,10,0,0.06438761,-0.0006371599999999977
Table,54,10,0.00038294400000001005,0.06418411,-0.0006315000000000071
Table,57,10,0.0006218360000000145,0.063934796,-0.0000810160000000032
Table,60,10,0.0006217160000000083,0.06375045,0.00005992000000000497
Table,63,10,0.00021659599999999946,0.06355261,0.0004040400000000083
Table,66,10,0,0.06385378,0.00015787600000000124
Table,69,10,0.0001690739999999913,0.06381037,0.00005979999999999874
Table,72,10,0.00046197399999999,0.06395665,-0.000001080000000000525
Table,75,10,0.001438639999999991,0.064011656,-0.00012628600000000323
Table,78,10,0.002262583999999998,0.06387017,0.00029643999999999504
Table,81,10,0.0032160640000000046,0.06395557,0.0002918199999999982
Table,84,10,0.002749119000000008,0.06388537,0.0008503799999999978
Table,87,10,0.0005705960000000065,0.06416661,0.001120384000000002
Table,90,10,0,0.06424739,0.0012453000000000047
Table,93,10,0,0.06473575,0.0003834350000000014
Table,96,10,0,0.065286994,-0.0010581389999999996
Table,99,10,0,0.06549269,-0.0013903400000000038
Table,102,10,0,0.065119185,-0.0012177949999999937
Table,105,10,0,0.064228855,-0.00043620900000000684
Table,108,10,0,0.06410235,-0.00011584000000000594
Table,111,10,0.0003262440000000033,0.06390139,-0.0000025000000000025002
Table,114,10,0.0007264199999999915,0.063792646,0.00006291400000001113
Table,117,10,0.001331483999999994,0.06398651,-0.00010327000000000253
Table,120,10,0.0010837440000000115,0.06389889,0.0003665999999999947
Table,123,10,0.0005980040000000131,0.06385556,0.00046308999999999934
Table,126,10,0,0.06388324,0.0005017939999999999
Table,129,10,0,0.06426549,0.00011886000000001229
Table,132,10,0,0.06431865,-0.00002264999999999906
Table,135,10,0,0.064385034,-0.00011087899999999429
Table,138,10,0,0.06438435,-0.0003531100000000037
Table,141,10,0.000031613999999985376,0.064296,-0.00025653999999999955
Table,144,10,0,0.064274155,-0.00012520000000000586
Table,147,10,0,0.06403124,0.0001559439999999912
Table,150,10,0,0.06403946,8.700000000000374e-7
Table,153,10,0,0.064148955,-0.00019939999999998848
Table,156,10,0.00019447899999996965,0.064187184,-0.00038171399999999134
Table,159,10,0.000731650999999986,0.06404033,-0.00025150600000001244
Table,162,10,0.000606335999999999,0.063949555,0.00008734499999998868
Table,165,10,0.00006282600000001581,0.06380547,0.0003586399999999934
Table,168,10,0,0.063788824,0.00028566600000000386
Table,171,10,0,0.0640369,-0.00003796999999999828
Table,174,10,0,0.06416411,-0.00018486999999998976
Table,177,10,0.0001827650000000014,0.06407449,-0.00010541999999999496
Table,180,10,0.0003904909999999928,0.06399893,-0.00003720999999999586
Table,183,10,0.0006024810000000019,0.06397924,0.00001068999999999376
Table,186,10,0.00035328099999999696,0.06396907,0.0002092850000000035
Table,189,10,0,0.06396172,0.00017051599999999556
Table,192,10,0,0.06398993,0.00022268000000000288
Table,195,10,0,0.064178355,-0.00003991500000000148
Table,198,10,0,0.064132236,-0.000389435999999993
Table,201,10,0,0.06421261,-0.0003873800000000066
Table,204,10,0.00025638599999999734,0.06413844,-0.0005520900000000051
Table,207,10,0.0002782960000000112,0.0637428,0.00005218999999999363
Table,210,10,0.0003095340000000002,0.06382523,0.00005596600000000451
Table,213,10,0.0003795639999999989,0.06358635,0.0001482299999999992
Table,216,10,0.000387503999999983,0.06379499,0.00007410000000000749
