input,sec,interval,sum,value,slope
Table,0,10,0.0008784190000000053,0.07186557,-0.00111319
Table,3,10,0,0.07130837,0.0005346900000000043
Table,6,10,0,0.07116775,-0.00013075599999999576
Table,9,10,0,0.07075238,0.0004744849999999967
Table,12,10,0.0016282819999999948,0.07184306,-0.0015618149999999942
Table,15,10,0.000635570000000002,0.071036994,0.0005176759999999947
Table,18,10,0.00007455499999999005,0.071226865,-0.00016732499999999595
Table,21,10,0,0.070281245,0.001277930999999996
Table,24,10,0,0.07155467,-0.0004750359999999981
Table,27,10,0.0013911600000000024,0.07105954,-0.0007283400000000079
Table,30,10,0.0023006360000000087,0.071559176,-0.0006650160000000044
Table,33,10,0,0.071079634,0.0009813359999999993
Table,36,10,0,0.0703312,0.0010748400000000075
Table,39,10,0,0.07089416,0.0002444600000000019
Table,42,10,0.0006031650000000027,0.07206097,-0.0015118400000000004
Table,45,10,0.0008755950000000207,0.07140604,0.00037253999999999066
Table,48,10,0.0013345350000000117,0.07113862,0.00030535500000000715
Table,51,10,0.001861255000000006,0.07054913,-0.00007472999999999508
Table,54,10,0.0011946609999999996,0.07177858,0.0006449700000000086
Table,57,10,0.00034458599999999395,0.071443975,0.0007642949999999982
Table,60,10,0.000628959999999984,0.0704744,0.00045198999999999934
Table,63,10,0,0.07242355,-0.000021623999999997867
Table,66,10,0,0.07220827,-0.00008578000000000752
Table,69,10,0.02838525,0.07092639,0.0007363639999999894
Table,72,10,0.21109751600000004,0.072401926,-0.0008135460000000122
Table,75,10,0.491889666,0.07212249,-0.00009191999999999534
Table,78,10,0.68634545,0.071662754,0.02929071600000001
Table,81,10,0.48738018999999994,0.07158838,0.18189872
Table,84,10,0.012551549999999995,0.07203057,0.28070023
Table,87,10,0,0.10095347,0.22374650000000001
Table,90,10,0,0.2534871,-0.01706654000000002
Table,93,10,0,0.3527308,-0.19412841
Table,96,10,0,0.32469997,-0.20892594
Table,99,10,0,0.23642056,-0.141415346
Table,102,10,0,0.15860239,-0.07197950000000002
Table,105,10,0,0.11577403,-0.033609570000000005
Table,108,10,0,0.095005214,-0.015060744000000001
Table,111,10,0,0.08662289,-0.008533089999999993
Table,114,10,0,0.08216446,-0.00459946
Table,117,10,0,0.07994447,-0.004354284
Table,120,10,0,0.0780898,-0.0034101500000000007
