input,sec,interval,sum,value,slope
Table,0,10,0,0.072344854,-0.0015234640000000021
Table,3,10,0,0.073360495,-0.00027344499999999716
Table,6,10,0,0.07082139,-0.0005468799999999996
Table,9,10,0,0.07082139,-0.0005078199999999922
Table,12,10,0,0.07308705,-0.0003515699999999955
Table,15,10,0,0.07027451,0.00003906000000000742
Table,18,10,0.0006640879999999794,0.07031357,-0.0003125040000000051
Table,21,10,0,0.07273548,0.00003906399999999144
Table,24,10,0.00039063999999999766,0.07031357,0.0001562599999999914
Table,27,10,0,0.070001066,0.0004687639999999965
Table,30,10,0.0012499960000000032,0.072774544,-0.0023047139999999994
Table,33,10,0,0.07046983,0.0022265900000000005
Table,36,10,0,0.07046983,-0.00039063999999999766
Table,39,10,0.00023439000000000099,0.07046983,-0.0005859539999999996
Table,42,10,0.0037110080000000017,0.07269642,-0.002812544
Table,45,10,0,0.07007919,0.0023437899999999984
Table,48,10,0.0003906240000000061,0.069883876,0.0007031440000000028
Table,51,10,0,0.069883876,0.0006640740000000006
Table,54,10,0.0024219099999999993,0.07242298,-0.0023437899999999984
Table,57,10,0,0.07058702,0.002070340000000004
Table,60,10,0,0.07054795,0
Table,63,10,0,0.07007919,0.0003515699999999955
Table,66,10,0.00472663999999999,0.07265736,-0.002617229999999998
Table,69,10,0.0007421999999999984,0.07054795,0.0019531599999999955
Table,72,10,0.0006640799999999975,0.07043076,0.00011719000000000313
Table,75,10,0,0.07004013,0.0026562899999999917
Table,78,10,0.0029297350000000166,0.07250111,-0.0020312799999999964
Table,81,10,0.0030859710000000207,0.07054795,0.00003907000000000216
Table,84,10,0.0006250010000000139,0.07269642,0.00023438000000000625
Table,87,10,0,0.07046983,0.0026562850000000082
Table,90,10,0,0.07058702,0.0001953060000000062
Table,93,10,0,0.0729308,-0.0022265900000000005
Table,96,10,0.0017578300000000019,0.073126115,-0.0027734750000000113
Table,99,10,0.0015625120000000159,0.070782326,-0.00023437600000000836
Table,102,10,0.0019531500000000146,0.07070421,-0.0005859539999999996
Table,105,10,0,0.07035264,0.00257816000000001
Table,108,10,0,0.07054795,-0.00042969399999999436
Table,111,10,0.00011718399999997853,0.070118256,-0.00019531600000000093
Table,114,10,0,0.0729308,-0.0006250100000000092
Table,117,10,0.0009375149999999999,0.070118256,-0.0001562560000000074
Table,120,10,0,0.06992294,0.0008984499999999951
Table,123,10,0.002226611000000017,0.07230579,-0.0024609800000000015
Table,126,10,0,0.069962,0.0025000450000000063
Table,129,10,0.0011719010000000168,0.07082139,-0.0006640700000000027
Table,132,10,0.0012500289999999997,0.06984481,0.00039063600000001364
Table,135,10,0.005273524000000002,0.072462045,-0.0019922150000000055
Table,138,10,0.0025391039999999865,0.07015732,0.0027734800000000087
Table,141,10,0.0012890699999999894,0.070235446,0.0004687639999999965
Table,144,10,0,0.07046983,0.0020312799999999964
Table,147,10,0,0.0729308,0.000039059999999993544
Table,150,10,0,0.07070421,-0.0007812700000000006
Table,153,10,0.003164111000000011,0.07250111,-0.0021484699999999995
Table,156,10,0.002109391000000002,0.07296986,-0.0005859399999999931
Table,159,10,0.0038281739999999898,0.06992294,0.0008593860000000036
Table,162,10,0,0.07035264,0.0028906650000000006
Table,165,10,0.0014062839999999938,0.07238392,-0.0016406600000000021
Table,168,10,0,0.070782326,0.0025781689999999913
Table,171,10,0.01136736499999999,0.073243305,-0.00273441499999999
Table,174,10,0.01417989900000001,0.07074326,0.0015625299999999925
Table,177,10,0.013633014000000013,0.073360495,0.0008203249999999968
Table,180,10,0,0.07050889,0.008984510000000001
Table,183,10,0,0.07230579,0.004375064000000012
Table,186,10,0,0.07418082,0.0002734399999999998
Table,189,10,0,0.0794934,-0.005390710000000007
Table,192,10,0,0.076680854,-0.0013281440000000033
Table,195,10,0,0.07445426,-0.0030078559999999893
Table,198,10,0,0.07410269,-0.0029297300000000054
Table,201,10,0.001015646000000009,0.07535271,-0.0022656600000000027
Table,204,10,0,0.071446404,0.0020703460000000007
Table,207,10,0,0.07117296,-0.0006250099999999953
Table,210,10,0,0.07308705,-0.00042968999999999646
Table,213,10,0.002890664000000001,0.07351675,-0.0032813039999999988
Table,216,10,0.0019922240000000008,0.07054795,0.0001953100000000041
Table,219,10,0,0.07265736,0.0002734399999999998
Table,222,10,0,0.070235446,0.0024219139999999972
Table,225,10,0.0008984549999999786,0.07074326,-0.0007031299999999963
Table,228,10,0.00476568899999999,0.0729308,-0.0024609700000000068
Table,231,10,0.002226588999999987,0.07265736,0.00015624999999999667
Table,234,10,0,0.07004013,0.0032031749999999887
Table,237,10,0,0.07046983,0.0014062640000000043
Table,240,10,0.0009765810000000041,0.07281361,-0.002382850000000006
Table,243,10,0,0.073243305,-0.00027344499999999716
Table,246,10,0,0.071876094,0.0011718959999999917
Table,249,10,0,0.07043076,0.00007813000000000958
Table,252,10,0,0.07296986,-0.002304719999999996
Table,255,10,0.001992219999999989,0.07304799,-0.002460969999999993
Table,258,10,0.003085980000000002,0.07050889,-0.00003906000000000742
Table,261,10,0,0.07066514,0.0022656600000000027
Table,264,10,0.002343779000000018,0.07058702,-0.00023438000000000625
Table,267,10,0.0008203190000000138,0.07046983,0.0010547000000000056
Table,270,10,0.00160157100000001,0.0729308,-0.001484395999999999
Table,273,10,0,0.07035264,0.0027734750000000113
Table,276,10,0,0.07152453,-0.0004687599999999986
Table,279,10,0,0.071446404,-0.0007031440000000028
Table,282,10,0.003984451,0.073126115,-0.0020312850000000077
Table,285,10,0,0.07105577,0.0025391059999999993
Table,288,10,0.0019531539999999986,0.07074326,-0.000585940000000007
Table,291,10,0,0.07109483,0.0020312850000000077
Table,294,10,0.004336009999999987,0.073594876,-0.0031641160000000085
Table,297,10,0,0.07015732,0.0030859849999999994
Table,300,10,0,0.073126115,-0.0006250050000000118
Table,303,10,0,0.07043076,0.0018750299999999998
Table,306,10,0.001992214000000006,0.073243305,-0.0025781649999999934
Table,309,10,0,0.07250111,0.00027343400000000295
Table,312,10,0,0.07230579,0.00007813000000000958
Table,315,10,0,0.07066514,0.0016406499999999935
Table,318,10,0.0015625150000000143,0.072774544,-0.002500033999999998
