GCdata,name,temp,pressure,column,sensor,retentionTime,length,coeffA,coeffB,coeffC,maxSignal,concentration,CalibrationConcentration,timestamp,slope,constant,unit
Table,Ethylene,,,,,70,30,-0.0064,0.0122,0.0002,0.0027,0.30708624277456514,,03/18/2023,,,ppm
Table,Methanol,,,,,280,30,0.084,0.234,0,0,0,,03/18/2023,,,ppm
Table,Acetone,,,,,410,30,0.084,0.234,0,0.002,0.22579826589595195,,03/18/2023,,,ppm
Table,Ethyl Butyrate,,,,,380,30,,,,0,0,,03/18/2023,,,ppm
Table,Butyraldehyde,,,,,580,20,,,,0.0004,0.040643468208093815,,03/18/2023,,,ppm
Table,2-Butanone,,,,,600,30,,,,0,0,,03/18/2023,,,ppm
Table,Hexanol,,,,,680,30,,,,0,0,,03/18/2023,,,ppm
Table,Benzene,,,,,880,60,0.084,0.234,0,0.0011,0.12644624277456637,,03/18/2023,,,ppm
Table,Hydrogen Sulfide,,,,,,,,,,0,0,,03/18/2023,,,ppm
Table,Carbon Monoxide,,,,,,,,,,0,0,,03/18/2023,,,ppm
Table,Hydrogen ,,,,,,,,,,0,0,,03/18/2023,,,ppm
Table,Methane,,,,,,,,,,0,0,,03/18/2023,,,ppm
