input,sec,interval,sum,value,slope
Table,1,10,0.00039060900000001397,0.078712136,-0.0008593860000000036
Table,2,10,0.00003904000000000407,0.078399636,-0.00023438099999999185
Table,3,10,0.0001562300000000072,0.078009,-0.00007812499999999833
Table,4,10,0,0.077696495,0.0003125049999999907
Table,5,10,0.00003904500000001532,0.07820432,-0.00027344499999999716
Table,6,10,0,0.07754025,0.0003906249999999917
Table,7,10,0,0.078009,-0.00023437999999999237
Table,8,10,0.00007812499999999833,0.07785275,0.00003906000000000742
Table,9,10,0.00015626000000000528,0.077501185,0.0001562449999999993
Table,10,10,0,0.07785275,0.0003125050000000046
Table,11,10,0.0005078300000000008,0.078165255,-0.0005859500000000017
Table,12,10,0.00027344499999999716,0.077930875,0.00003906500000000479
Table,13,10,0.0007031449999999884,0.078009,-0.0003515699999999955
Table,14,10,0.0005078260000000029,0.077930875,0.00027344499999999716
Table,15,10,0.0014453460000000001,0.077930875,-0.0003515699999999955
Table,16,10,0.001015646000000009,0.07777462,0.0004296999999999912
Table,17,10,0.0014062710000000145,0.07789181,0.00015625499999999404
Table,18,10,0.0015234610000000037,0.07765743,0.00023438000000000625
Table,19,10,0.002812545999999999,0.078165255,-0.0003906350000000003
Table,20,10,0.0025000409999999945,0.077579305,0.0004687599999999986
Table,21,10,0.003671940999999984,0.07796994,-0.00019531999999999883
Table,22,10,0.004375076999999991,0.07765743,0.0000781299999999957
Table,23,10,0.004531330999999972,0.07820432,0.00007812600000001169
Table,24,10,0.004101635999999964,0.077579305,0.0005859500000000017
Table,25,10,0.004453195999999965,0.07820432,0
Table,26,10,0.0035938169999999714,0.078048065,0.0005468799999999996
Table,27,10,0.0033985029999999694,0.07789181,0.0003515699999999955
Table,28,10,0.0020313029999999704,0.07777462,0.0008984499999999951
Table,29,10,0.0012890979999999885,0.078048065,0.00015625499999999404
Table,30,10,0,0.07777462,0.0009765799999999908
Table,31,10,0,0.07773556,0.0007812660000000027
Table,32,10,0,0.078282446,0.00023437999999999237
Table,33,10,0,0.078165255,0.00015625499999999404
Table,34,10,0,0.07820432,0.00035156000000000076
Table,35,10,0,0.078594945,-0.00031249899999999387
Table,36,10,0,0.07824338,0.0001562559999999935
Table,37,10,0,0.07867307,-0.0004687500000000039
Table,38,10,0,0.07820432,-0.0005859499999999879
Table,39,10,0.002265637000000001,0.0787512,-0.0013281399999999915
Table,40,10,0.002187511000000003,0.078516826,0
Table,41,10,0.0033984670000000022,0.078516826,-0.0005859510000000012
Table,42,10,0.0026562769999999847,0.07832151,0.0003125000000000072
Table,43,10,0.003554716999999971,0.07855588,-0.0003906249999999917
Table,44,10,0.002695332999999994,0.078282446,0.0004687539999999879
Table,45,10,0.0022656550000000053,0.078399636,0.00015624399999999983
Table,46,10,0.0008984550000000063,0.07820432,0.00039062500000000555
Table,47,10,0.0005859410000000204,0.07761837,0.000703139999999991
Table,48,10,0,0.07742306,0.0012109500000000023
Table,49,10,0,0.078516826,-0.00007812599999999781
Table,50,10,0,0.077930875,0.0006250049999999979
Table,51,10,0.0002734380000000425,0.07863401,-0.00042969000000001034
Table,52,10,0,0.078165255,0.0005078149999999948
Table,53,10,0.0007422030000000246,0.0787512,-0.00039062999999998904
Table,54,10,0.0013672010000000123,0.07855588,-0.0002734339999999891
Table,55,10,0.0033984759999999975,0.078594945,-0.0009765749999999934
Table,56,10,0.002578159999999996,0.07832151,0.000390626000000005
Table,57,10,0.0029687780000000052,0.07863401,-0.00011718400000000628
Table,58,10,0.0023437840000000015,0.0784387,0.00035156000000000076
Table,59,10,0.0017968999999999902,0.07855588,0.0003515700000000094
Table,60,10,0.0013672099999999798,0.07820432,0.00042969000000001034
Table,61,10,0.0014062699999999873,0.07867307,0.0000781299999999957
Table,62,10,0.0008984499999999951,0.07836057,0.0005078199999999922
Table,63,10,0.0008203259999999962,0.078282446,0.00035156399999999866
Table,64,10,0.0002343860000000031,0.07761837,0.0010546999999999918
Table,65,10,0.0010546999999999918,0.078712136,-0.00042968999999999646
Table,66,10,0.0009765859999999876,0.078516826,0.00027343400000000295
Table,67,10,0.001679709999999987,0.07879026,-0.00027343400000000295
Table,68,10,0.0020312779999999836,0.07890745,-0.00019531400000000199
Table,69,10,0.0022265939999999845,0.07863401,0
Table,70,10,0.0020312739999999857,0.0787512,0.00011719000000000313
Table,71,10,0.0021875239999999824,0.07886839,0
Table,72,10,0.0018750239999999752,0.07863401,0.0002734399999999998
Table,73,10,0.0013281399999999777,0.07867307,0.0004687599999999986
Table,74,10,0.0013672159999999905,0.078282446,0.0003906239999999922
Table,75,10,0.000976575999999993,0.07879026,0.00019531999999999883
Table,76,10,0.00019531500000000146,0.078516826,0.00042968999999999646
Table,77,10,0.000039061000000006896,0.078712136,0.00015625399999999456
Table,78,10,0.0005078190000000066,0.07863401,0.00019531600000000093
Table,79,10,0.0008203289999999946,0.07886839,-0.0000781299999999957
Table,80,10,0.001093779000000003,0.07886839,0.00015624999999999667
Table,81,10,0.0014844090000000199,0.07890745,-0.00003906000000000742
Table,82,10,0.0017969170000000229,0.07914183,-0.00007812399999999886
Table,83,10,0.0012890870000000082,0.07867307,0.0004297000000000051
Table,84,10,0.001992237000000008,0.07898558,-0.00019531999999999883
Table,85,10,0.002929763000000002,0.078946516,-0.00035157099999999497
Table,86,10,0.0030860129999999986,0.07886839,0
Table,87,10,0.0018359889999999962,0.078829326,0.0006640740000000006
Table,88,10,0.00183598900000001,0.07879026,0.00023437999999999237
Table,89,10,0.00015626900000000055,0.07902464,0.0004297000000000051
Table,90,10,0,0.07886839,0.0003515700000000094
Table,91,10,0,0.079063706,0.00023438400000000414
Table,92,10,0,0.07910277,-0.00007813000000000958
Table,93,10,0,0.07879026,0.0005078300000000008
Table,94,10,0,0.078594945,0.0005859549999999991
Table,95,10,0,0.07886839,0.00015624999999999667
Table,96,10,0,0.0794934,-0.0005859500000000017
Table,97,10,0,0.07902464,0.00023438000000000625
Table,98,10,0,0.07945434,-0.0012500200000000045
Table,99,10,0.00046874000000002303,0.07921996,-0.0007422000000000123
Table,100,10,0.0010546900000000248,0.07929809,-0.0004297000000000051
Table,101,10,0.0005859200000000175,0.07902464,0.00015626000000000528
Table,102,10,0.0013281300000000246,0.07929809,-0.0004297000000000051
Table,103,10,0.0008984400000000281,0.0791809,0.00007812000000000097
Table,104,10,0.0008593700000000121,0.07902464,0.00007813000000000958
Table,105,10,0.0008203100000000046,0.07890745,0
Table,106,10,0.0016406399999999988,0.07925902,-0.0003515699999999955
Table,107,10,0.00042968999999999646,0.07820432,0.0009375100000000025
Table,108,10,0.0005078299999999869,0.07847776,0.00042969000000001034
Table,109,10,0.0005078399999999955,0.07886839,0.00015624999999999667
Table,110,10,0.0011719200000000068,0.0791809,-0.00031251000000000195
Table,111,10,0.0006250260000000007,0.07886839,0.00031251000000000195
Table,112,10,0.0014453559999999949,0.07925902,-0.0003515699999999955
Table,113,10,0.001484426000000011,0.07910277,0.000039059999999993544
Table,114,10,0.0017578660000000246,0.07890745,-0.00003906000000000742
Table,115,10,0.0010156660000000262,0.07890745,0.0004687599999999986
Table,116,10,0.0018359960000000342,0.07914183,-0.0002734399999999998
Table,117,10,0.0012109760000000303,0.07890745,0.0005078300000000008
Table,118,10,0.001171906000000028,0.07902464,0.00015626000000000528
Table,119,10,1.2000000007561518e-8,0.07886839,0.0003515700000000094
Table,120,10,0.0009375300000000197,0.0791809,-0.00023438400000000414
Table,121,10,0.0000781400000000182,0.07890745,0.0004687599999999986
Table,122,10,0.00031251000000000195,0.07914183,0.00007813000000000958
Table,123,10,0.00019531999999999883,0.07886839,0.00023438000000000625
Table,124,10,0.0008593900000000015,0.07937621,-0.0002734399999999998
Table,125,10,0,0.07886839,0.0005468900000000082
Table,126,10,0,0.07941528,-0.00011719000000000313
Table,127,10,0,0.0791809,0.00011719000000000313
Table,128,10,0.0008202940000000131,0.07921996,-0.0008203240000000112
Table,129,10,0,0.078946516,0.000703134000000008
Table,130,10,0,0.07937621,-0.0003906300000000029
Table,131,10,0,0.07921996,0.00031249999999999334
Table,132,10,0,0.07910277,0.00011719000000000313
Table,133,10,0,0.07910277,0.0003906300000000029
Table,134,10,0,0.07941528,-0.0005859539999999996
Table,135,10,0,0.07929809,-0.0000781299999999957
Table,136,10,0,0.07929809,-0.00015626000000000528
Table,137,10,0,0.078399636,0.0005078140000000092
Table,138,10,0,0.07964965,-0.0008203239999999973
Table,139,10,0,0.07898558,0.00011719000000000313
Table,140,10,0,0.07953246,-0.0009765800000000047
Table,141,10,0,0.07921996,-0.00027344400000001157
Table,142,10,0,0.0794934,-0.0008593900000000015
Table,143,10,0,0.078829326,0.0001953139999999881
Table,144,10,0,0.07921996,-0.0009765800000000047
Table,145,10,0,0.07914183,-0.00011719000000000313
Table,146,10,0,0.07890745,-0.00015625000000001055
Table,147,10,0,0.078829326,0.00007812399999999886
Table,148,10,0,0.07910277,-0.0005468900000000082
Table,149,10,0,0.07855588,0.0002734460000000105
Table,150,10,0,0.078946516,-0.00027344599999999664
Table,151,10,0,0.07863401,-0.00035156399999999866
Table,152,10,0,0.07902464,-0.000781259999999992
Table,153,10,0,0.07824338,0.0005468799999999996
Table,154,10,0,0.07902464,-0.0005468799999999996
Table,155,10,0,0.0787512,-0.0000781299999999957
Table,156,10,0.00046877799999998915,0.07890745,-0.0006250039999999984
Table,157,10,0,0.07855588,0.0002734460000000105
Table,158,10,0.0006250179999999911,0.078829326,-0.0006250060000000113
Table,159,10,0.001484397999999984,0.07867307,-0.0005859399999999931
Table,160,10,0.000507822000000005,0.078282446,0.0006640699999999888
Table,161,10,0,0.07824338,0.00046875600000000073
Table,162,10,0,0.07879026,-0.00003906000000000742
Table,163,10,0,0.07847776,0.00023437600000000836
Table,164,10,0,0.07867307,-0.00015624399999999983
Table,165,10,0,0.078282446,0.00023437999999999237
