GCdata,name,temp,pressure,column,sensor,retentionTime,length,coeffA,coeffB,coeffC,maxSignal,concentration,CalibrationConcentration,timestamp,slope,constant,unit
Table,Ethylene,,,,,70,30,-0.0064,0.0122,0.0002,0.0014,0.1670897109826602,,03/18/2023,,,ppm
Table,Methanol,,,,,280,30,0.084,0.234,0,0.0005,0.05870520231213904,,03/18/2023,,,ppm
Table,Acetone,,,,,410,30,0.084,0.234,0,0.0159,1.8425135260115628,,03/18/2023,,,ppm
Table,Ethyl Butyrate,,,,,380,30,,,,0.001,0.11741410404624467,,03/18/2023,,,ppm
Table,Butyraldehyde,,,,,580,20,,,,0.0061,0.7090056647398857,,03/18/2023,,,ppm
Table,2-Butanone,,,,,600,30,,,,0.0018,0.203219075144508,,03/18/2023,,,ppm
Table,Hexanol,,,,,680,30,,,,0,0,,03/18/2023,,,ppm
Table,Benzene,,,,,880,60,0.084,0.234,0,0.0066,0.7586809248554922,,03/18/2023,,,ppm
Table,Hydrogen Sulfide,,,,,,,,,,0,0,,03/18/2023,,,ppm
Table,Carbon Monoxide,,,,,,,,,,0,0,,03/18/2023,,,ppm
Table,Hydrogen ,,,,,,,,,,0,0,,03/18/2023,,,ppm
Table,Methane,,,,,,,,,,0,0,,03/18/2023,,,ppm
