input,sec,interval,sum,value,slope
Table,1,10,0.0024609970000000134,0.060079046,0
Table,2,10,0.002656302000000006,0.0601181,0.00003907000000000216
Table,3,10,0.0026562980000000014,0.060000915,0.0001953170000000004
Table,4,10,0.0026562939999999965,0.05984466,0.00031251000000000195
Table,5,10,0.002539094999999998,0.059883725,0.0003515749999999998
Table,6,10,0.002460953000000002,0.059961848,0.0002734520000000004
Table,7,10,0.002382832999999994,0.059961848,0.000351567000000004
Table,8,10,0.0023437729999999934,0.060000915,0.0002734399999999998
Table,9,10,0.0022656549999999914,0.060079046,0.0002734360000000019
Table,10,10,0.0020312709999999873,0.060079046,0.0003906300000000029
Table,11,10,0.002031272999999993,0.06015717,0.000234374999999995
Table,12,10,0.0020703369999999985,0.060196232,0.00019531299999999557
Table,13,10,0.0020703310000000016,0.06015717,0.0003125059999999971
Table,14,10,0.002109391000000002,0.0602353,0.00023437600000000142
Table,15,10,0.0022656469999999956,0.0602353,0.0001953100000000041
Table,16,10,0.002500020999999998,0.060313415,0.0002734469999999961
Table,17,10,0.0028515889999999947,0.060274355,0.0002343799999999993
Table,18,10,0.003164090999999994,0.060352482,0.00019531799999999988
Table,19,10,0.003398474999999998,0.060469676,0.00015624599999999877
Table,20,10,0.0035156719999999975,0.060391545,0.0002343770000000009
Table,21,10,0.0037109929999999958,0.060391545,0.0002343770000000009
Table,22,10,0.003710999999999992,0.060469676,0.0003125000000000003
Table,23,10,0.00371100399999999,0.060469676,0.0002734360000000019
Table,24,10,0.003515691999999994,0.06043061,0.0003515659999999976
Table,25,10,0.002812554000000002,0.060586862,0.0005078209999999986
Table,26,10,0.002070353000000011,0.060508735,0.0005859479999999959
Table,27,10,0.0014453430000000156,0.0605478,0.0005078199999999991
Table,28,10,0.000859404000000008,0.060625922,0.0003906300000000029
Table,29,10,0.0003515770000000057,0.060625922,0.00035157400000000033
Table,30,10,0,0.060625922,0.0004296979999999992
Table,31,10,0,0.060782176,0.0003125069999999966
Table,32,10,0,0.060743112,0.0002734399999999998
Table,33,10,0,0.060782176,0.0001562540000000015
Table,34,10,0,0.061094683,-0.00019531699999999347
Table,35,10,0,0.061094683,-0.0001562529999999951
Table,36,10,0,0.06105562,-0.00011718999999999619
Table,37,10,0,0.061016552,-0.00019530900000000462
Table,38,10,0,0.060977496,-0.00015625300000000203
Table,39,10,0,0.06105562,-0.0002343770000000009
Table,40,10,0,0.061094683,-0.00039063099999999545
Table,41,10,0,0.061016552,-0.0002734399999999998
Table,42,10,0,0.06093843,-0.0003515680000000035
Table,43,10,0,0.060899366,-0.00027344400000000463
Table,44,10,0,0.06093843,-0.0003515680000000035
Table,45,10,0,0.06093843,-0.0003906300000000029
Table,46,10,0,0.060821243,-0.00031250799999999607
Table,47,10,0,0.060821243,-0.0003906329999999944
Table,48,10,0,0.060821243,-0.0004687609999999981
Table,49,10,0,0.060704052,-0.00031250700000000353
Table,50,10,0,0.060743112,-0.0003125019999999992
Table,51,10,0,0.060586862,-0.0001953170000000004
Table,52,10,0,0.060625922,-0.0002734399999999998
Table,53,10,0,0.060586862,-0.0002734469999999961
Table,54,10,0,0.0605478,-0.0003125000000000003
Table,55,10,0,0.060508735,-0.0002734350000000024
Table,56,10,0,0.06043061,-0.00023437800000000036
Table,57,10,0,0.060352482,-0.0001953119999999961
Table,58,10,0,0.060391545,-0.00027344499999999716
Table,59,10,0,0.06043061,-0.0002734399999999998
Table,60,10,0,0.060391545,-0.00019531299999999557
Table,61,10,0,0.060352482,-0.00023438199999999826
Table,62,10,0,0.060313415,-0.0002343690000000051
Table,63,10,0,0.0602353,-0.0001562540000000015
Table,64,10,0,0.0602353,-0.00011719999999999786
Table,65,10,0,0.060196232,-0.0001953170000000004
Table,66,10,0,0.06015717,-0.00019532200000000471
Table,67,10,0,0.0601181,-0.00011718499999999882
Table,68,10,0,0.06015717,-0.00019532200000000471
Table,69,10,0,0.060196232,-0.00015625200000000256
Table,70,10,0,0.0601181,-0.00015625200000000256
Table,71,10,0,0.060079046,-0.00011719799999999891
Table,72,10,0,0.060079046,-0.00007813099999999518
Table,73,10,0,0.0601181,-0.00015625200000000256
Table,74,10,0,0.060000915,-0.00003906700000000374
Table,75,10,0,0.059961848,0.00003906700000000374
Table,76,10,0,0.060000915,-0.00007812299999999939
Table,77,10,0,0.059961848,0
Table,78,10,0,0.06003998,-0.00011718799999999724
Table,79,10,0,0.059961848,0
Table,80,10,0,0.059961848,0
Table,81,10,0,0.060000915,-0.00011719000000000313
Table,82,10,0,0.059961848,0
Table,83,10,0,0.059961848,-0.00011718799999999724
Table,84,10,0,0.060000915,-0.00007812299999999939
Table,85,10,0,0.059922792,0
Table,86,10,0,0.059961848,-0.00007812299999999939
Table,87,10,0,0.059922792,-0.00003906700000000374
Table,88,10,0,0.059961848,-0.0001562540000000015
Table,89,10,0,0.059961848,-0.00003905599999999565
Table,90,10,0.000039056999999995123,0.059883725,0
Table,91,10,9.999999994736442e-10,0.059961848,0
Table,92,10,0,0.05984466,0.00011718799999999724
Table,93,10,0,0.059922792,-0.00003906700000000374
Table,94,10,0,0.059922792,0
Table,95,10,0.00011722000000002203,0.059883725,-0.00007813100000000212
Table,96,10,0.00015628700000002577,0.059883725,0
Table,97,10,0.00019535300000003003,0.059805594,0
Table,98,10,0.00019535300000003003,0.059922792,0
Table,99,10,0.0001562860000000263,0.059883725,0.00003906700000000374
Table,100,10,0.00007814400000001609,0.059961848,-0.00003905599999999565
Table,101,10,0.0001562560000000074,0.059961848,-0.00003905599999999565
Table,102,10,0.0001562449999999993,0.059883725,0.00003906700000000374
Table,103,10,0.00019530099999999495,0.059922792,0
Table,104,10,0.00015622599999998849,0.059805594,0.00011719800000000585
Table,105,10,0.0001562149999999804,0.059883725,0.00003906700000000374
Table,106,10,0.00023433699999997337,0.059805594,0.000039066000000004264
Table,107,10,0.00031245999999997276,0.059922792,0
Table,108,10,0.0003515159999999684,0.059922792,0
Table,109,10,0.0006249679999999758,0.059922792,-0.00011719800000000585
Table,110,10,0.0005859119999999801,0.059922792,0.00003905599999999565
Table,111,10,0.0005468559999999845,0.059922792,0.00003905599999999565
Table,112,10,0.0005077999999999888,0.059922792,0.00003905599999999565
Table,113,10,0.00042967699999998943,0.059922792,0.00007812299999999939
Table,114,10,0.0004296879999999975,0.059922792,0.00003905599999999565
Table,115,10,0.00039063200000000187,0.05984466,0.00011718799999999724
Table,116,10,0.00027344199999999874,0.059922792,0.00007812299999999939
Table,117,10,0.00027345300000000683,0.059922792,0.00003905599999999565
Table,118,10,0.00015626600000000906,0.059805594,0.0001562540000000015
Table,119,10,0.00011721000000001341,0.059961848,0
Table,120,10,0.000195342000000015,0.059961848,0
Table,121,10,0.00015628600000001935,0.059961848,0
Table,122,10,0.00015628600000001935,0.060000915,0
Table,123,10,0.00011721900000001562,0.059961848,0.00003906700000000374
Table,124,10,0,0.059961848,0.00007813200000000159
Table,125,10,0.00003908900000001991,0.060000915,-0.00003906700000000374
Table,126,10,0,0.059961848,0.00003906700000000374
Table,127,10,0,0.059961848,0.00003906700000000374
Table,128,10,0,0.059961848,-0.00003905599999999565
Table,129,10,0,0.059961848,0.00007813200000000159
Table,130,10,0,0.059961848,-0.00003905599999999565
Table,131,10,0,0.060000915,0
Table,132,10,0,0.060000915,0
Table,133,10,0,0.06003998,-0.00007813200000000159
Table,134,10,0,0.059961848,0.00003906700000000374
Table,135,10,0,0.060000915,-0.00003906700000000374
Table,136,10,0,0.060000915,-0.00003906700000000374
Table,137,10,0,0.059922792,0.00007812299999999939
Table,138,10,0,0.06003998,-0.00007813200000000159
Table,139,10,0,0.059922792,0.00007812299999999939
Table,140,10,0,0.060000915,-0.00003906700000000374
Table,141,10,0,0.060000915,-0.00007812299999999939
Table,142,10,0,0.059961848,0
Table,143,10,0.00011719900000000533,0.060000915,-0.00003906700000000374
Table,144,10,0.00003906499999999785,0.059961848,0.00003906700000000374
Table,145,10,0,0.059961848,0.00003906700000000374
Table,146,10,0,0.060000915,0
Table,147,10,0,0.059961848,0
Table,148,10,0,0.060000915,-0.00003906700000000374
Table,149,10,0.000039042999999981676,0.059961848,-0.00003905599999999565
Table,150,10,0,0.059922792,0.00003905599999999565
Table,151,10,0,0.059961848,0
Table,152,10,0,0.059961848,0.00007813200000000159
Table,153,10,0,0.060000915,-0.00003906700000000374
Table,154,10,0,0.060000915,-0.00003906700000000374
Table,155,10,0,0.060000915,-0.00003906700000000374
Table,156,10,0,0.059961848,0
Table,157,10,0,0.059961848,0
Table,158,10,0,0.059922792,0.00003905599999999565
Table,159,10,0,0.059961848,0
Table,160,10,0,0.059961848,-0.00003905599999999565
Table,161,10,1.1000000008087873e-8,0.06003998,-0.00007813200000000159
Table,162,10,0,0.059961848,0.00003906700000000374
Table,163,10,0,0.059961848,0
Table,164,10,0,0.059961848,0
Table,165,10,0.00003906399999999144,0.059961848,-0.00003905599999999565
Table,166,10,0.00007813099999999518,0.059961848,0
Table,167,10,0.0001953289999999941,0.059961848,0
Table,168,10,0.00031250799999998913,0.059961848,-0.00003905599999999565
Table,169,10,0.0003125189999999972,0.059922792,0.00003905599999999565
Table,170,10,0.00042971699999999613,0.059961848,0
Table,171,10,0.0007422279999999976,0.060000915,-0.00011719000000000313
Table,172,10,0.0008203599999999991,0.059961848,0
Table,173,10,0.0007422160000000039,0.059961848,0.00011719799999999891
Table,174,10,0.0008203580000000071,0.059922792,0.00003905599999999565
Table,175,10,0.0007812910000000034,0.059961848,0.00003906700000000374
Table,176,10,0.0006640930000000045,0.059961848,0.00011719799999999891
Table,177,10,0.0006641010000000003,0.059922792,0.00007812299999999939
Table,178,10,0.0006640989999999944,0.059961848,0.00003906700000000374
Table,179,10,0.0004687700000000003,0.059961848,0.00011719799999999891
Table,180,10,0.000273449000000002,0.059883725,0.0001953209999999983
Table,181,10,0.00015625200000000256,0.059961848,0.00007813200000000159
Table,182,10,1.3000000000096268e-8,0.060079046,0.00003905400000000364
Table,183,10,0,0.059961848,0.00011719799999999891
Table,184,10,0,0.060000915,0
Table,185,10,0,0.060079046,0
Table,186,10,0,0.060000915,0.00007813099999999518
Table,187,10,0,0.060000915,0.00003906499999999785
Table,188,10,0,0.060079046,-0.00007813099999999518
Table,189,10,0,0.060079046,0
Table,190,10,0,0.06003998,-0.00003906499999999785
Table,191,10,0,0.0601181,-0.00011718499999999882
Table,192,10,0,0.060079046,-0.00011719799999999891
Table,193,10,0,0.060000915,-0.00007812299999999939
Table,194,10,0,0.060079046,-0.00011719799999999891
Table,195,10,0,0.060079046,-0.00011719799999999891
Table,196,10,0,0.06003998,-0.00007813200000000159
Table,197,10,0,0.060000915,-0.00003906700000000374
Table,198,10,0,0.060079046,-0.00011719799999999891
Table,199,10,0,0.060000915,-0.00003906700000000374
Table,200,10,0,0.060000915,-0.00007812299999999939
Table,201,10,0,0.059961848,0
Table,202,10,0,0.059922792,0.00003905599999999565
Table,203,10,0,0.059961848,-0.00003905599999999565
Table,204,10,0,0.059961848,-0.00011718799999999724
Table,205,10,0,0.059961848,-0.00003905599999999565
Table,206,10,0,0.059961848,-0.00011718799999999724
Table,207,10,0,0.059961848,-0.00003905599999999565
Table,208,10,0,0.059961848,-0.0001562540000000015
Table,209,10,0,0.059922792,0
Table,210,10,0,0.059961848,-0.0001953079999999982
Table,211,10,0,0.059961848,-0.00003905599999999565
Table,212,10,0,0.059922792,0.00003905599999999565
Table,213,10,0,0.05984466,-0.000039066000000004264
Table,214,10,0,0.059922792,0
Table,215,10,0,0.05984466,0.00003906499999999785
Table,216,10,0,0.059922792,-0.00011719800000000585
Table,217,10,0,0.059805594,0.000039066000000004264
Table,218,10,0,0.059922792,0.00003905599999999565
Table,219,10,0,0.05976654,0
Table,220,10,0,0.059922792,-0.00007813200000000159
Table,221,10,0,0.059961848,-0.0001953079999999982
Table,222,10,0,0.059805594,0.000039066000000004264
Table,223,10,0,0.059922792,-0.00003906700000000374
Table,224,10,0,0.059883725,-0.00011718499999999882
Table,225,10,0,0.059805594,0.00007813100000000212
Table,226,10,0,0.05984466,0
Table,227,10,0,0.059961848,-0.00011718799999999724
Table,228,10,0.000039054999999996176,0.05976654,0
Table,229,10,0.00007811999999999403,0.05984466,0
Table,230,10,0.00019530499999999285,0.05976654,0
Table,231,10,0.00019530499999999285,0.05984466,0
Table,232,10,0.00027343499999998855,0.059883725,-0.00003906499999999785
Table,233,10,0.00031251199999999396,0.05976654,0.0000390539999999967
Table,234,10,0.0005468819999999916,0.059883725,-0.00011718499999999882
Table,235,10,0.00042968299999998627,0.05984466,0.00007813200000000159
Table,236,10,0.0005859469999999964,0.05984466,-0.000039066000000004264
Table,237,10,0.0004296969999999997,0.05976654,0.00011718499999999882
Table,238,10,0.00039063200000000187,0.05984466,0.00003906499999999785
Table,239,10,0.0003125140000000068,0.05976654,0.00011718499999999882
Table,240,10,0.00035157900000000464,0.05984466,0
Table,241,10,0.0003515810000000105,0.05984466,0.00003906499999999785
Table,242,10,0.00031251700000001215,0.059805594,0.00007813100000000212
Table,243,10,0.00023439900000001707,0.05976654,0.00011718499999999882
Table,244,10,0.00031253300000002454,0.059922792,-0.00003906700000000374
Table,245,10,0.00023439100000001434,0.059805594,0.00011719800000000585
Table,246,10,0.00031252100000001004,0.059883725,-0.00003906499999999785
Table,247,10,0.00031252100000001004,0.059883725,0
Table,248,10,0.00031251000000000195,0.059883725,0.00003906700000000374
Table,249,10,0.0003515680000000035,0.05984466,0.00003906499999999785
Table,250,10,0.0003515569999999954,0.059883725,0.00003906700000000374
Table,251,10,0.0003515459999999873,0.059883725,0.00003906700000000374
Table,252,10,0.0003124789999999836,0.059883725,0.00003906700000000374
Table,253,10,0.0003124679999999755,0.059883725,0.00003906700000000374
Table,254,10,0.0003124789999999836,0.059922792,0.00003905599999999565
Table,255,10,0.0004296689999999867,0.05984466,0.00003906499999999785
Table,256,10,0.0005077919999999861,0.059883725,0
Table,257,10,0.00046873599999999044,0.059922792,0.00003905599999999565
