input,sec,interval,sum,value,slope
Table,1,10,0.0007812699999999867,0.08074342,-0.0006250099999999953
Table,2,10,0.000898453999999993,0.08000122,0.0000781299999999957
Table,3,10,0.0010546980000000067,0.080391854,-0.0003125040000000051
Table,4,10,0.0014453280000000096,0.08035279,-0.0004687599999999986
Table,5,10,0.001328148000000015,0.08000122,0.00015624999999999667
Table,6,10,0.001445348000000013,0.08000122,-0.0000781299999999957
Table,7,10,0,0.07957152,0.0007812699999999867
Table,8,10,0.0003906480000000212,0.08007935,-0.0001562599999999914
Table,9,10,0,0.0798059,0.0005859539999999996
Table,10,10,0,0.08011841,0.00019531999999999883
Table,11,10,0,0.08007935,0.00019531400000000199
Table,12,10,0,0.08007935,-0.0001562599999999914
Table,13,10,0,0.07988403,-0.0000781299999999957
Table,14,10,0,0.08015747,0.00003907000000000216
Table,15,10,0,0.07992309,0.00003907000000000216
Table,16,10,0.0018359700000000062,0.08035279,-0.0008203299999999941
Table,17,10,0.0014062640000000043,0.07992309,0.00039063999999999766
Table,18,10,0.0019140800000000124,0.080391854,-0.00011719000000000313
Table,19,10,0.0030078500000000202,0.08031373,-0.0004297000000000051
Table,20,10,0.003906303999999999,0.080274664,-0.0005078239999999901
Table,21,10,0.0033594040000000103,0.07992309,0.00027344999999999453
Table,22,10,0.004375043999999995,0.0798059,-0.000039059999999993544
Table,23,10,0.0035156640000000017,0.08019654,0.0005468799999999996
Table,24,10,0.0026953440000000023,0.07996216,0.0005468799999999996
Table,25,10,0.001171885999999983,0.07953246,0.0011718940000000067
Table,26,10,0.001757831999999987,0.08031373,-0.000039066000000004264
Table,27,10,0.0003125019999999784,0.080274664,0.000390626000000005
Table,28,10,0,0.07988403,0.0006640700000000027
Table,29,10,0,0.07976684,0.00039062999999998904
Table,30,10,0.0002734619999999882,0.08019654,-0.00027344999999999453
Table,31,10,0,0.07976684,0.0009765799999999908
Table,32,10,0,0.08074342,-0.00031249999999999334
Table,33,10,0,0.08050904,-0.0002734399999999998
Table,34,10,0.0004687540000000018,0.080704354,-0.00035156400000001253
Table,35,10,0,0.080274664,0.0005468799999999996
Table,36,10,0.0013281580000000098,0.08066529,-0.0010547040000000035
Table,37,10,0.0022656580000000176,0.0805481,-0.0004687500000000039
Table,38,10,0.0019531480000000018,0.08015747,0.0003515700000000094
Table,39,10,0.0007031319999999952,0.07992309,0.0008593900000000015
Table,40,10,0.0014453239999999978,0.08074342,-0.00046875600000000073
Table,41,10,0.0009375159999999855,0.08043092,0.00027343400000000295
Table,42,10,0.0009375100000000025,0.0802356,0.00023437999999999237
Table,43,10,0.0007812600000000058,0.08035279,0.0001953100000000041
Table,44,10,0.0018750140000000082,0.080821544,-0.0005078139999999953
Table,45,10,0.0008593700000000121,0.079610586,0.0008593939999999994
Table,46,10,0.0007031300000000101,0.08007935,0.0004687500000000039
Table,47,10,0.0005468900000000221,0.08050904,0.000039059999999993544
Table,48,10,0.0006640720000000294,0.08078248,-0.000390626000000005
Table,49,10,0,0.080274664,0.0002734360000000019
Table,50,10,0.00027344000000004143,0.080704354,-0.0002343740000000094
Table,51,10,0,0.08046998,0.0002343740000000094
Table,52,10,0,0.0805481,0.00003906000000000742
Table,53,10,0,0.08031373,0.000585940000000007
Table,54,10,0,0.08046998,-0.00015624999999999667
Table,55,10,0,0.0805481,0.00031251000000000195
Table,56,10,0,0.0805481,-0.00011717999999999451
Table,57,10,0,0.080391854,-0.0002734439999999977
Table,58,10,0.0006640759999999718,0.0805481,-0.0005078199999999922
Table,59,10,0.0003125159999999849,0.08046998,0.00015624999999999667
Table,60,10,0.0008203299999999941,0.080704354,-0.0002343740000000094
Table,61,10,0.0002734399999999998,0.08058716,0.0001562599999999914
Table,62,10,0.001289074000000015,0.08089967,-0.0005468800000000135
Table,63,10,0.0008203140000000164,0.08031373,0.00015624999999999667
Table,64,10,0.001445314000000003,0.08086061,-0.00042968999999999646
Table,65,10,0.001093767999999995,0.08043092,0.00015624000000000193
Table,66,10,0.0008593879999999887,0.08011841,0.0003906300000000029
Table,67,10,0,0.08004028,0.0008593900000000015
Table,68,10,0,0.08062623,-0.00019530999999999021
Table,69,10,0,0.08046998,0.0002734399999999998
Table,70,10,0,0.08074342,-0.0003906300000000029
Table,71,10,0,0.08035279,0.0004687540000000018
Table,72,10,0,0.08046998,-0.00031251000000000195
Table,73,10,0,0.08043092,0.00019530999999999021
Table,74,10,0,0.08058716,-0.0001953060000000062
Table,75,10,0,0.08050904,0.00015624999999999667
Table,76,10,0.0003906300000000168,0.08089967,-0.0008593900000000015
Table,77,10,0,0.08043092,0.00007812000000000097
Table,78,10,0.0005859400000000209,0.08074342,-0.0003906300000000029
Table,79,10,0.000703132000000023,0.08035279,-0.00007812599999999781
Table,80,10,0.0011718860000000109,0.080821544,-0.00031250399999999123
Table,81,10,0.00007811600000001695,0.08015747,0.0005859500000000017
Table,82,10,0.00046874000000002303,0.08062623,-0.00015624999999999667
Table,83,10,0.00035156400000001253,0.080391854,0.0001953060000000062
Table,84,10,0.0006250000000000144,0.08066529,-0.0002734360000000019
Table,85,10,0,0.08004028,0.0007421999999999984
Table,86,10,0.0009765740000000217,0.08050904,-0.0003515700000000094
Table,87,10,0.00023439399999999888,0.08035279,0.00023437000000001151
Table,88,10,0,0.080274664,0.000039066000000004264
Table,89,10,0,0.08050904,0.00015624999999999667
Table,90,10,0.0010547119999999854,0.08074342,-0.0005078199999999922
Table,91,10,0.0005469039999999731,0.08046998,0.0002343740000000094
Table,92,10,0.0006640939999999762,0.08058716,0.0000781299999999957
Table,93,10,0.0010547199999999812,0.080391854,0
Table,94,10,0.0009765899999999855,0.08078248,0.0000781299999999957
Table,95,10,1.199999999368373e-8,0.08015747,0.0006640740000000006
Table,96,10,0.0010547020000000046,0.08058716,-0.0005078100000000113
Table,97,10,0.002539111999999996,0.08031373,-0.00039063999999999766
Table,98,10,0.0023047340000000027,0.08066529,0.00015625399999999456
Table,99,10,0.0016406580000000032,0.0802356,0.0007421999999999984
Table,100,10,0.0023437820000000026,0.080704354,-0.00027343400000000295
Table,101,10,0.0024219020000000036,0.08066529,0.00019531999999999883
Table,102,10,0.0019531500000000007,0.080391854,0.000390626000000005
Table,103,10,0.0021484640000000027,0.08086061,0
Table,104,10,0.0030469179999999957,0.080821544,-0.00031250399999999123
Table,105,10,0.002890667999999999,0.08007935,0.0005468799999999996
Table,106,10,0.0016015820000000042,0.07992309,0.001093769999999994
Table,107,10,0.0018359560000000136,0.080821544,-0.00007812399999999886
Table,108,10,0.001796898000000019,0.0809778,0.00007812399999999886
Table,109,10,0.0012890780000000268,0.08043092,0.00042968999999999646
Table,110,10,0.001015638000000027,0.08086061,0.0002734399999999998
