GCdata,name,temp,pressure,column,sensor,retentionTime,length,coeffA,coeffB,coeffC,maxSignal,concentration,CalibrationConcentration,timestamp,slope,constant,unit
Table,Ethylene,,,,,70,30,-0.0064,0.0122,0.0002,0.0016,0.18967052023121314,,03/18/2023,,,ppm
Table,Methane,,,,,110,20,,,,0.0004,0.04515953757225307,,03/18/2023,,,ppm
Table,Methanol,,,,,280,30,0.084,0.234,0,0.0007,0.07677109826589466,,03/18/2023,,,ppm
Table,Acetone,,,,,410,30,0.084,0.234,0,0.0006,0.07225560693641558,,03/18/2023,,,ppm
Table,Ethanol,,,,,530,30,,,,0.0009,0.10838323699422124,,03/18/2023,,,ppm
Table,Isopropanol,,,,,840,40,,,,0.0009,0.0993508670520236,,03/18/2023,,,ppm
Table,Ethyl Butyrate,,,,,380,30,,,,0.0024,0.2799884393063573,,03/18/2023,,,ppm
Table,Butanol,,,,,,,,,,0,0,,03/18/2023,,,ppm
Table,Butyraldehyde,,,,,900,30,,,,0.0018,0.20321965317919136,,03/18/2023,,,ppm
Table,2-Butanone,,,,,915,30,,,,0.0023,0.26644173410404737,,03/18/2023,,,ppm
Table,Hexanal,,,,,,,,,,0,0,,03/18/2023,,,ppm
Table,Benzene,,,,,1400,60,0.084,0.234,0,0,0,,03/18/2023,,,ppm
Table,Hydrogen Sulfide,,,,,,,,,,0,0,,03/18/2023,,,ppm
Table,Carbon Monoxide,,,,,,,,,,0,0,,03/18/2023,,,ppm
Table,Hydrogen ,,,,,,,,,,0,0,,03/18/2023,,,ppm
Table,Furan,,,,,360,20,,,,0.0002,0.018064161849711897,,03/18/2023,,,ppm
Table,Isoprene,,,,,470,20,,,,0.001,0.1174150289017339,,03/18/2023,,,ppm
Table,Butane,,,,,,,,,,0,0,,03/18/2023,,,ppm
Table,Acetaldehyde,,,,,108,30,,,,0.0009,0.09935202312138716,,03/18/2023,,,ppm
