input,sec,interval,sum,value,slope
Table,0,10,0.00013780900000000262,0.07562038,-0.00021817999999999838
Table,3,10,0.00006557400000001268,0.07534522,0.0001046099999999911
Table,6,10,0.000041590999999993605,0.07535372,0.00005092400000000774
Table,9,10,0.00008420099999997821,0.0754022,-0.000017724999999996216
Table,12,10,0.00011562099999998243,0.07544983,0.00003237500000000115
Table,15,10,0.0003170649999999914,0.075404644,0.00002694099999998867
Table,18,10,0.0008141400000000049,0.075384475,0.00002488499999998839
Table,21,10,0.0011856749999999971,0.075482205,0.00006379500000000538
Table,24,10,0.0011444500000000052,0.075431585,0.00022838499999999762
Table,27,10,0.0006171760000000109,0.07540936,0.0005219600000000019
Table,30,10,0.00001678600000001862,0.075546,0.00043532999999999766
Table,33,10,0,0.07565997,0.00018716000000000566
Table,36,10,0,0.07593132,-0.00000531399999999238
Table,39,10,0,0.07598133,-0.00016505999999999466
Table,42,10,0,0.07584713,0.00006751000000000673
Table,45,10,0,0.075926006,-0.00018399200000000782
Table,48,10,0,0.07581627,-0.000006760000000008426
Table,51,10,0.00007182699999999653,0.07591464,-0.00011552500000000521
Table,54,10,0.000410750999999987,0.075742014,-0.00011380399999999513
Table,57,10,0.0005192589999999941,0.07580951,0.00002154599999999729
Table,60,10,0.00027550400000000974,0.075799115,0.00016408499999999437
Table,63,10,0.00026983400000002433,0.07562821,0.00022511999999999532
Table,66,10,0.000592550000000025,0.075831056,0.00013005400000000444
Table,69,10,0.0014569900000000052,0.0759632,-0.00007966999999999003
Table,72,10,0.0018766159999999837,0.07585333,0.00021945000000000991
Table,75,10,0.0014615359999999716,0.07596111,0.0004527700000000051
Table,78,10,0.00023364999999998803,0.07588353,0.0007847699999999902
Table,81,10,0,0.07607278,0.0006390759999999884
Table,84,10,0,0.07641388,0.00003768999999999301
Table,87,10,0,0.0766683,-0.0004431159999999934
Table,90,10,0,0.076711856,-0.0005609859999999994
Table,93,10,0,0.07645157,-0.0005021300000000034
Table,96,10,0.000522500000000023,0.076225184,-0.00038590400000000635
Table,99,10,0.0032102900000000184,0.07615087,-0.0003342499999999943
Table,102,10,0.0067671200000000015,0.07594944,0.00009629000000001275
Table,105,10,0.009364903999999993,0.07583928,0.0007604600000000045
Table,108,10,0.008187233999999988,0.07581662,0.002353540000000001
Table,111,10,0.0032780389999999965,0.07604573,0.003653119999999996
Table,114,10,0,0.07659974,0.0033582439999999963
