input,sec,interval,sum,value,slope
Table,0,10,0,0.07392147,-0.000009679999999998024
Table,3,10,0,0.073961385,-0.0000346749999999979
Table,6,10,0,0.07389299,0.00005049999999999499
Table,9,10,0.000014130000000001086,0.07391179,-0.00007908000000000914
Table,12,10,0.00014369000000000187,0.07392671,-0.0000313400000000047
Table,15,10,0.0005061650000000029,0.07394349,-0.00002230999999999761
Table,18,10,0.0009060649999999976,0.07383271,0.00006778000000000339
Table,21,10,0.0011564650000000093,0.07389537,0.00009821999999999609
Table,24,10,0.0008486949999999965,0.07392118,0.0003401650000000034
Table,27,10,0.00019963900000000145,0.07390049,0.0004676799999999981
Table,30,10,0,0.07399359,0.0003486200000000078
Table,33,10,0,0.074261345,0.000032394999999990626
Table,36,10,0,0.07436817,-0.00018137599999999698
Table,39,10,0,0.07434221,-0.00005112000000000172
Table,42,10,0,0.07429374,0.00003158000000000327
Table,45,10,0,0.074186794,0.000005015999999996579
Table,48,10,0,0.07429109,-0.0000809750000000109
Table,51,10,0,0.07432532,-0.0002009240000000051
Table,54,10,0,0.07419181,0.000016025000000002843
Table,57,10,0.00011414300000001099,0.074210115,-0.00015005499999999616
Table,60,10,0.00021925899999999943,0.074124396,0.000004724000000011497
Table,63,10,0.0003274160000000109,0.074207835,0.000014088999999994911
Table,66,10,0.0003970660000000015,0.07406006,0.00009533000000000458
Table,69,10,0.0003022659999999955,0.07412912,0.00010983999999999994
Table,72,10,0.00007957399999998505,0.074221924,0.0001222460000000064
Table,75,10,0,0.07415539,0.00016497999999999513
Table,78,10,0,0.07423896,0.000015039999999993947
Table,81,10,0,0.07434417,-0.00010044600000000403
Table,84,10,0,0.07432037,-0.00004134000000000082
Table,87,10,0,0.074254,0.00005863999999999869
Table,90,10,0,0.074243724,-0.000026013999999990878
Table,93,10,0,0.07427903,-0.00005689999999999862
Table,96,10,0,0.07431264,-0.00014417399999999692
Table,99,10,0,0.07421771,-0.000027530000000011712
Table,102,10,0,0.07422213,-0.00013113499999999056
Table,105,10,0,0.074168466,-0.000031905999999998214
Table,108,10,0,0.07419018,-0.00007166000000000117
Table,111,10,0.00027127999999999874,0.074090995,-0.00021220500000000697
Table,114,10,0.0003782280000000082,0.07413656,-0.00003510400000000802
Table,117,10,0.00017736799999998332,0.07411852,0.00008345000000001268
Table,120,10,0,0.07387879,0.00022293399999999408
Table,123,10,0,0.074101456,0.00007184400000000146
Table,126,10,0.000029686000000028745,0.07420197,-0.00011741000000001223
Table,129,10,0,0.074101724,0.000033196000000013104
Table,132,10,0.00011980600000001396,0.0741733,-0.000056269999999997156
Table,135,10,0.0001232060000000007,0.07408456,0.0000527600000000128
Table,138,10,0.0002167740000000029,0.07413492,-0.00003498400000000179
Table,141,10,0,0.07411703,0.00010203000000000295
Table,144,10,0,0.07413732,0.000056159999999999544
Table,147,10,0,0.074099936,0.000058584000000000414
Table,150,10,0,0.07421906,-0.00016637600000000974
Table,153,10,0,0.07419348,-0.0001475600000000049
Table,156,10,0,0.07415852,-0.00005934999999999968
Table,159,10,0,0.074052684,0.000024366000000011767
Table,162,10,0,0.07404592,0.000028920000000001722
Table,165,10,0,0.07409917,-0.00011613400000000385
Table,168,10,0,0.07407705,-0.00009263600000000705
Table,171,10,0.00029496499999999426,0.07407484,-0.00021986499999999964
Table,174,10,0.00041156099999999085,0.073983036,0.000039023999999998615
Table,177,10,0.0005875149999999968,0.073984414,0.000048095999999997474
Table,180,10,0.0005418140000000016,0.073854975,0.00020784499999999817
Table,183,10,0.00046028400000000524,0.07402206,0.0001556199999999952
Table,186,10,0.0001356039999999975,0.07403251,0.0002240500000000034
Table,189,10,0.000024665999999992638,0.07406282,0.00016214400000000295
Table,192,10,0.000010591000000004236,0.07417768,0.00007408999999999888
Table,195,10,0.00030367100000001923,0.07425656,-0.00010063000000000433
Table,198,10,0.0002532950000000145,0.074224964,0.000051205999999998086
Table,201,10,0.0002080099999999946,0.07425177,0.00006001500000001048
Table,204,10,0,0.07415593,0.00019245000000001067
Table,207,10,0,0.07427617,8.299999999933361e-7
Table,210,10,0,0.074311785,0.000014729999999990584
Table,213,10,0,0.07434838,-0.00010413000000000783
Table,216,10,0,0.074277,0.000049925000000006214
Table,219,10,0,0.074326515,-0.00005906099999999914
Table,222,10,0,0.07424425,-0.000023294999999992627
Table,225,10,0,0.074326925,-0.00020366500000000565
Table,228,10,0,0.074267454,-0.00007620399999999639
Table,231,10,0.00015278400000000303,0.074220955,-0.00024827500000000613
Table,234,10,0.00010794400000001259,0.07412326,0.00003883999999999832
Table,237,10,0.0003716660000000066,0.07419125,-0.0000839759999999995
Table,240,10,0.00030079600000000595,0.07397268,0.0001979200000000042
Table,243,10,0.00045438999999999896,0.0741621,-0.000005999999999992123
Table,246,10,0.00031480400000001574,0.074107274,0.00017974599999999452
Table,249,10,0.0002343740000000094,0.0741706,0.00012705000000000355
Table,252,10,0.00008862600000000831,0.0741561,0.0001475940000000009
Table,255,10,0.00006782099999999569,0.07428702,0.0000401600000000113
Table,258,10,0.00011663099999999205,0.07429765,0.00004661999999999722
Table,261,10,0.00029246099999999386,0.074303694,0.0000018459999999997923
Table,264,10,0.0003155709999999867,0.07432718,0.00001935499999999868
Table,267,10,0.00028336099999999587,0.07434427,0.00009542999999999358
Table,270,10,0.00017217399999998328,0.07430554,0.0001776760000000016
Table,273,10,0.00019141899999999823,0.074346535,0.00004246499999999154
Table,276,10,0.00017778899999999764,0.0744397,0.00006322000000000272
Table,279,10,0.00022581500000001808,0.074483216,0.00006648899999998903
Table,282,10,0.0002588050000000147,0.074389,0.00006171000000000648
Table,285,10,0.0002855500000000094,0.07450292,0.00004959000000000213
Table,288,10,0.00029203499999999605,0.074549705,0.00011451500000000947
Table,291,10,0.0005006809999999889,0.07445071,0.00009470000000000312
Table,294,10,0.0008296209999999887,0.07455251,0.00007633499999999682
Table,297,10,0.0009053809999999968,0.07466422,0.00012099999999999611
Table,300,10,0.0008181839999999996,0.07454541,0.000303345999999996
Table,303,10,0.0005037590000000064,0.074628845,0.0004052749999999966
Table,306,10,0.0005335640000000003,0.07478522,0.00019676000000000415
Table,309,10,0.000436640000000002,0.074848756,0.00021614899999999881
Table,312,10,0.0004902999999999991,0.07503412,0.00009085000000000343
Table,315,10,0.00023635399999999418,0.07498198,0.00022656499999999802
Table,318,10,0.00010611899999998786,0.075064905,0.00011922500000000058
Table,321,10,0,0.07512497,0.00014451000000000047
Table,324,10,0,0.075208545,-0.000027381000000006872
Table,327,10,0,0.07518413,-0.000011010000000005737
Table,330,10,0,0.07526948,-0.0003432500000000033
Table,333,10,0,0.075181164,-0.00010962399999998873
Table,336,10,0,0.07517312,-0.00025093999999999117
Table,339,10,0,0.07492623,-0.00003830600000000184
Table,342,10,0,0.07507154,-0.0004670800000000086
Table,345,10,0,0.07492218,-0.00029320000000000734
Table,348,10,0,0.074887924,-0.0004050439999999933
Table,351,10,0,0.07460446,-0.00024164599999999814
Table,354,10,0,0.07462898,-0.0004289499999999974
Table,357,10,0,0.07448288,-0.0002486250000000023
Table,360,10,0.000025596000000002728,0.074362814,-0.0001270990000000055
Table,363,10,0,0.07420003,0.00008386999999999978
Table,366,10,0,0.074234255,0.00000973499999999683
Table,369,10,0.00007120400000000526,0.074235715,-0.00006800899999999388
Table,372,10,0.00019405400000001294,0.0742839,-0.00009539000000000075
