input,sec,interval,sum,value,slope
Table,1,10,0,0.06113375,0.03765682
Table,2,10,0,0.061289996,0.098907754
Table,3,10,0,0.061211873,0.194846727
Table,4,10,0,0.06113375,0.30266087
Table,5,10,0,0.06113375,0.37891202
Table,6,10,0,0.061094683,0.427115917
Table,7,10,0,0.061094683,0.452350617
Table,8,10,0,0.061602503,0.472116557
Table,9,10,0,0.06871199,0.47145251
Table,10,10,0,0.09879057,0.44945999
Table,11,10,0,0.16019775,0.38246675
Table,12,10,0,0.2560586,0.27156666
Table,13,10,0,0.36379462,0.14972884
Table,14,10,0,0.44004577,0.04914138
Table,15,10,0,0.4882106,-0.01582057
Table,16,10,0,0.5134453,-0.05714927
Table,17,10,0,0.53371906,-0.08117309
Table,18,10,0,0.5401645,-0.0894936
Table,19,10,0,0.54825056,-0.11558769
Table,20,10,0,0.5426645,-0.1174627
Table,21,10,0,0.52762526,-0.10617351
Table,22,10,0,0.51352346,-0.1001187
Table,23,10,0,0.48918715,-0.08324345
Table,24,10,0.14453337,0.47239003,-0.07402459
Table,25,10,0.54059414,0.45629603,-0.06632915
Table,26,10,1.05407852,0.45254597,-0.07214954
Table,27,10,1.67897082,0.4506709,-0.0756261
Table,28,10,2.36745799,0.43266287,-0.05843842
Table,29,10,3.10020357,0.4252018,-0.03839904
Table,30,10,3.80662074,0.42145175,0.00144529
Table,31,10,4.44409144,0.41340476,0.05988372
Table,32,10,4.93628654,0.4059437,0.1459397
Table,33,10,5.23832238,0.39836544,0.24820691
Table,34,10,5.38031666,0.38996688,0.32973162
Table,35,10,5.29172155,0.38039643,0.44133484
Table,36,10,4.97113065,0.3750448,0.5492662
Table,37,10,4.4634274,0.37422445,0.63004875
Table,38,10,3.77947166,0.38680276,0.69434654
Table,39,10,2.994147,0.42289704,0.70786246
Table,40,10,2.15096998,0.47328848,0.69735442
Table,41,10,1.30701162,0.5518834,0.6381348
Table,42,10,0.50340567,0.64657235,0.55024275
Table,43,10,0,0.7196985,0.4717259
Table,44,10,0,0.82173127,0.35273973
Table,45,10,0,0.924311,0.2286753
Table,46,10,0,1.0042732,0.1223455
Table,47,10,0,1.0811493,0.0103908
Table,48,10,0,1.1307595,-0.0774622
Table,49,10,0,1.1706429,-0.1458226
Table,50,10,0,1.1900182,-0.20582356
Table,51,10,0,1.1968151,-0.2533632
Table,52,10,0,1.1914244,-0.2824652
Table,53,10,0,1.174471,-0.29934047
Table,54,10,0,1.1529863,-0.31062974
Table,55,10,0,1.1266187,-0.3244972
Table,56,10,0,1.0915401,-0.3312941
Table,57,10,0,1.0532973,-0.3283644
Table,58,10,0,1.0248203,-0.3396927
Table,59,10,0,0.98419464,-0.32098139
Table,60,10,0,0.9434519,-0.3267238
Table,61,10,0,0.9089592,-0.3210987
Table,62,10,0,0.87513053,-0.31418448
Table,63,10,0,0.84235656,-0.31047346
Table,64,10,0,0.8021215,-0.2969185
Table,65,10,0,0.760246,-0.27617612
Table,66,10,0,0.7249329,-0.26051172
Table,67,10,0,0.6851276,-0.24207397
Table,68,10,0,0.66321325,-0.23808962
Table,69,10,0,0.6167281,-0.21211255
Table,70,10,0,0.5878605,-0.19996396
Table,71,10,0,0.56094605,-0.19148729
Table,72,10,0,0.5318831,-0.17711205
Table,73,10,0,0.505203,-0.16644784
Table,74,10,0,0.48406988,-0.15801021
Table,75,10,0,0.46442118,-0.15238518
Table,76,10,0,0.44305363,-0.14199435
Table,77,10,0,0.42512363,-0.13597861
Table,78,10,0,0.40461555,-0.12922072
Table,79,10,0,0.38789654,-0.1261738
Table,80,10,0,0.36945876,-0.11929869
Table,81,10,0,0.35477105,-0.11582208
Table,82,10,0,0.33875516,-0.11257982
Table,83,10,0,0.32605967,-0.10976732
Table,84,10,0,0.312036,-0.10632973
Table,85,10,0,0.30105928,-0.1050016
Table,86,10,0,0.28914502,-0.10097809
Table,87,10,0,0.27539483,-0.09425925
Table,88,10,0,0.26172274,-0.08972794
Table,89,10,0,0.25016007,-0.08566537
Table,90,10,0,0.23894897,-0.08250127
Table,91,10,0,0.22617534,-0.07589962
Table,92,10,0,0.21629235,-0.07164171
Table,93,10,0,0.20570627,-0.06675884
Table,94,10,0,0.19605768,-0.0614072
Table,95,10,0,0.18816693,-0.0580087
Table,96,10,0,0.18113558,-0.05468833
Table,97,10,0,0.1719948,-0.04832104
Table,98,10,0,0.1644947,-0.0433991
Table,99,10,0,0.1564477,-0.03847715
Table,100,10,0.000117188,0.15027572,-0.03613335
Table,101,10,0.000625008,0.14465064,-0.03406302
Table,102,10,0.000976578,0.13894743,-0.031211416
Table,103,10,0.001171894,0.13465048,-0.02992232
Table,104,10,0.001406279,0.13015823,-0.027539476
Table,105,10,0.001562536,0.12644725,-0.0260551
Table,106,10,0.001640661,0.12367376,-0.025078506
Table,107,10,0.001835978,0.1210956,-0.02386756
Table,108,10,0.001640658,0.11797055,-0.02230503
Table,109,10,0.001523468,0.11414237,-0.019570616
Table,110,10,0.001406278,0.11058762,-0.01718776
Table,111,10,0.001171898,0.107736014,-0.015156478
Table,112,10,0.000859392,0.10472816,-0.01296895
Table,113,10,0.000820327,0.102618754,-0.011406424
Table,114,10,0.000468756,0.10039215,-0.009843895
Table,115,10,0.000117186,0.098595254,-0.008515754
Table,116,10,0,0.09722804,-0.007695426
Table,117,10,0,0.09566552,-0.00652353
Table,118,10,0,0.094571754,-0.005976654
Table,119,10,0,0.09339986,-0.00535164
Table,120,10,0,0.092579536,-0.005117266
Table,121,10,0,0.09175921,-0.00496101
Table,122,10,0,0.09121233,-0.00503914
Table,123,10,0,0.090548255,-0.004961015
Table,124,10,0,0.0900795,-0.00480476
Table,125,10,3.907E-05,0.089532614,-0.004726634
Table,126,10,3.9072E-05,0.08914199,-0.00480476
Table,127,10,0,0.0885951,-0.00453132
Table,128,10,0,0.08804822,-0.00437507
Table,129,10,0,0.08746227,-0.00386725
Table,130,10,0,0.0867982,-0.003828184
Table,131,10,0,0.08617319,-0.003437555
Table,132,10,0,0.08558724,-0.00320317
Table,133,10,0,0.08527474,-0.00324224
Table,134,10,0,0.08480598,-0.003085985
Table,135,10,0,0.08433723,-0.002929735
Table,136,10,0,0.08406378,-0.00308598
Table,137,10,0,0.08367315,-0.00308599
Table,138,10,0,0.08359502,-0.00343755
Table,139,10,0,0.082970016,-0.003164116
Table,140,10,0,0.082735635,-0.003320355
Table,141,10,0,0.08238407,-0.00335943
Table,142,10,0,0.0820325,-0.00316411
Table,143,10,0,0.081719995,-0.00312505
Table,144,10,0.000117195,0.081407495,-0.003203175
Table,145,10,0.000312501,0.0809778,-0.002812545
Table,146,10,0.000312504,0.08058716,-0.00296879
Table,147,10,0.000195321,0.08015747,-0.002890665
Table,148,10,0,0.0798059,-0.00316411
Table,149,10,0,0.07941528,-0.00320318
Table,150,10,0,0.07902464,-0.00332036
Table,151,10,0,0.07886839,-0.00355474
Table,152,10,0,0.078594945,-0.003632865
Table,153,10,0,0.07820432,-0.00343756
Table,154,10,0,0.078165255,-0.003710995
Table,155,10,0,0.07761837,-0.00339849
Table,156,10,0,0.077266805,-0.003242239
Table,157,10,0,0.07664179,-0.002734415
Table,158,10,0,0.0762121,-0.00234379
Table,159,10,0,0.07570428,-0.001914095
Table,160,10,0.000156243,0.07531365,-0.00160159
Table,161,10,0.000273426,0.07496208,-0.00132814
Table,162,10,0.00039062,0.07476676,-0.001289075
Table,163,10,0.000507799,0.07445426,-0.00128908
Table,164,10,0.00050781,0.07421988,-0.00136721
Table,165,10,0.000390631,0.074024566,-0.001328146
Table,166,10,0.000117198,0.073907375,-0.001562521
Table,167,10,0,0.07386831,-0.00171877
Table,168,10,0,0.073790185,-0.001875025
Table,169,10,0,0.07371206,-0.00187503
Table,170,10,0,0.07363394,-0.0019141
Table,171,10,0,0.073477685,-0.001914091
Table,172,10,0,0.07316518,-0.00167971
Table,173,10,0,0.07285267,-0.00148439
Table,174,10,0,0.07269642,-0.00132814
Table,175,10,0,0.072344854,-0.000976574
Table,176,10,0,0.07214954,-0.00078126
Table,177,10,0,0.07191516,-0.00070314
Table,178,10,0,0.07183703,-0.00078126
Table,179,10,0,0.07171984,-0.00085939
Table,180,10,0,0.071563594,-0.000859384
Table,181,10,0.000117178,0.07148547,-0.00101564
Table,182,10,0.000429696,0.07136828,-0.00105471
Table,183,10,0.000585946,0.07136828,-0.00109377
Table,184,10,0.000625009,0.07136828,-0.001250024
Table,185,10,0.0004297,0.07136828,-0.00128909
Table,186,10,0.000546879,0.07121202,-0.00117189
Table,187,10,0.000117178,0.07105577,-0.001054704
Table,188,10,0,0.07086045,-0.00089845
Table,189,10,0,0.07070421,-0.00078127
Table,190,10,0,0.07046983,-0.00050783
Table,191,10,0,0.07031357,-0.00046876
Table,192,10,0,0.07027451,-0.000507825
Table,193,10,0,0.070118256,-0.000585946
Table,194,10,7.8137E-05,0.07007919,-0.000625004
Table,195,10,3.9081E-05,0.07004013,-0.00078126
Table,196,10,0.000273461,0.070001066,-0.000820326
Table,197,10,0.00035158,0.069962,-0.000976575
Table,198,10,0.000429703,0.06992294,-0.00097658
Table,199,10,0.000429696,0.069962,-0.0010547
Table,200,10,0.000117192,0.06984481,-0.00093751
Table,201,10,0,0.069766685,-0.000859385
Table,202,10,0,0.06953231,-0.00062501
Table,203,10,0,0.069454186,-0.000546886
Table,204,10,3.9066E-05,0.06925887,-0.00054688
Table,205,10,3E-09,0.06918074,-0.00035157
Table,206,10,7.8137E-05,0.068985425,-0.000351565
Table,207,10,7E-09,0.06894636,-0.000507815
Table,208,10,3.9081E-05,0.0689073,-0.00054688
Table,209,10,3.9071E-05,0.0689073,-0.00066407
Table,210,10,0,0.0689073,-0.000820326
Table,211,10,0,0.0689073,-0.00085939
Table,212,10,0,0.0689073,-0.00089845
Table,213,10,0,0.06871199,-0.000742206
Table,214,10,0,0.06882917,-0.000976576
Table,215,10,0,0.06863386,-0.000781266
Table,216,10,0,0.068438545,-0.000585951
Table,217,10,0,0.06836042,-0.00046876
Table,218,10,0,0.06824323,-0.00050782
Table,219,10,0,0.068086974,-0.000273444
Table,220,10,0,0.06804791,-0.000273435
Table,221,10,0,0.06800885,-0.0003125
Table,222,10,0,0.067969784,-0.000351564
Table,223,10,0,0.067852594,-0.000273434
Table,224,10,0,0.067852594,-0.000273434
Table,225,10,0,0.067852594,-0.000273434
Table,226,10,0,0.06789166,-0.0003125
Table,227,10,0,0.06773541,-0.000195316
Table,228,10,0,0.06781353,-0.00023437
Table,229,10,0,0.067774475,-0.000312505
Table,230,10,0,0.06769635,-0.000273446
Table,231,10,0,0.06761822,-0.00027344
Table,232,10,0,0.06757916,-0.000273446
Table,233,10,0.00019533,0.06757916,-0.00035157
Table,234,10,0.000351592,0.06757916,-0.00039064
Table,235,10,0.000468787,0.06757916,-0.0004297
Table,236,10,0.00054691,0.067540094,-0.000390634
Table,237,10,0.000507843,0.06757916,-0.00039064
Table,238,10,0.000351579,0.06746197,-0.00027345
Table,239,10,7.8139E-05,0.067422904,-0.000351574
Table,240,10,0,0.06734478,-0.00039064
