input,sec,interval,sum,value,slope
Table,1,10,0,0.061797816,-0.0014062710000000006
Table,2,10,0.0014453399999999963,0.06152438,-0.0011328349999999987
Table,3,10,0.004687569999999995,0.06113375,-0.000898450000000002
Table,4,10,0.008086072999999992,0.060821243,-0.0007031429999999964
Table,5,10,0.012187698999999996,0.060782176,-0.0008984510000000015
Table,6,10,0.016328377000000012,0.060899366,-0.0008203200000000063
Table,7,10,0.019883115000000014,0.061016552,-0.0004296900000000034
Table,8,10,0.02238314100000001,0.060782176,0.00035157400000000033
Table,9,10,0.023711282000000007,0.060586862,0.0011328310000000008
Table,10,10,0.024414425000000003,0.060391545,0.0016797110000000004
Table,11,10,0.024609748999999993,0.060391545,0.0020312780000000044
Table,12,10,0.024414438999999996,0.0602353,0.0023437799999999967
Table,13,10,0.02375035899999999,0.0601181,0.002695360000000001
Table,14,10,0.022265963999999992,0.059883725,0.0032031750000000025
Table,15,10,0.020469061999999975,0.060079046,0.0033203580000000094
Table,16,10,0.018515903999999986,0.060586862,0.0031250479999999983
Table,17,10,0.016562754,0.06113375,0.002851599999999996
Table,18,10,0.014804917000000008,0.061719693,0.0024609719999999988
Table,19,10,0.012812693000000014,0.062071256,0.0023828539999999968
Table,20,10,0.010820466000000029,0.062422823,0.002226601999999994
Table,21,10,0.008750126000000039,0.06257908,0.0021484699999999995
Table,22,10,0.006679786000000049,0.06281346,0.0020312799999999964
Table,23,10,0.004843816000000042,0.0630869,0.001718780000000003
Table,24,10,0.002968800000000049,0.063399404,0.0015234559999999925
Table,25,10,0.0014062800000000375,0.06371191,0.0011718900000000088
Table,26,10,0,0.06398535,0.000898450000000009
Table,27,10,0,0.064180665,0.0007031350000000075
Table,28,10,0,0.06445411,0.0003906300000000029
Table,29,10,0,0.064649425,0.00023437500000000888
Table,30,10,0,0.06472755,0.00007813000000000958
Table,31,10,0,0.06484474,-0.000039059999999993544
Table,32,10,0,0.06480568,-0.00011719000000000313
Table,33,10,0,0.06492286,-0.00035156000000000076
Table,34,10,0,0.0648838,-0.0003906300000000029
Table,35,10,0,0.0648838,-0.0005859450000000044
Table,36,10,0,0.0648838,-0.0006640700000000027
Table,37,10,0,0.06484474,-0.0006640750000000001
Table,38,10,0,0.0648838,-0.0008203250000000106
Table,39,10,0,0.06480568,-0.0007812700000000006
Table,40,10,0,0.06480568,-0.0008984600000000037
Table,41,10,0,0.06468849,-0.0008203249999999968
Table,42,10,0,0.0645713,-0.0007421999999999984
Table,43,10,0,0.06449317,-0.000742195000000001
Table,44,10,0,0.064297855,-0.0005078149999999948
Table,45,10,0,0.06421973,-0.0006640700000000027
Table,46,10,0,0.064180665,-0.0005468799999999996
Table,47,10,0,0.064063475,-0.0005468809999999991
Table,48,10,0,0.06402441,-0.0004687500000000039
Table,49,10,0,0.06390722,-0.0004687500000000039
Table,50,10,0,0.063868165,-0.0004296950000000077
Table,51,10,0,0.0638291,-0.0004687599999999986
Table,52,10,0,0.063750975,-0.000546884999999997
Table,53,10,0,0.06379004,-0.0006640800000000113
Table,54,10,0,0.06355566,-0.0004687599999999986
Table,55,10,0,0.063633785,-0.0005859510000000012
Table,56,10,0,0.063516594,-0.0005078239999999901
Table,57,10,0,0.06355566,-0.0005859500000000017
Table,58,10,0,0.06343847,-0.00058594599999999
Table,59,10,0,0.06343847,-0.0006640700000000027
Table,60,10,0,0.06336034,-0.000585940000000007
Table,61,10,0,0.06320409,-0.00042969000000001034
Table,62,10,0,0.06312596,-0.00035156000000000076
Table,63,10,0,0.0630869,-0.00042968999999999646
Table,64,10,0,0.063047834,-0.0003906239999999922
Table,65,10,0,0.06300877,-0.000390626000000005
Table,66,10,0,0.06296971,-0.00031249999999999334
Table,67,10,0,0.062852524,-0.00019531400000000199
Table,68,10,0,0.0627744,-0.00011718999999998925
Table,69,10,0,0.0627744,-0.00019531999999999883
Table,70,10,0,0.0627744,-0.0003515769999999918
Table,71,10,0,0.0627744,-0.00046876299999999704
Table,72,10,0,0.06265721,-0.00046875600000000767
Table,73,10,0,0.06265721,-0.00046875600000000767
Table,74,10,0,0.062618144,-0.0006640740000000006
Table,75,10,0,0.06265721,-0.0007031400000000049
Table,76,10,0,0.06265721,-0.0007422070000000017
Table,77,10,0,0.06265721,-0.0007812630000000043
Table,78,10,0,0.06257908,-0.0007031329999999947
Table,79,10,0,0.062422823,-0.0006250070000000038
Table,80,10,0,0.062305637,-0.00042968999999999646
Table,81,10,0,0.062188454,-0.0003125069999999966
Table,82,10,0,0.062188454,-0.0003125069999999966
Table,83,10,0.00023437300000000993,0.06195407,-0.00011719000000000313
Table,84,10,0.0003515520000000119,0.06195407,-0.00007812299999999939
Table,85,10,0.0003906080000000145,0.061915003,-0.00003905600000000259
Table,86,10,0.0003906080000000145,0.061875947,0
Table,87,10,0.0004296640000000171,0.061875947,0
Table,88,10,0.0002734210000000098,0.061797816,0.0001171870000000047
Table,89,10,0.0002734210000000098,0.061875947,0
Table,90,10,0.00015624200000000088,0.061875947,0.00003905600000000259
Table,91,10,0.000039062999999991965,0.061875947,0.00003905600000000259
Table,92,10,0,0.06183688,0.00015625300000000203
Table,93,10,0,0.061875947,0.00003905600000000259
Table,94,10,0,0.061875947,0
Table,95,10,0,0.061875947,0
Table,96,10,0,0.061875947,0.00003905600000000259
Table,97,10,0,0.061915003,-0.00003905600000000259
Table,98,10,0,0.061875947,0
Table,99,10,0,0.061915003,-0.00007812300000000633
Table,100,10,0,0.061915003,-0.00007812300000000633
Table,101,10,0.000039078000000004887,0.061993133,-0.00011718599999999829
Table,102,10,0.00007813400000000748,0.061915003,-0.00003905600000000259
Table,103,10,2.200000000229796e-8,0.061875947,0.00003905600000000259
Table,104,10,2.200000000229796e-8,0.061875947,0
Table,105,10,1.100000000114898e-8,0.061915003,-0.00003905600000000259
Table,106,10,1.100000000114898e-8,0.061875947,0
Table,107,10,0,0.061875947,0
Table,108,10,0,0.06183688,0.00003906700000000374
Table,109,10,0,0.06183688,0.00003906700000000374
Table,110,10,0,0.061875947,0
Table,111,10,0,0.061875947,0
Table,112,10,0,0.061915003,-0.00003905600000000259
Table,113,10,0,0.061875947,0
Table,114,10,0,0.061875947,-0.00003906700000000374
Table,115,10,0,0.061875947,0
Table,116,10,0,0.061875947,-0.00003906700000000374
Table,117,10,0,0.061875947,0
Table,118,10,0,0.061875947,0
Table,119,10,0,0.061875947,0
Table,120,10,0,0.061875947,-0.00003906700000000374
Table,121,10,0,0.061875947,-0.0001562540000000015
Table,122,10,0,0.061875947,-0.0001562540000000015
Table,123,10,0,0.06183688,-0.00011718699999999777
Table,124,10,0,0.061875947,-0.0001562540000000015
Table,125,10,0,0.06183688,-0.0000781299999999957
Table,126,10,0,0.061875947,-0.0001953209999999983
Table,127,10,0,0.061875947,-0.0001562540000000015
Table,128,10,0,0.061875947,-0.0001562540000000015
