input,sec,interval,sum,value,slope
Table,1,10,0.0005078159999999943,0.06402441,-0.00007812599999999781
Table,2,10,0.00042969099999999594,0.06398535,0.00007812499999999833
Table,3,10,0.0002734360000000019,0.06390722,0.00015625499999999404
Table,4,10,0.00019531100000000357,0.06398535,0.00007812499999999833
Table,5,10,0.00015625099999999614,0.06398535,0.00003906000000000742
Table,6,10,0.00015625099999999614,0.064063475,0
Table,7,10,0.00011718600000000523,0.06402441,0.00003906499999999091
Table,8,10,0.000039061000000006896,0.06398535,0.00007812499999999833
Table,9,10,0.00011719099999998872,0.064063475,-0.00003906499999999091
Table,10,10,0.00003906499999999091,0.063946284,0.00007812599999999781
Table,11,10,0.00003906499999999091,0.064063475,0
Table,12,10,0.0000781299999999957,0.064063475,0
Table,13,10,0.00003906500000000479,0.064063475,0
Table,14,10,0.0000781299999999957,0.06402441,0
Table,15,10,0.0000781299999999957,0.064063475,0
Table,16,10,0.0000781299999999957,0.064063475,0
Table,17,10,0.0000781299999999957,0.064063475,0
Table,18,10,0.00003906500000000479,0.06402441,0.00003906499999999091
Table,19,10,0.0000781299999999957,0.06402441,0
Table,20,10,0.0000781299999999957,0.064063475,0
Table,21,10,0,0.064063475,0.00003906500000000479
Table,22,10,0.000039064999999977035,0.064063475,-0.00003906499999999091
Table,23,10,0,0.06402441,0.00003906499999999091
Table,24,10,0,0.064063475,0
Table,25,10,0,0.064063475,0
Table,26,10,0,0.064063475,0
Table,27,10,0,0.064063475,0
Table,28,10,0,0.06402441,0.00003906499999999091
Table,29,10,0,0.064063475,0
Table,30,10,0,0.06410254,-0.0000781299999999957
Table,31,10,0,0.06402441,0.00003906499999999091
Table,32,10,0,0.064063475,0
Table,33,10,0,0.064063475,-0.00003906499999999091
Table,34,10,0,0.064063475,0
Table,35,10,0,0.064063475,-0.00007812499999999833
Table,36,10,0.00003906000000000742,0.064063475,-0.00003906499999999091
Table,37,10,0,0.064063475,0
Table,38,10,0,0.064063475,0
Table,39,10,0,0.06402441,0.00003906499999999091
Table,40,10,0,0.064063475,0
Table,41,10,0,0.064063475,-0.00003906499999999091
Table,42,10,0,0.06402441,0
Table,43,10,0,0.064063475,-0.00003906499999999091
Table,44,10,0,0.06398535,0.00007812499999999833
Table,45,10,0,0.06402441,0
Table,46,10,0,0.064063475,-0.00007812499999999833
Table,47,10,0,0.064063475,0
Table,48,10,0,0.064063475,-0.00003906499999999091
Table,49,10,0,0.064063475,-0.00003906499999999091
Table,50,10,0,0.06402441,0.00003906499999999091
Table,51,10,0,0.06402441,-0.00003906000000000742
Table,52,10,0,0.06402441,-0.0001562449999999993
Table,53,10,0,0.064063475,-0.00011719099999998872
Table,54,10,0,0.06402441,-0.00003906000000000742
Table,55,10,0,0.06398535,-0.000039065999999990386
Table,56,10,0,0.064063475,-0.00011719099999998872
Table,57,10,0,0.06402441,-0.00007812599999999781
Table,58,10,0,0.06402441,-0.00011719000000000313
Table,59,10,0,0.064063475,-0.00015625499999999404
Table,60,10,0,0.06398535,-0.0000781299999999957
Table,61,10,0,0.063868165,-0.00003906500000000479
Table,62,10,0,0.063946284,-0.00003906400000000532
Table,63,10,0,0.06398535,-0.00011718499999999188
Table,64,10,0,0.063946284,-0.00011718400000000628
Table,65,10,0,0.063946284,-0.00007811900000000149
Table,66,10,0,0.063946284,-0.00011718400000000628
Table,67,10,0,0.06390722,-0.000039054999999996176
Table,68,10,0.00007812400000001274,0.06390722,-0.000039054999999996176
Table,69,10,0.00019531400000001586,0.06390722,0
Table,70,10,0.0005859390000000075,0.0638291,-0.00007812499999999833
Table,71,10,0.0008203039999999939,0.06390722,-0.000039054999999996176
Table,72,10,0.0009765489999999932,0.063868165,0
Table,73,10,0.0011327939999999787,0.0638291,0.00003906500000000479
Table,74,10,0.0013281039999999689,0.063868165,0
Table,75,10,0.0013671579999999656,0.0638291,0.00003906500000000479
Table,76,10,0.0012890479999999732,0.063868165,0.000039054999999996176
Table,77,10,0.0012109289999999717,0.063868165,0.00007811900000000149
Table,78,10,0.0009765489999999655,0.06390722,0.00011719000000000313
Table,79,10,0.0004687389999999819,0.063750975,0.00031249999999999334
Table,80,10,0.00011717399999999767,0.063868165,0.00019530999999999021
Table,81,10,0,0.063868165,0.0001562449999999993
Table,82,10,0,0.063868165,0.00019530999999999021
Table,83,10,0,0.063868165,0.00019530999999999021
Table,84,10,0,0.063868165,0.00007811900000000149
Table,85,10,0,0.06390722,-0.000039054999999996176
Table,86,10,0,0.063946284,0
Table,87,10,0,0.06402441,-0.00011719000000000313
Table,88,10,0,0.064063475,-0.00019530999999999021
Table,89,10,0,0.064063475,-0.00015625499999999404
Table,90,10,0,0.06402441,-0.0001562449999999993
Table,91,10,0,0.064063475,-0.00015625499999999404
Table,92,10,0,0.064063475,-0.000234374999999995
Table,93,10,0,0.063946284,-0.00011718400000000628
Table,94,10,0,0.063868165,-0.00007812499999999833
Table,95,10,0,0.063946284,-0.00015624399999999983
Table,96,10,0,0.06390722,-0.00011717999999999451
Table,97,10,0,0.063868165,-0.00011719000000000313
Table,98,10,0,0.06390722,-0.0001562449999999993
Table,99,10,0,0.063868165,-0.00007812499999999833
Table,100,10,0,0.06390722,-0.0001562449999999993
Table,101,10,0,0.0638291,-0.00007812499999999833
Table,102,10,0,0.0638291,-0.00007812499999999833
Table,103,10,0,0.06379004,0
Table,104,10,0,0.06379004,0
Table,105,10,0,0.06379004,-0.00011719000000000313
Table,106,10,0,0.063750975,0
Table,107,10,0,0.063750975,-0.00003906500000000479
Table,108,10,0,0.06379004,-0.00003906500000000479
Table,109,10,0,0.063750975,0.00003906500000000479
Table,110,10,0,0.063750975,0.00003906500000000479
Table,111,10,0,0.063750975,0
Table,112,10,0,0.06379004,-0.00003906500000000479
Table,113,10,0,0.06379004,-0.00011719000000000313
Table,114,10,0.00031250600000000406,0.06367285,-0.0001562560000000074
Table,115,10,0.00023437599999999448,0.063750975,0.00003906500000000479
Table,116,10,0.0001562459999999849,0.06371191,0.00003906500000000479
Table,117,10,0.0001171809999999801,0.063750975,0
Table,118,10,0.00015625099999999614,0.06379004,-0.00007813000000000958
Table,119,10,0.00007812099999998656,0.06379004,0
Table,120,10,0,0.063750975,0.00003906500000000479
Table,121,10,0,0.063750975,0
Table,122,10,0,0.06367285,0.00007812499999999833
Table,123,10,0,0.063516594,0.00019531600000000093
Table,124,10,0,0.06379004,-0.00003906500000000479
Table,125,10,0,0.063750975,-0.00003906500000000479
Table,126,10,0,0.063750975,-0.00003906500000000479
Table,127,10,0,0.06371191,-0.000039059999999993544
Table,128,10,0,0.06379004,-0.00007813000000000958
Table,129,10,0,0.06379004,-0.00003906500000000479
Table,130,10,0,0.063750975,-0.00003906500000000479
Table,131,10,0,0.063750975,-0.00003906500000000479
Table,132,10,0,0.06371191,-0.000039059999999993544
Table,133,10,0,0.063750975,-0.00003906500000000479
Table,134,10,0,0.06371191,-0.00011719000000000313
Table,135,10,0,0.06371191,0
Table,136,10,0,0.06367285,0
Table,137,10,0,0.06371191,0.00003906500000000479
Table,138,10,0,0.063750975,-0.00007812499999999833
Table,139,10,0,0.06371191,-0.000039059999999993544
Table,140,10,0,0.06371191,-0.000039059999999993544
Table,141,10,0,0.06367285,-0.0001562560000000074
Table,142,10,0,0.06371191,0
Table,143,10,0,0.06359472,0
Table,144,10,0,0.06371191,-0.00007812499999999833
Table,145,10,0,0.06367285,-0.00003906500000000479
Table,146,10,0,0.063750975,-0.00011719000000000313
Table,147,10,0,0.06367285,-0.00003906500000000479
Table,148,10,0,0.06367285,-0.00007813000000000958
Table,149,10,0,0.06367285,-0.00003906500000000479
Table,150,10,0,0.063516594,0.00007812599999999781
Table,151,10,0.00007813100000000905,0.06371191,-0.00019531600000000093
Table,152,10,0,0.06359472,0.00003906500000000479
Table,153,10,6.000000010719653e-9,0.063633785,-0.00003906500000000479
Table,154,10,0,0.063633785,0
Table,155,10,0,0.063633785,0
Table,156,10,0,0.063633785,-0.00003906500000000479
Table,157,10,0.00007813100000000905,0.06359472,-0.000039059999999993544
Table,158,10,0.000039066000000004264,0.063633785,0
Table,159,10,0,0.06359472,0.00003906500000000479
Table,160,10,0,0.063516594,0.0001171910000000026
Table,161,10,0.00003906500000000479,0.063633785,-0.00007812499999999833
Table,162,10,0.00011719500000001437,0.06359472,0
Table,163,10,0.00027344500000001104,0.063633785,-0.00007812499999999833
Table,164,10,0.00042970000000001896,0.063633785,-0.00003906500000000479
Table,165,10,0.00042970000000001896,0.06359472,0.00003906500000000479
Table,166,10,0.00042970000000001896,0.06355566,0.00007812499999999833
Table,167,10,0.0005859550000000269,0.063633785,-0.00003906500000000479
Table,168,10,0.0008593950000000267,0.063633785,-0.00007812499999999833
Table,169,10,0.0008593900000000154,0.063633785,0.00003906500000000479
Table,170,10,0.000898450000000009,0.06355566,0.00011719000000000313
Table,171,10,0.0008593799999999929,0.06359472,0.00007813000000000958
Table,172,10,0.0008984449999999977,0.06355566,0.00007812499999999833
Table,173,10,0.0008593850000000042,0.06359472,0.00011719000000000313
Table,174,10,0.0009375100000000025,0.063633785,0.00003906500000000479
Table,175,10,0.0009375150000000138,0.063633785,0.00007812499999999833
Table,176,10,0.0008593900000000154,0.06359472,0.00011719000000000313
Table,177,10,0.000664075000000014,0.06355566,0.00019531500000000146
Table,178,10,0.0006640800000000252,0.06367285,0.000039059999999993544
Table,179,10,0.0004297050000000302,0.06367285,0.00015624999999999667
Table,180,10,0.0005078350000000398,0.06367285,0.000039059999999993544
Table,181,10,0.00042971000000004145,0.063633785,0.00011719000000000313
Table,182,10,0.00035158000000003187,0.06371191,0.00007813000000000958
Table,183,10,0.00023439000000002874,0.06367285,0.00011719000000000313
Table,184,10,0.00015626000000001916,0.06371191,0.00007813000000000958
Table,185,10,0.000039070000000016036,0.06371191,0.00003906500000000479
Table,186,10,0.000039070000000016036,0.063750975,0
Table,187,10,0,0.06371191,0.00003906500000000479
Table,188,10,0.00003906500000000479,0.0638291,-0.00007812499999999833
Table,189,10,0,0.06371191,0.00011719000000000313
Table,190,10,0,0.063750975,0.00003906500000000479
Table,191,10,0,0.06379004,0
Table,192,10,0,0.06379004,0
Table,193,10,0,0.06379004,0
Table,194,10,0,0.063750975,-0.00007812499999999833
Table,195,10,0,0.063750975,0
Table,196,10,0,0.063750975,-0.00003906500000000479
Table,197,10,0,0.063750975,0
Table,198,10,0,0.0638291,-0.00007812499999999833
Table,199,10,0,0.06379004,-0.00007813000000000958
Table,200,10,0,0.06379004,-0.00011719000000000313
Table,201,10,0,0.06379004,-0.00023438000000000625
Table,202,10,0,0.06379004,-0.00015625500000000792
Table,203,10,0,0.06367285,-0.00007813000000000958
Table,204,10,0,0.063750975,-0.00015625500000000792
Table,205,10,0,0.06371191,-0.00007812499999999833
Table,206,10,0,0.063750975,-0.00015625500000000792
Table,207,10,0,0.063750975,-0.00015625500000000792
Table,208,10,0,0.06371191,-0.00015624999999999667
Table,209,10,0,0.06367285,-0.00011719000000000313
Table,210,10,0,0.06355566,0
Table,211,10,0,0.063633785,-0.00007812499999999833
Table,212,10,0,0.06359472,-0.00007812599999999781
Table,213,10,0,0.06359472,-0.00011718999999998925
Table,214,10,0,0.063633785,-0.0001171910000000026
Table,215,10,0,0.06359472,-0.000039059999999993544
Table,216,10,0,0.06359472,-0.00007812599999999781
Table,217,10,0,0.06355566,-0.0000781299999999957
Table,218,10,0,0.06355566,0
Table,219,10,0,0.06355566,-0.0000781299999999957
Table,220,10,0,0.06355566,-0.0000781299999999957
Table,221,10,0,0.063516594,0.000039066000000004264
Table,222,10,0,0.06347753,0.00003906399999999144
Table,223,10,0,0.063516594,-0.00003906399999999144
Table,224,10,0,0.06355566,-0.000039066000000004264
Table,225,10,0,0.063516594,-0.00015625399999999456
Table,226,10,0,0.06347753,0.00003906399999999144
Table,227,10,0,0.06355566,-0.000039066000000004264
Table,228,10,0,0.06347753,0
Table,229,10,0,0.06347753,-0.00003906000000000742
Table,230,10,0,0.06355566,-0.00011719000000000313
Table,231,10,0.00007812800000002451,0.063516594,-0.00003906399999999144
Table,232,10,0.0001953120000000308,0.06347753,-0.00003906000000000742
Table,233,10,0.00027343600000002966,0.063516594,-0.00007812399999999886
Table,234,10,0.00011718600000001911,0.06336034,0.00011719000000000313
Table,235,10,0.00007812400000001274,0.063516594,-0.00003906399999999144
Table,236,10,0.00007812799999999676,0.063516594,-0.00003906399999999144
Table,237,10,0.00007812799999999676,0.06347753,0
Table,238,10,0.00007813199999998077,0.06343847,0.00003906000000000742
Table,239,10,0.00003907199999997335,0.06343847,0.00003906000000000742
Table,240,10,0,0.06347753,0.0000781299999999957
Table,241,10,0,0.06343847,0.00007812399999999886
Table,242,10,0,0.06343847,0
Table,243,10,0,0.06347753,-0.00003906000000000742
Table,244,10,0.00015625399999998069,0.06347753,-0.00007812599999999781
Table,245,10,0.00027343799999998697,0.06347753,-0.00003906000000000742
Table,246,10,0.00027343799999998697,0.06347753,0
Table,247,10,0.00023437399999999553,0.06347753,0.00003906399999999144
Table,248,10,0.00027343799999998697,0.06347753,0
Table,249,10,0.00031250799999997525,0.06355566,-0.0000781299999999957
Table,250,10,0.00023437599999996672,0.063516594,0.000039066000000004264
Table,251,10,0.00019531799999997213,0.06343847,0.00007812399999999886
Table,252,10,0.000273441999999971,0.06343847,0
Table,253,10,0.00015625199999998174,0.063399404,0.00011718999999998925
Table,254,10,0.00007812799999998288,0.06343847,0.00007812399999999886
Table,255,10,0.00011719199999997432,0.06347753,0
Table,256,10,0.00015625799999997858,0.063516594,0
Table,257,10,0.00019531999999998495,0.06347753,0.00003906399999999144
Table,258,10,0.00039062999999998904,0.06347753,-0.00003906000000000742
Table,259,10,0.0005468869999999959,0.06355566,-0.000039066000000004264
Table,260,10,0.0005468809999999852,0.063516594,0.000039066000000004264
Table,261,10,0.0005859479999999889,0.06343847,0.00007812399999999886
Table,262,10,0.0006250139999999932,0.063516594,0
Table,263,10,0.000703139999999991,0.063516594,0
Table,264,10,0.0006640759999999996,0.06347753,0.00003906399999999144
Table,265,10,0.000585943999999991,0.063516594,0.000039066000000004264
Table,266,10,0.000546882999999998,0.063516594,0.00007812599999999781
Table,267,10,0.00042969800000000613,0.06343847,0.00015624999999999667
Table,268,10,0.00042969700000000666,0.063516594,0.0001171910000000026
Table,269,10,0.0004297020000000179,0.06355566,0.000039059999999993544
Table,270,10,0.0003125110000000153,0.063516594,0.0001171910000000026
Table,271,10,0.00039063500000001417,0.063516594,0.000039066000000004264
Table,272,10,0.0004296990000000195,0.063516594,0.00007812599999999781
