input,sec,interval,sum,value,slope
Table,0,10,0,0.07228171,0.00008517600000000625
Table,3,10,0,0.0725909,-0.000664869999999998
Table,6,10,0.0006850369999999995,0.07198951,-0.00037495400000001067
Table,9,10,0.0002546030000000199,0.072366886,-0.0000836110000000112
Table,12,10,0,0.07192603,0.0004478740000000009
Table,15,10,0,0.071614556,0.0003207740000000098
Table,18,10,0,0.072283275,-0.0005140449999999908
Table,21,10,0.0008846399999999921,0.072373904,-0.0013338739999999988
Table,24,10,0.002086654999999993,0.07193533,-0.0006426100000000018
Table,27,10,0.001011939999999989,0.07176923,0.0003521400000000008
Table,30,10,0,0.07104003,0.001175109999999993
Table,33,10,0,0.07129272,0.0005594049999999989
Table,36,10,0.0013579799999999947,0.07212137,-0.0007225750000000031
Table,39,10,0.00047083999999998627,0.07221514,0.00014455000000000717
Table,42,10,0,0.071852125,0.00014700499999999173
Table,45,10,0,0.071398795,0.0010664249999999958
Table,48,10,0,0.07235969,-0.0007425900000000013
Table,51,10,0.00007022100000000919,0.07199913,-0.0008363599999999943
Table,54,10,0.0019807010000000014,0.07246522,-0.0010927199999999915
Table,57,10,0.0013290610000000064,0.0716171,0.0004830549999999961
Table,60,10,0.001557979000000001,0.07116277,0.0006798860000000045
Table,63,10,0.0010066089999999916,0.0713725,0.0008177600000000007
Table,66,10,0.0028904299999999855,0.072100155,-0.00016858499999999887
Table,69,10,0.027832125999999985,0.071842656,0.0009088039999999992
Table,72,10,0.195586366,0.07219026,0.00026638999999999136
Table,75,10,0.436828524,0.07193157,0.001715235999999995
Table,78,10,0.627901094,0.07275146,0.0258505
Table,81,10,0.465340874,0.07245665,0.16802063
Table,84,10,0.08108327999999998,0.073646806,0.242957394
Table,87,10,0,0.09860196,0.21692307
Table,90,10,0,0.24047728,0.005460409999999999
Table,93,10,0,0.3166042,-0.14130020000000001
Table,96,10,0,0.31552503,-0.18771244999999998
Table,99,10,0,0.24593769,-0.14329779999999998
Table,102,10,0,0.175304,-0.08197286399999999
Table,105,10,0,0.12781258,-0.042331056000000006
Table,108,10,0,0.10263989,-0.021336060000000004
Table,111,10,0,0.093331136,-0.014603420999999991
Table,114,10,0,0.085481524,-0.008236144
Table,117,10,0,0.08130383,-0.004814789999999999
Table,120,10,0,0.078727715,-0.003638735000000004
Table,123,10,0,0.07724538,-0.0033322300000000055
Table,126,10,0,0.07648904,-0.003327944999999999
Table,129,10,0.00019089900000000826,0.07508898,-0.0016559099999999966
Table,132,10,0,0.07391315,-0.000166565999999993
Table,135,10,0,0.073161095,0.0005793350000000003
Table,138,10,0,0.07343307,-0.000221869999999999
Table,141,10,0,0.073746584,-0.0008918490000000001
Table,144,10,0.0004676200000000019,0.07374043,-0.0005587199999999987
Table,147,10,0.00015787500000001564,0.0732112,-0.0001221400000000067
Table,150,10,0,0.072854735,0.0005873750000000011
Table,153,10,0,0.07318171,0.00000238500000000752
Table,156,10,0,0.07308906,-0.00043188499999999297
Table,159,10,0.000591444999999996,0.07344211,-0.0013591700000000068
Table,162,10,0.0004906300000000058,0.073184095,-0.0002686850000000046
Table,165,10,0.0006236550000000146,0.072657175,-0.0000217400000000062
Table,168,10,0,0.07208294,0.0008818700000000068
Table,171,10,0.0009031389999999972,0.07291541,-0.00036949999999999483
Table,174,10,0.001088509999999987,0.072635435,0.00011128500000000263
Table,177,10,0.0017988299999999874,0.07296481,-0.0001536599999999999
Table,180,10,0,0.07254591,0.0009455139999999945
Table,183,10,0,0.07274672,0.00029665599999999237
Table,186,10,0,0.07281115,0.0005566600000000005
Table,189,10,0,0.073491424,-0.0014814939999999999
Table,192,10,0.00039751599999998666,0.073043376,-0.0006043259999999884
Table,195,10,0.0009718139999999875,0.07336781,-0.0009183640000000048
Table,198,10,0,0.07200993,0.0012759400000000032
Table,201,10,0,0.07243905,0.00003993999999998832
Table,204,10,0,0.072449446,-0.000344066000000004
Table,207,10,0.0004032600000000164,0.07328587,-0.0010626100000000055
Table,210,10,0,0.07247899,-0.00009702399999998723
Table,213,10,0.00015766799999998582,0.07210538,-0.00008951999999999571
Table,216,10,0,0.07222326,0.0005898039999999993
Table,219,10,0.0009408860000000019,0.072381966,-0.0005074760000000067
Table,222,10,0.00119027200000002,0.07201586,0.00007533999999999319
Table,225,10,0.0009269860000000046,0.072813064,-0.0003769439999999902
Table,228,10,0,0.07187449,0.0012424899999999989
Table,231,10,0,0.0720912,0.0003247260000000113
Table,234,10,0,0.07243612,-0.0006402300000000055
Table,237,10,0,0.07311698,-0.000898613999999992
Table,240,10,0,0.072415926,-0.0002300760000000096
Table,243,10,0,0.07179589,0.00046527000000000374
Table,246,10,0,0.072218366,-0.0004075760000000067
Table,249,10,0.001597879999999996,0.07218585,-0.0008991339999999959
Table,252,10,0.0022021299999999966,0.07226116,-0.0004034400000000049
Table,255,10,0.00014009799999999129,0.07181079,0.000835336000000006
Table,258,10,0,0.071286716,0.001165983999999995
Table,261,10,0,0.07185772,0.00020080999999999571
Table,264,10,0.0008598509999999948,0.072646126,-0.0012266959999999993
Table,267,10,0.0017320709999999878,0.0724527,-0.0004399249999999938
Table,270,10,0.0014479859999999983,0.07205853,0.00007073999999999969
Table,273,10,0,0.07141943,0.001229035999999989
Table,276,10,0,0.072012775,0.0004322949999999992
Table,279,10,0.00030501399999999235,0.07212927,-0.0002133449999999898
Table,282,10,0.001388009999999995,0.072648466,-0.0004827909999999963
Table,285,10,0,0.07244507,0.0005151099999999992
Table,288,10,0,0.071915925,0.0002726949999999895
Table,291,10,0,0.072165675,0.0006002050000000064
Table,294,10,0,0.07296018,-0.0012009500000000062
Table,297,10,0.0003353300000000087,0.07218862,-0.00031671999999999256
Table,300,10,0.001180050000000002,0.07276588,-0.0009489000000000025
Table,303,10,0,0.07175923,0.0008545700000000128
Table,306,10,0,0.0718719,0.0004296599999999984
Table,309,10,0,0.07181698,-0.00010418000000000927
Table,312,10,0.0018253200000000053,0.0726138,-0.0012013040000000003
Table,315,10,0.0014920600000000034,0.07230156,0.000045580000000003396
Table,318,10,0,0.0717128,0.0006631160000000053
Table,321,10,0,0.071412496,0.0011166239999999966
Table,324,10,0,0.07234714,-0.0002876799999999985
Table,327,10,0.00021661900000000123,0.072375916,-0.0009243709999999933
Table,330,10,0.001123889000000003,0.07252912,-0.0003751599999999994
Table,333,10,0.00037719899999999473,0.07205946,0.0002656600000000009
Table,336,10,0,0.071451545,0.0003261189999999997
Table,339,10,0,0.07215396,0.0005321100000000023
Table,342,10,0,0.07232512,-0.0004810300000000073
Table,345,10,0.00038614400000000493,0.071777664,-0.0005403980000000114
Table,348,10,0.0013672599999999951,0.07268607,-0.0005898299999999995
Table,351,10,0.0014915549999999916,0.07184409,0.00009001000000000148
Table,354,10,0.00006876099999998664,0.071237266,0.000885964000000003
Table,357,10,0,0.07209624,0.0003912859999999907
Table,360,10,0.0002592650000000085,0.0719341,0.00021430499999999797
Table,363,10,0.0015271750000000195,0.07212323,-0.000536830000000002
Table,366,10,0.0008466990000000063,0.072487526,0.00027208000000000787
Table,369,10,0.0006552739999999974,0.072148405,0.0005240150000000027
Table,372,10,0.00015439399999998826,0.0715864,0.0007310800000000089
Table,375,10,0.0008245360000000007,0.072759606,-0.0004083960000000053
Table,378,10,0.0001282460000000124,0.07267242,0.0003325899999999937
Table,381,10,0.0006569060000000126,0.07231748,0.00023019999999999985
Table,384,10,0.0004264640000000014,0.07235121,0.00026174600000000714
Table,387,10,0.0011104899999999918,0.07300501,-0.0003636999999999946
Table,390,10,0,0.07254768,0.0007588600000000001
Table,393,10,0,0.072612956,0.00003130399999999589
Table,396,10,0,0.07264131,0.0003203259999999958
