input,sec,interval,sum,value,slope
Table,0,10,0.00010557800000000894,0.0708985,-0.00030388400000000426
Table,3,10,0.0003920429999999947,0.07077046,-0.00017829999999999235
Table,6,10,0.00001250999999999336,0.07057482,0.00018299400000000576
Table,9,10,0,0.070594616,0.00010088399999999553
Table,12,10,0,0.07059216,0.0001081649999999934
Table,15,10,0.0005680200000000024,0.070757814,-0.00019653899999999558
Table,18,10,0.0010241,0.0706955,-0.000015749999999994935
Table,21,10,0.001194944999999989,0.070700325,0.00014565500000000842
Table,24,10,0.0008144399999999996,0.070561275,0.00043811499999998893
Table,27,10,0.00038249999999999396,0.07067975,0.00044033000000000266
Table,30,10,0.00013852999999999782,0.07084598,0.00031649999999999734
Table,33,10,0.00017331400000000774,0.07099939,0.000057609999999999606
Table,36,10,0.00025970400000001337,0.07112008,0.000008389999999997011
Table,39,10,0.00015883400000001047,0.07116248,0.0000725300000000012
Table,42,10,0.00016944599999998977,0.071057,0.00009239400000000952
Table,45,10,0,0.07112847,0.00009478000000000264
Table,48,10,0,0.07123501,-0.000028340000000001697
Table,51,10,0,0.071149394,0.00010300599999998883
Table,54,10,0,0.07122325,-0.00014972500000000333
Table,57,10,0,0.07120667,-0.0002471839999999975
Table,60,10,0.00031716500000000813,0.0712524,-0.00023962999999999068
Table,63,10,0.000031370000000002785,0.071073525,0.00008670500000000636
Table,66,10,0,0.070959486,0.00015039000000000025
Table,69,10,0,0.07101277,0.00008007000000000153
Table,72,10,0,0.07116023,-0.000199089999999999
Table,75,10,0.0006815099999999824,0.071109876,-0.0002803559999999955
Table,78,10,0.0026352899999999985,0.07109284,-0.00004768000000000827
Table,81,10,0.005704340000000002,0.07096114,0.00022880999999999596
Table,84,10,0.008486460000000001,0.07082952,0.0005003799999999947
Table,87,10,0.007405379999999989,0.07104516,0.0019061000000000078
Table,90,10,0.00241762999999999,0.07118995,0.0032978599999999997
Table,93,10,0,0.0713299,0.0032824999999999938
Table,96,10,0,0.07295126,0.0008250199999999958
Table,99,10,0,0.07448781,-0.0016898899999999994
Table,102,10,0,0.0746124,-0.0022968000000000016
Table,105,10,0,0.07377628,-0.0016527699999999979
Table,108,10,0,0.07279792,-0.0011190650000000024
Table,111,10,0,0.0723156,-0.0007598099999999997
Table,114,10,0,0.07212351,-0.0006186499999999984
Table,117,10,0,0.071678855,-0.00042636000000000063
Table,120,10,0,0.07155579,-0.0003952199999999878
Table,123,10,0.00018348099999998535,0.07150486,-0.0002907200000000082
Table,126,10,0.00010367799999999594,0.071252495,0.00008314099999999491
Table,129,10,0.000026738000000012252,0.07116057,0.00007070999999998773
Table,132,10,0,0.07121414,0.00002963000000000271
Table,135,10,0,0.071335636,0.0000033380000000055032
Table,138,10,0,0.07123128,-0.000006229999999995961
Table,141,10,0,0.07124377,-0.000033675999999996376
Table,144,10,0,0.071338974,-0.00007253899999999647
Table,147,10,0.0000871749999999949,0.07122505,-0.00006201399999999913
Table,150,10,0.00010241900000000637,0.071210094,-0.000015494000000004782
Table,153,10,0.000024494000000013783,0.071266435,0.000005524999999992342
Table,156,10,0,0.071163036,0.00009714400000000734
Table,159,10,0,0.0711946,-2.4999999999331113e-7
Table,162,10,0,0.07127196,-0.00007240000000000024
Table,165,10,0,0.07126018,-0.0001618000000000036
Table,168,10,0,0.07119435,-0.000037710000000010235
Table,171,10,0,0.07119956,-0.00009075000000000055
Table,174,10,0,0.07109838,0.00010249999999999149
Table,177,10,0.0001617340000000106,0.07115664,-0.00030960999999998795
Table,180,10,0.000328674000000001,0.07110881,-0.00004833999999999394
Table,183,10,0.000463621999999983,0.07120088,-0.0000779059999999887
Table,186,10,0.0001824019999999843,0.07084703,0.00028797999999999324
Table,189,10,0,0.07106047,0.00011859999999999649
Table,192,10,0,0.071122974,0.000057041999999993265
Table,195,10,0,0.07113501,0.000006759999999994548
Table,198,10,0.00018718400000002078,0.07117907,-0.00009926000000000379
Table,201,10,0.000313990000000014,0.071180016,-0.00007372599999999618
Table,204,10,0.00005060599999999471,0.07114177,0.00012574000000001306
Table,207,10,0,0.07107981,0.0001351700000000039
Table,210,10,0,0.07110629,0.00005307999999999702
Table,213,10,0.00013681900000001024,0.07126751,-0.0001376440000000062
Table,216,10,0.00000785899999999895,0.07121498,0.00006904000000000632
Table,219,10,0,0.07115937,0.000013225000000005593
Table,222,10,0,0.071129866,0.000054553999999998326
Table,225,10,0,0.07128402,-0.00005992000000000497
Table,228,10,0,0.071172595,-0.00009443500000000382
Table,231,10,0,0.07118442,-0.00011869000000000463
Table,234,10,0,0.0712241,-0.0002377249999999942
Table,237,10,0.000490865000000007,0.07107816,-0.00021946000000000465
Table,240,10,0.0006129849999999964,0.07106573,0.000003990000000009264
Table,243,10,0.00044518000000000335,0.070986375,0.00019794499999999104
Table,246,10,0.00022136599999998674,0.0708587,0.0002889300000000067
Table,249,10,0,0.07106972,0.00012610999999999872
Table,252,10,0,0.07118432,0.000030139999999997946
Table,255,10,0,0.07114763,0.00006511599999999007
Table,258,10,0,0.07119583,-0.00016155500000000766
Table,261,10,0,0.07121446,-0.00005539499999999975
Table,264,10,0,0.071212746,-0.0001408359999999914
Table,267,10,0.00013810500000001336,0.071034275,-0.00006341899999999512
Table,270,10,0.0004680779999999968,0.071159065,-0.000132798999999989
Table,273,10,0.0004081530000000083,0.07107191,0.00005468999999999613
Table,276,10,0.00020595499999999378,0.070970856,0.00021621400000000623
Table,279,10,0,0.071026266,0.0001971739999999944
Table,282,10,0.000020715999999990076,0.0711266,-0.000005234999999992329
Table,285,10,0,0.07118707,0.000014015999999991702
Table,288,10,0,0.07122344,-0.00006402499999999534
Table,291,10,0,0.071121365,0.00007072499999999371
Table,294,10,8.300000000072139e-7,0.071201086,-0.00008466099999999976
Table,297,10,0.0005106700000000186,0.071159415,-0.00017218500000000525
Table,300,10,0.0007659050000000112,0.07119209,-0.000010499999999996623
Table,303,10,0.0005983999999999989,0.071116425,0.0001835150000000091
Table,306,10,0.0003624199999999883,0.07098723,0.00033765500000000614
Table,309,10,0.00008269999999999111,0.07118159,0.00024473499999999593
