input,sec,interval,sum,value,slope
Table,0,10,0,0.07436359,-0.00023051399999998723
Table,3,10,0,0.07434017,-0.0001951999999999926
Table,6,10,0,0.07413688,-0.00017599000000000087
Table,9,10,0.00014953400000000672,0.074133076,-0.0001707860000000061
Table,12,10,0.00021468900000000402,0.07414497,-0.00008821999999999997
Table,15,10,0.0002851249999999972,0.07396089,0.00017448000000000463
Table,18,10,0.0006749269999999918,0.07396229,0.00006327400000000205
Table,21,10,0.0012075219999999887,0.07405675,-0.000023065000000002667
Table,24,10,0.001084639999999984,0.07413537,0.0002449159999999978
Table,27,10,0.0008008239999999917,0.074025564,0.0004530759999999967
Table,30,10,0.00039571400000000534,0.074033685,0.0005095299999999942
Table,33,10,0.00028552600000002204,0.074380286,0.00012203399999999309
Table,36,10,0,0.07447864,0.0001692600000000044
Table,39,10,0,0.074543215,0.00010442000000000784
Table,42,10,0,0.07450232,0.000011846000000009793
Table,45,10,0,0.0746479,-0.00015563000000000382
Table,48,10,0,0.074647635,-0.00021827900000000178
Table,51,10,0,0.074514166,-0.00005715600000000265
Table,54,10,0,0.07449227,0.000010949999999995685
Table,57,10,0,0.074429356,0.0000046840000000047954
Table,60,10,0,0.07445701,-0.00007095000000000018
Table,63,10,0,0.07450322,-0.00003733999999999682
Table,66,10,0,0.07443404,-0.00016559000000000712
Table,69,10,0.00010745099999999452,0.07438606,-0.0001098300000000052
Table,72,10,0.0004911809999999933,0.07446588,-0.00016130999999999784
Table,75,10,0.00026899900000000587,0.07426845,0.00016268599999999522
Table,78,10,0.000276285000000015,0.07427623,0.00010607499999999714
Table,81,10,0,0.07430457,0.00022242000000000095
Table,84,10,0.00012045699999999049,0.074431136,-0.00005949599999999222
Table,87,10,0,0.074382305,0.00011336100000000626
Table,90,10,0,0.07452699,-0.00008939400000000652
Table,93,10,0,0.07437164,0.00009648999999999075
Table,96,10,0,0.074495666,-0.00009167200000000097
Table,99,10,0,0.074437596,-0.00010818599999999623
Table,102,10,0,0.07446813,-0.00020824999999999316
Table,105,10,0,0.074403994,-0.00023144399999999732
Table,108,10,0.000021603999999994516,0.07432941,-0.00006568999999999325
Table,111,10,0.000042385999999991486,0.07425988,0.000027974000000000054
Table,114,10,0.00022523599999998978,0.07417255,0.000034140000000001947
Table,117,10,0.0002605960000000018,0.07426372,-0.000040510000000007484
