input,sec,interval,sum,value,slope
Table,0,10,0,0.07445083,-0.0004969999999999974
Table,3,10,0,0.07413495,-0.00014616000000000628
Table,6,10,0.00003109599999999435,0.07409344,-0.000041859999999990793
Table,9,10,0.00008063999999997906,0.07395383,0.00004257000000000566
Table,12,10,0.0002624399999999888,0.07398879,-0.00006354000000000082
Table,15,10,0.0003784280000000001,0.07405158,0.00005206599999998951
Table,18,10,0.0006457200000000163,0.0739964,0.00009211399999999037
Table,21,10,0.0008914750000000027,0.07392525,0.00011826000000000891
Table,24,10,0.0009225170000000116,0.074103646,0.00016805400000000081
Table,27,10,0.0006288870000000085,0.074088514,0.00035940600000000655
Table,30,10,0.000401547000000016,0.07404351,0.0003640149999999953
Table,33,10,0.00017929499999999599,0.0742717,0.0001990960000000097
Table,36,10,0.00009408299999999481,0.07444792,0.0000657760000000035
Table,39,10,0,0.074407525,0.00013667500000000277
Table,42,10,0,0.074470796,-0.00002315600000001028
Table,45,10,0,0.074513696,-0.000019435999999997677
Table,48,10,0,0.0745442,-0.000309570000000009
Table,51,10,0.00008284399999999859,0.07444764,-0.00008664999999999368
Table,54,10,0.00029134399999999894,0.07449426,-0.00011827000000000365
Table,57,10,0.00005653599999999592,0.07423463,0.00016027400000000191
Table,60,10,0,0.07436099,0.00004084000000000032
Table,63,10,0,0.07437599,0.0000902299999999967
Table,66,10,0,0.074394904,-0.0000745340000000011
Table,69,10,0.0001966740000000078,0.07440183,-0.0001406040000000025
Table,72,10,0.0006785900000000067,0.07446622,-0.0001932399999999973
Table,75,10,0.0006868339999999973,0.07432037,0.00013226000000000904
Table,78,10,0.0005084300000000042,0.074261226,0.00025765399999999605
Table,81,10,0.000273627999999998,0.07427298,0.0002886760000000016
Table,84,10,0.0000839949999999895,0.07445263,0.00014050399999999963
Table,87,10,0,0.07451888,0.00007925000000000293
Table,90,10,0,0.074561656,0.000053873999999995426
Table,93,10,0,0.074593134,-0.00004912900000000886
Table,96,10,0,0.07459813,-0.00015606399999999743
Table,99,10,0,0.07461553,-0.0001417400000000013
Table,102,10,0,0.074544005,-0.00007527499999999965
Table,105,10,0,0.074442066,-0.000029126000000004315
Table,108,10,0,0.07447379,-0.000091090000000002
Table,111,10,0,0.07446873,-0.0001210299999999942
Table,114,10,0.00006819899999999102,0.07441294,-0.00014493399999999934
Table,117,10,0.000056198999999992894,0.0743827,-0.000038599999999999746
Table,120,10,0,0.0743477,0.00008694499999999106
Table,123,10,0,0.074268006,0.000019853999999999705
Table,126,10,0,0.0743441,-0.00005059999999999787
Table,129,10,0,0.074434645,-0.0002566049999999931
Table,132,10,0,0.07428786,6.399999999961992e-7
Table,135,10,0,0.0742935,-0.0000127800000000039
Table,138,10,0,0.07417804,-0.00009170999999999485
Table,141,10,0.00006169999999999787,0.0742885,-0.00011107999999999951
Table,144,10,0.00004416000000000142,0.07428072,-0.000005409999999997361
Table,147,10,0.0000711400000000112,0.07408633,0.00007617999999999514
Table,150,10,0.00012072000000001859,0.07417742,-0.000009069999999999911
Table,153,10,0.00013234000000000856,0.07427531,-0.00002294999999999381
Table,156,10,0.00006199999999999262,0.07416251,0.00010316000000000491
Table,159,10,0.000023973999999982176,0.07416835,0.000040510000000007484
Table,162,10,0.000014523999999987991,0.07425236,-0.000011330000000003837
Table,165,10,0,0.07426567,0.00003281999999998897
Table,168,10,0,0.07420886,0.000002483999999997044
Table,171,10,0.00008442599999999856,0.07424103,-0.000020779999999998022
Table,174,10,0.00024037000000000364,0.07429849,-0.000043719999999997095
Table,177,10,0.0003328689999999995,0.074211344,0.00003189600000000348
Table,180,10,0.00009118900000001928,0.07422025,0.00009624999999999218
Table,183,10,0.00008214100000000779,0.07425477,0.00011222400000000798
Table,186,10,0.00008616100000000126,0.07424324,0.00012439499999999937
Table,189,10,0.000579250999999989,0.0743165,-0.00014542999999998807
Table,192,10,0.0005516149999999914,0.074366994,0.00010317599999999649
Table,195,10,0.00044809600000000893,0.074367635,0.00012841499999999284
Table,198,10,0.00004126599999999814,0.07417107,0.00034765999999999964
Table,201,10,0,0.07447017,0.00007553999999999894
Table,204,10,0,0.07449605,0.000024896000000010354
Table,207,10,0,0.07451873,-0.00005917000000001116
Table,210,10,0,0.07454571,0.00003019999999999412
Table,213,10,0,0.074520946,-0.00006536600000001114
Table,216,10,0,0.07445956,-0.00003508499999999026
Table,219,10,0.000010565000000004043,0.07457591,-0.00016084999999999017
Table,222,10,0,0.07445558,9.000000000813912e-8
Table,225,10,0,0.074424475,0.00003040499999999724
Table,228,10,0,0.07441506,-0.000019930000000001336
Table,231,10,0,0.07445567,-0.000053659999999997043
Table,234,10,0.0001943439999999852,0.07445488,-0.0001159300000000002
Table,237,10,0.0000848259999999823,0.07439513,0.00003826399999999619
Table,240,10,0,0.07440201,0.000048969999999995406
Table,243,10,0,0.07433895,0.0001071099999999936
Table,246,10,0,0.074433394,-0.0000712540000000067
Table,249,10,0.000036350000000004434,0.07445098,-0.00024248000000000325
Table,252,10,0.0003871740000000179,0.07444606,-0.00017048000000000063
Table,255,10,0.0003336780000000178,0.07436214,0.0000970500000000013
Table,258,10,0.00046828800000001114,0.0742085,0.00010978000000000376
Table,261,10,0.00039074999999999527,0.07427558,0.00018034400000001283
Table,264,10,0.0005018319999999937,0.07445919,0.0000435540000000012
Table,267,10,0.00036083200000000537,0.07431828,0.0002443899999999971
Table,270,10,0.00047094599999999986,0.074455924,0.00010280599999999696
Table,273,10,0.00039386000000000976,0.074502744,0.00015463599999999966
Table,276,10,0.00036728599999999445,0.07456267,0.00010339000000000875
Table,279,10,0.00021473600000000703,0.07455873,0.00021291999999999145
Table,282,10,0.0002457759999999892,0.07465738,0.00007755000000000956
Table,285,10,0.00030818399999998913,0.07466606,0.00007681599999999345
