input,sec,interval,sum,value,slope
Table,1,10,0.0008202949999999917,0.0601181,-0.00015625200000000256
Table,2,10,0.000937493999999997,0.060000915,-0.00003906700000000374
Table,3,10,0.0008203049999999934,0.05972748,0.00019531200000000304
Table,4,10,0.0006640639999999989,0.05976654,0.0001953079999999982
Table,5,10,0.00046875600000000073,0.05976654,0.0001953079999999982
Table,6,10,0.0003906350000000072,0.05984466,0.00011718799999999724
Table,7,10,0.00031251200000000784,0.059883725,0.00007812299999999939
Table,8,10,0.0002734560000000122,0.059922792,0.00003905599999999565
Table,9,10,0.00011719900000000533,0.059883725,0.00011719000000000313
Table,10,10,0.0002734450000000041,0.059961848,-0.00007812299999999939
Table,11,10,0.00011718100000000092,0.059961848,0.00007813200000000159
Table,12,10,0.000039058000000001536,0.059922792,0.00007812299999999939
Table,13,10,0,0.059961848,0.00003906700000000374
Table,14,10,0,0.059961848,0
Table,15,10,0.00011717899999999504,0.059961848,0.00003906700000000374
Table,16,10,0.00031250099999999975,0.059961848,0
Table,17,10,0.0005468850000000039,0.059961848,0
Table,18,10,0.0007031500000000065,0.060000915,-0.00003906700000000374
Table,19,10,0.0007812790000000097,0.059883725,0.00007812299999999939
Table,20,10,0.0010937950000000154,0.06003998,-0.00007813200000000159
Table,21,10,0.0012500500000000164,0.060000915,0
Table,22,10,0.0013281810000000116,0.060000915,0
Table,23,10,0.0015235030000000163,0.059961848,0
Table,24,10,0.0013672480000000153,0.060000915,0.00015625500000000098
Table,25,10,0.0010938020000000048,0.059961848,0.00019532200000000471
Table,26,10,0.0007422319999999955,0.059961848,0.00023438400000000414
Table,27,10,0.0006640880000000002,0.059961848,0.00011719799999999891
Table,28,10,0.0005469059999999998,0.059961848,0.00015625200000000256
Table,29,10,0.00015626999999999308,0.059961848,0.00023438400000000414
Table,30,10,0,0.060000915,0.00015625500000000098
Table,31,10,0,0.060000915,0.00007813099999999518
Table,32,10,0,0.059961848,0.00019532200000000471
Table,33,10,0,0.06015717,0
Table,34,10,0,0.06015717,-0.0000781240000000058
Table,35,10,0,0.060196232,-0.00011718600000000523
Table,36,10,0,0.060079046,0.00003905400000000364
Table,37,10,0,0.0601181,0.00003907000000000216
Table,38,10,0,0.060196232,-0.00015625200000000256
Table,39,10,0,0.06015717,-0.00003907000000000216
Table,40,10,0.000039058000000001536,0.060079046,0.00003905400000000364
Table,41,10,0.0002734380000000078,0.06015717,-0.00011719000000000313
Table,42,10,0.0004296860000000194,0.06015717,-0.0000781240000000058
Table,43,10,0.0004297020000000179,0.060079046,0.00003905400000000364
Table,44,10,0.0005859580000000184,0.060079046,-0.000039065999999997325
Table,45,10,0.0005468880000000162,0.0601181,0.00003907000000000216
Table,46,10,0.0006640900000000199,0.06015717,-0.00003907000000000216
Table,47,10,0.00046877600000001796,0.06003998,0.00015625200000000256
Table,48,10,0.0005078460000000201,0.0601181,0
Table,49,10,0.0004687820000000148,0.0601181,0.00007813200000000159
Table,50,10,0.0004297220000000074,0.06003998,0.00011719000000000313
Table,51,10,0.0003515980000000016,0.060079046,0.0000781240000000058
Table,52,10,0.00042971299999999824,0.0601181,0.00003907000000000216
Table,53,10,0.00042970799999999393,0.06003998,0.00011719000000000313
Table,54,10,0.0005078379999999896,0.06015717,0
Table,55,10,0.0005078289999999874,0.0601181,0.00007813200000000159
Table,56,10,0.0006250209999999826,0.060196232,-0.00003906199999999943
Table,57,10,0.0007812629999999765,0.0601181,0.00003907000000000216
Table,58,10,0.0007812499999999833,0.060196232,0.00003906799999999627
