input,sec,interval,sum,value,slope
Table,1,10,0.0011718920000000077,0.063165024,-0.00007812399999999886
Table,2,10,0.001210957999999998,0.063047834,0.00011719000000000313
Table,3,10,0.0012500239999999885,0.063047834,0.00011719000000000313
Table,4,10,0.0009765839999999887,0.06296971,0.0002734399999999998
Table,5,10,0.0009765839999999748,0.0630869,0.00011719000000000313
Table,6,10,0.001093773999999978,0.063165024,0
Table,7,10,0.0009375239999999813,0.0630869,0.00015624999999999667
Table,8,10,0.0009375279999999792,0.063165024,0.00007812599999999781
Table,9,10,0.0009765859999999738,0.063165024,0.000039066000000004264
Table,10,10,0.0005468959999999773,0.0630869,0.0002734399999999998
Table,11,10,0.0003515739999999934,0.063165024,0.0001562559999999935
Table,12,10,0.0001562520000000095,0.063165024,0.0001562559999999935
Table,13,10,0.0001953160000000148,0.06324315,0
Table,14,10,0.0003125060000000318,0.06320409,0.00011718999999998925
Table,15,10,0.0005468870000000237,0.063165024,0.00011719000000000313
Table,16,10,0.000937522000000024,0.06324315,0
Table,17,10,0.0012109620000000376,0.06324315,0.0000781299999999957
Table,18,10,0.0012890940000000323,0.06320409,0.00007812399999999886
Table,19,10,0.0017578480000000202,0.06336034,-0.00015624999999999667
Table,20,10,0.002070360000000007,0.06332128,-0.000039065999999990386
Table,21,10,0.00234380599999999,0.06332128,-0.000039065999999990386
Table,22,10,0.0024219319999999878,0.06324315,0.00003906400000000532
Table,23,10,0.0021875519999999815,0.06332128,0.00023438000000000625
Table,24,10,0.001718789999999984,0.063282214,0.00035157099999999497
Table,25,10,0.0011718999999999896,0.06324315,0.0003906350000000003
Table,26,10,0.000585949999999974,0.06332128,0.0003515700000000094
Table,27,10,0.0005078179999999793,0.063282214,0.0001562559999999935
Table,28,10,0.00015624999999999667,0.06320409,0.00031250399999999123
Table,29,10,0,0.063282214,0.00027344599999999664
Table,30,10,0,0.063282214,0.00023437999999999237
Table,31,10,0,0.063282214,0.00011719000000000313
Table,32,10,0,0.06355566,0
Table,33,10,0,0.063633785,-0.0001171910000000026
Table,34,10,0,0.063633785,-0.00015625499999999404
Table,35,10,0,0.06367285,-0.00023438000000000625
Table,36,10,0,0.06343847,0.00007812399999999886
Table,37,10,0,0.063516594,-0.00003906399999999144
Table,38,10,0,0.06355566,-0.0001562559999999935
Table,39,10,0,0.063516594,-0.00011718999999998925
Table,40,10,0,0.063399404,0.00007812599999999781
Table,41,10,0,0.06355566,-0.00011719000000000313
Table,42,10,0,0.063516594,-0.00015625399999999456
Table,43,10,0,0.06347753,-0.00007812599999999781
Table,44,10,0,0.06343847,-0.0000781299999999957
Table,45,10,0,0.063516594,-0.00011718999999998925
Table,46,10,0,0.06347753,-0.00011719000000000313
Table,47,10,0,0.063399404,-0.00003906400000000532
Table,48,10,0,0.063399404,0
Table,49,10,0,0.06347753,-0.00007812599999999781
Table,50,10,0,0.06343847,-0.0000781299999999957
Table,51,10,0,0.06336034,0
Table,52,10,0,0.063399404,-0.00007812400000001274
Table,53,10,0,0.06336034,-0.00007812599999999781
Table,54,10,0,0.063399404,-0.00003906400000000532
Table,55,10,0,0.06336034,0
Table,56,10,0,0.06336034,0
Table,57,10,0,0.063399404,-0.00003906400000000532
Table,58,10,0,0.063399404,-0.00007812400000001274
Table,59,10,0,0.06336034,-0.00003906000000000742
Table,60,10,0,0.06336034,-0.00003906000000000742
Table,61,10,0,0.06332128,0
Table,62,10,0,0.063282214,0.000039065999999990386
Table,63,10,0,0.06336034,-0.00003906000000000742
Table,64,10,0.00011718400000002016,0.06336034,-0.00007812599999999781
Table,65,10,0.00015624800000002548,0.06336034,0
Table,66,10,0.0001953080000000329,0.06336034,-0.00003906000000000742
Table,67,10,0.0003125000000000211,0.06332128,-0.000039065999999990386
Table,68,10,0.0003125000000000211,0.06332128,0
Table,69,10,0.00023438000000000625,0.06332128,0.00003906000000000742
Table,70,10,0.0001171919999999882,0.06332128,0.00007812400000001274
Table,71,10,0.00007813199999998077,0.06332128,0.00003906000000000742
Table,72,10,0.0001171919999999882,0.06332128,0
Table,73,10,0.00011718600000000523,0.063282214,0.000039065999999990386
Table,74,10,0.00007812199999999991,0.06336034,0.00003906400000000532
Table,75,10,0.00011718200000000734,0.06332128,0
Table,76,10,0.00003905600000000953,0.063282214,0.00007812599999999781
Table,77,10,0.00003905600000000953,0.06332128,0
Table,78,10,0.00011717600000002437,0.06336034,-0.00003906000000000742
Table,79,10,0.00011718000000002227,0.063399404,-0.00003906400000000532
Table,80,10,0.00007812000000001484,0.06336034,0
Table,81,10,0,0.06332128,0.00003906000000000742
Table,82,10,0,0.06332128,0.00003906000000000742
Table,83,10,0,0.063399404,0
Table,84,10,0,0.06332128,0.00003906000000000742
Table,85,10,0,0.06336034,0
Table,86,10,0,0.06332128,0
Table,87,10,0,0.06332128,0.00003906000000000742
Table,88,10,0,0.06336034,-0.00003906000000000742
Table,89,10,0,0.06336034,-0.00003906000000000742
Table,90,10,0,0.06336034,-0.00003906000000000742
Table,91,10,0.000039065999999990386,0.06336034,-0.00011719000000000313
Table,92,10,0.00015625000000001055,0.063399404,-0.00007812400000001274
Table,93,10,0.0002343700000000254,0.06336034,-0.00003906000000000742
Table,94,10,0.00019531000000001797,0.06336034,0
Table,95,10,0.00019531000000001797,0.06332128,0
Table,96,10,0.000195304000000035,0.06336034,-0.00003906000000000742
Table,97,10,0.00023436400000004243,0.06332128,0
Table,98,10,0.00015624400000002758,0.06332128,0.00003906000000000742
Table,99,10,0.00011718400000002016,0.06332128,0.00003906000000000742
Table,100,10,0,0.06324315,0.00011719000000000313
Table,101,10,0,0.06332128,0.00003906000000000742
Table,102,10,0,0.06332128,0.00003906000000000742
Table,103,10,0,0.06336034,-0.00003906000000000742
Table,104,10,0,0.06332128,0
Table,105,10,0,0.06332128,-0.000039065999999990386
Table,106,10,0,0.06332128,0.00003906000000000742
Table,107,10,0,0.06336034,-0.00003906000000000742
Table,108,10,0,0.06336034,0
Table,109,10,0,0.06336034,0
Table,110,10,0,0.06336034,-0.00007812599999999781
Table,111,10,0,0.06336034,0
Table,112,10,0,0.06332128,-0.000039065999999990386
Table,113,10,0.0000781439999999467,0.06332128,-0.000039065999999990386
Table,114,10,0.000039077999999956314,0.063282214,0.000039065999999990386
Table,115,10,0.00007813799999996374,0.06336034,-0.00003906000000000742
Table,116,10,0.000039077999999956314,0.06332128,0.00003906000000000742
Table,117,10,0.00011719799999997116,0.06336034,-0.00003906000000000742
Table,118,10,0.000195317999999986,0.06336034,-0.00003906000000000742
Table,119,10,0.00019531200000000304,0.063282214,0.000039065999999990386
Table,120,10,0.0002734320000000179,0.06336034,-0.00003906000000000742
Table,121,10,0.0002734260000000349,0.063282214,0.000039065999999990386
Table,122,10,0.0001953000000000371,0.063282214,0.00007812599999999781
Table,123,10,0.00023436000000004453,0.06332128,0
Table,124,10,0.00031248400000005727,0.06332128,0
Table,125,10,0.0003515480000000626,0.06336034,0
Table,126,10,0.00027342800000004774,0.06332128,0.00003906000000000742
Table,127,10,0.00023436800000004032,0.06332128,0.00003906000000000742
Table,128,10,0.0001953080000000329,0.06332128,0.00003906000000000742
Table,129,10,0.00011718800000001806,0.06332128,0.00003906000000000742
Table,130,10,0.00003906800000000321,0.06332128,0.00003906000000000742
Table,131,10,7.999999995789153e-9,0.06336034,0
Table,132,10,0,0.06332128,0.00003906000000000742
Table,133,10,0,0.06332128,0.00007812400000001274
Table,134,10,0,0.06336034,0.00003906400000000532
Table,135,10,0,0.06336034,-0.00003906000000000742
Table,136,10,0,0.06336034,0
Table,137,10,0,0.06336034,0
Table,138,10,0,0.06336034,-0.00003906000000000742
Table,139,10,0,0.06336034,-0.00003906000000000742
Table,140,10,0,0.06336034,-0.00003906000000000742
Table,141,10,0,0.06336034,-0.00003906000000000742
Table,142,10,0,0.063399404,-0.00007812400000001274
Table,143,10,0,0.063399404,-0.00003906400000000532
Table,144,10,0,0.06332128,0
Table,145,10,0.00003906000000000742,0.06336034,-0.00003906000000000742
Table,146,10,0.00007812000000001484,0.06336034,-0.00003906000000000742
Table,147,10,0.00007812000000001484,0.06332128,0
Table,148,10,0,0.06332128,0.00003906000000000742
Table,149,10,0.00003906000000000742,0.06332128,0
Table,150,10,0.00003906000000000742,0.06332128,0
Table,151,10,0.00003906000000000742,0.06332128,0
Table,152,10,0.00007812000000001484,0.06336034,-0.00003906000000000742
Table,153,10,0,0.06332128,0.00003906000000000742
Table,154,10,0,0.06332128,0.00003906000000000742
Table,155,10,0,0.06332128,0
Table,156,10,0,0.06332128,0
Table,157,10,0,0.06336034,-0.00003906000000000742
Table,158,10,0,0.06332128,0.00003906000000000742
Table,159,10,0,0.06332128,0
Table,160,10,0,0.06332128,0
Table,161,10,0,0.06332128,0
Table,162,10,0,0.06336034,-0.00011719000000000313
Table,163,10,0.00003905600000005116,0.06336034,-0.00011719000000000313
Table,164,10,0,0.06332128,0
Table,165,10,0.00003905800000003623,0.06332128,-0.000039065999999990386
Table,166,10,0,0.06332128,0.00007812400000001274
Table,167,10,1.9999999989472883e-9,0.06336034,-0.00007812599999999781
Table,168,10,0.00003906200000000637,0.06332128,0
Table,169,10,0,0.06332128,0.00003906000000000742
Table,170,10,0,0.06332128,0.00003906000000000742
Table,171,10,5.999999969086289e-9,0.06324315,-0.000039059999999993544
Table,172,10,7.99999995415579e-9,0.06324315,0.00003906400000000532
Table,173,10,0.0002343919999999583,0.06332128,-0.0000781299999999957
Table,174,10,0.00023438599999997534,0.063282214,0.000039065999999990386
Table,175,10,0.0003515699999999955,0.063399404,-0.00007812400000001274
Table,176,10,0.0003125040000000051,0.063282214,0.000039065999999990386
Table,177,10,0.0002734439999999977,0.06332128,0.00003906000000000742
Table,178,10,0.0003906359999999859,0.06336034,-0.00007812599999999781
Table,179,10,0.00046875600000000073,0.06336034,-0.00003906000000000742
Table,180,10,0.0003906260000000189,0.06320409,0.00011718999999998925
Table,181,10,0.0003515600000000285,0.063282214,0.000039065999999990386
