input,sec,interval,sum,value,slope
Table,1,10,0.0008593979999999973,0.06347753,-0.00007812599999999781
Table,2,10,0.0007031420000000038,0.063282214,0.0001562559999999935
Table,3,10,0.0005078260000000029,0.063282214,0.00019531600000000093
Table,4,10,0.0003515700000000094,0.063282214,0.0001562559999999935
Table,5,10,0.00027344599999999664,0.06332128,0.00007812400000001274
Table,6,10,0.00007813599999997867,0.06332128,0.00015625000000001055
Table,7,10,0.0000781299999999957,0.063399404,0.000039065999999990386
Table,8,10,0.00007813199999998077,0.06336034,0.00003906400000000532
Table,9,10,0.00015625799999997858,0.063399404,0
Table,10,10,0.00019531599999998706,0.063399404,0.000039065999999990386
Table,11,10,0.00023437599999999448,0.06343847,0
Table,12,10,0.00019531599999998706,0.06347753,0
Table,13,10,0.00023437599999999448,0.06343847,0
Table,14,10,0.0006250119999999942,0.063399404,0
Table,15,10,0.001015642000000011,0.06347753,-0.00003906000000000742
Table,16,10,0.0012890920000000056,0.06343847,0.00003906000000000742
Table,17,10,0.001523466000000015,0.063399404,0.000039065999999990386
Table,18,10,0.0016797200000000095,0.063399404,0.00007812599999999781
Table,19,10,0.0018359770000000164,0.06343847,0.00007812399999999886
Table,20,10,0.001953172000000003,0.06343847,0.00003906000000000742
Table,21,10,0.0022656720000000102,0.06347753,-0.00003906000000000742
Table,22,10,0.002460991999999995,0.06343847,0.00003906000000000742
Table,23,10,0.0019141009999999875,0.063399404,0.00039063599999999976
Table,24,10,0.0014062759999999702,0.06343847,0.0003515700000000094
Table,25,10,0.0009375109999999603,0.06347753,0.00031251000000000195
Table,26,10,0.000625010999999967,0.06343847,0.0002734399999999998
Table,27,10,0.0003125059999999763,0.06347753,0.00023437999999999237
Table,28,10,0,0.063516594,0.00023438100000000572
Table,29,10,0,0.06347753,0.00015625499999999404
Table,30,10,0,0.06343847,0.0002734399999999998
Table,31,10,0,0.06347753,0.00023437999999999237
Table,32,10,0,0.06379004,-0.00015625500000000792
Table,33,10,0,0.06379004,-0.00015625500000000792
Table,34,10,0,0.06379004,-0.00015625500000000792
Table,35,10,0,0.06371191,-0.000039059999999993544
Table,36,10,0,0.06371191,-0.00007812499999999833
Table,37,10,0,0.063750975,-0.00019531500000000146
Table,38,10,0,0.063633785,0
Table,39,10,0,0.06371191,-0.00007812499999999833
Table,40,10,0,0.06371191,-0.00019531600000000093
Table,41,10,0,0.063633785,-0.00015625499999999404
Table,42,10,0,0.063633785,-0.00007812499999999833
Table,43,10,0,0.063633785,-0.0001171910000000026
Table,44,10,0,0.06367285,-0.00023438000000000625
Table,45,10,0,0.063633785,-0.00003906500000000479
Table,46,10,0,0.06355566,0
Table,47,10,0,0.063633785,-0.00019531500000000146
Table,48,10,0,0.063633785,-0.00023438099999999185
Table,49,10,0,0.063516594,0
Table,50,10,0,0.06347753,0
Table,51,10,0,0.06355566,-0.00011719000000000313
Table,52,10,0,0.063516594,0
Table,53,10,0,0.06343847,0.00003906000000000742
Table,54,10,0,0.06359472,-0.00015624999999999667
Table,55,10,0,0.06355566,-0.0000781299999999957
Table,56,10,0,0.06343847,0.00003906000000000742
Table,57,10,0,0.063399404,0
Table,58,10,0,0.063516594,-0.00007812399999999886
Table,59,10,0,0.06347753,0
Table,60,10,0,0.06343847,0
Table,61,10,0,0.063516594,-0.00011718999999998925
Table,62,10,0,0.06347753,0
Table,63,10,0,0.06343847,0
Table,64,10,0,0.06347753,-0.00003906000000000742
Table,65,10,0,0.06347753,-0.00003906000000000742
Table,66,10,0,0.063399404,0.000039065999999990386
Table,67,10,0,0.06343847,-0.000039065999999990386
Table,68,10,0.00003906000000000742,0.06347753,-0.00007812599999999781
Table,69,10,0.0001171919999999882,0.06343847,-0.000039065999999990386
Table,70,10,0.00007812599999999781,0.063399404,0.000039065999999990386
Table,71,10,0.00011718600000000523,0.06347753,-0.00003906000000000742
Table,72,10,0,0.06343847,0.00003906000000000742
Table,73,10,0,0.06343847,0
Table,74,10,0,0.06343847,-0.000039065999999990386
Table,75,10,0,0.06343847,0.00003906000000000742
Table,76,10,0,0.063399404,0
Table,77,10,0,0.063399404,0.000039065999999990386
Table,78,10,0,0.063399404,0.000039065999999990386
Table,79,10,0,0.06343847,0
Table,80,10,0,0.06343847,0
Table,81,10,0,0.06347753,-0.00007812599999999781
Table,82,10,0.00007812000000001484,0.06343847,-0.000039065999999990386
Table,83,10,0.00007812000000001484,0.063399404,0
Table,84,10,0.00015624600000001265,0.06347753,-0.00007812599999999781
Table,85,10,0.00019531200000000304,0.063399404,0
Table,86,10,0.0002734439999999838,0.06343847,-0.000039065999999990386
Table,87,10,0.00019532399999996897,0.06343847,0.00003906000000000742
Table,88,10,0.00019532399999996897,0.06343847,0
Table,89,10,0.00011720399999995412,0.06343847,0.00003906000000000742
Table,90,10,0,0.063399404,0.00007812599999999781
Table,91,10,0,0.063399404,0.000039065999999990386
Table,92,10,0,0.063399404,0
Table,93,10,0,0.063399404,0
Table,94,10,0,0.063399404,0.000039065999999990386
Table,95,10,0,0.063399404,0.000039065999999990386
Table,96,10,0,0.06347753,-0.00003906000000000742
Table,97,10,0,0.06343847,0
Table,98,10,0,0.06347753,-0.00003906000000000742
Table,99,10,0,0.06347753,-0.00011719000000000313
Table,100,10,0.000039065999999990386,0.06343847,-0.000039065999999990386
Table,101,10,0.000039065999999990386,0.063399404,0
Table,102,10,0,0.063399404,0.000039065999999990386
Table,103,10,0.0001562599999999914,0.06343847,-0.0000781299999999957
Table,104,10,0.00011719400000000102,0.06343847,0
Table,105,10,0.00011719400000000102,0.06343847,0
Table,106,10,0.00007812800000001063,0.06343847,0
Table,107,10,0.0001562599999999914,0.06343847,-0.000039065999999990386
Table,108,10,0.0000781299999999957,0.06336034,0.0000781299999999957
Table,109,10,0.00003906400000000532,0.063399404,0.000039065999999990386
Table,110,10,0.00003906400000000532,0.063399404,0
Table,111,10,0.00003906400000000532,0.06343847,0
Table,112,10,0,0.06336034,0.0000781299999999957
Table,113,10,0,0.06343847,-0.000039065999999990386
Table,114,10,0,0.06343847,0
Table,115,10,1.9999999850695005e-9,0.06343847,-0.000039065999999990386
Table,116,10,0,0.063399404,0.000039065999999990386
Table,117,10,0,0.06343847,0
Table,118,10,0,0.06343847,0
Table,119,10,0,0.063399404,0
Table,120,10,0,0.06343847,0
Table,121,10,0,0.06343847,-0.000039065999999990386
Table,122,10,0,0.063399404,-0.00003906400000000532
Table,123,10,0,0.06343847,0
Table,124,10,0,0.063399404,0.000039065999999990386
Table,125,10,0,0.06343847,-0.000039065999999990386
Table,126,10,0,0.06343847,-0.0000781299999999957
Table,127,10,0,0.06343847,-0.000039065999999990386
Table,128,10,0,0.063399404,0
Table,129,10,0.00003906400000000532,0.06343847,-0.0000781299999999957
Table,130,10,0.00003906400000000532,0.063399404,0
Table,131,10,0.00007812800000001063,0.06336034,0
Table,132,10,0.0000781299999999957,0.06343847,-0.000039065999999990386
Table,133,10,0,0.06343847,0
Table,134,10,0,0.063399404,0.000039065999999990386
Table,135,10,0,0.06336034,0.00003906400000000532
Table,136,10,0,0.063399404,0
Table,137,10,0,0.063399404,-0.00003906400000000532
Table,138,10,0,0.06336034,0.00003906400000000532
Table,139,10,0,0.063399404,0
Table,140,10,0,0.06336034,0.00003906400000000532
Table,141,10,0,0.063399404,-0.00003906400000000532
Table,142,10,0.00003906400000000532,0.06343847,-0.0000781299999999957
Table,143,10,0.000039065999999990386,0.06343847,-0.000039065999999990386
Table,144,10,0.00011719400000000102,0.063399404,-0.00003906400000000532
Table,145,10,0.00011719400000000102,0.063399404,0
Table,146,10,0.0000781299999999957,0.06336034,0.00003906400000000532
Table,147,10,0.0000781339999999936,0.063399404,-0.00003906400000000532
Table,148,10,0.00003906999999998828,0.063399404,0
Table,149,10,5.999999982964077e-9,0.063399404,0
Table,150,10,0,0.06336034,0.00003906400000000532
Table,151,10,0,0.06336034,0.0000781299999999957
Table,152,10,0,0.063399404,-0.00003906400000000532
Table,153,10,0,0.06336034,0.00003906400000000532
Table,154,10,0,0.063399404,0
Table,155,10,0,0.063399404,0
Table,156,10,0,0.06336034,-0.00003906000000000742
Table,157,10,0,0.063399404,-0.00003906400000000532
Table,158,10,0,0.063399404,-0.00003906400000000532
Table,159,10,0.00003905800000002235,0.063399404,-0.00003906400000000532
Table,160,10,0.00011718800000001806,0.06343847,-0.0000781299999999957
Table,161,10,0,0.06336034,0.00003906400000000532
Table,162,10,0,0.063399404,0
Table,163,10,0,0.063399404,-0.00003906400000000532
Table,164,10,0,0.063399404,0
Table,165,10,0,0.06332128,0.00007812400000001274
Table,166,10,0,0.06336034,0
Table,167,10,0,0.06336034,0.00003906400000000532
Table,168,10,0,0.06336034,0
Table,169,10,0,0.06336034,0
Table,170,10,0.00003906000000000742,0.063399404,-0.00007812400000001274
Table,171,10,0.00011718800000001806,0.063399404,-0.00003906400000000532
Table,172,10,0.00015625200000002337,0.06336034,0
Table,173,10,0.00015625200000002337,0.063399404,0
Table,174,10,0.000234380000000034,0.063399404,-0.00003906400000000532
Table,175,10,0.0002734440000000393,0.06336034,0
Table,176,10,0.000234380000000034,0.063399404,0
Table,177,10,0.0002734440000000393,0.06336034,0
Table,178,10,0.000234380000000034,0.06336034,0.00003906400000000532
Table,179,10,0.00007813200000000853,0.06332128,0.00007812400000001274
Table,180,10,3.999999997894577e-9,0.06336034,0.00003906400000000532
Table,181,10,0,0.06336034,0.00003906400000000532
Table,182,10,0,0.063399404,0
Table,183,10,0,0.06336034,0.00003906400000000532
Table,184,10,0,0.06336034,0.00003906400000000532
Table,185,10,0,0.063399404,-0.00003906400000000532
Table,186,10,0,0.06336034,0.00003906400000000532
Table,187,10,0,0.063399404,0
Table,188,10,0,0.063399404,-0.00007812400000001274
Table,189,10,0,0.063399404,-0.00003906400000000532
Table,190,10,0,0.063399404,-0.00003906400000000532
Table,191,10,0,0.063399404,0
Table,192,10,0,0.063399404,-0.00003906400000000532
Table,193,10,0,0.063399404,-0.00007812400000001274
Table,194,10,0,0.06336034,0.00003906400000000532
Table,195,10,0,0.063399404,-0.00003906400000000532
Table,196,10,0.00003906000000000742,0.063399404,-0.00003906400000000532
Table,197,10,0,0.06332128,0.00003906000000000742
Table,198,10,0,0.06336034,0
Table,199,10,0,0.06336034,0
Table,200,10,3.999999997894577e-9,0.063399404,-0.00003906400000000532
Table,201,10,0,0.06336034,0.00003906400000000532
Table,202,10,0,0.06332128,0
Table,203,10,0,0.063399404,0
Table,204,10,0,0.06336034,0
Table,205,10,0,0.06336034,0
Table,206,10,0,0.06336034,0
Table,207,10,0,0.06336034,-0.00003906000000000742
Table,208,10,0,0.06336034,0
Table,209,10,0,0.06336034,0
Table,210,10,0,0.063399404,-0.00003906400000000532
Table,211,10,0,0.06332128,0.00003906000000000742
Table,212,10,0,0.063399404,0
Table,213,10,0,0.06336034,-0.00003906000000000742
Table,214,10,0,0.06336034,0
Table,215,10,5.999999982964077e-9,0.06336034,-0.00007812599999999781
Table,216,10,0.000039065999999990386,0.06332128,0
Table,217,10,0.00007812599999999781,0.06336034,-0.00003906000000000742
Table,218,10,0.00011718600000000523,0.06336034,-0.00003906000000000742
Table,219,10,0.00015624600000001265,0.06336034,-0.00003906000000000742
Table,220,10,0.00015624600000001265,0.06336034,0
Table,221,10,0.00015625000000001055,0.063399404,-0.00003906400000000532
Table,222,10,0.00011719000000000313,0.06332128,0.00003906000000000742
Table,223,10,0.0000781299999999957,0.06336034,0
Table,224,10,0,0.063282214,0.00011719000000000313
Table,225,10,0,0.06332128,0.00003906000000000742
Table,226,10,0,0.06332128,0
Table,227,10,0,0.06332128,0
Table,228,10,0,0.06332128,0
Table,229,10,0,0.06336034,0
Table,230,10,0.00003906000000000742,0.06336034,-0.00003906000000000742
Table,231,10,0,0.06336034,0
Table,232,10,0.00007812000000001484,0.06336034,-0.00003906000000000742
Table,233,10,0.00023436800000004032,0.063399404,-0.00007812400000001274
Table,234,10,0.00031248800000005517,0.06336034,-0.00003906000000000742
Table,235,10,0.00027342800000004774,0.06332128,0.00003906000000000742
Table,236,10,0.00023436800000004032,0.06332128,0.00003906000000000742
Table,237,10,0.00015624400000002758,0.06332128,0.00007812400000001274
Table,238,10,0.0001953080000000329,0.06336034,0
