sec,2 h,4 h,6 h,8 h,10 h,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
0,0,3.9054E-05,0,0.001875026,0.003281296,,73.33333333,124.3333333,202.6666667,220,252.3333333
3,0,0,0.00554696,0.004961016,0.000429694,,,,,,
6,0.000156257,0.002070346,0.00136721,0,0.00277348,,,,,,
9,0.001093772,0,0.002031275,0,0.00300786,,,,,,
12,0.003437554,0,0,0,0.000117186,,,,,,
15,0,0,0.000546875,0.001328154,0,,,,,,
18,0.001523464,0.000468754,0,0.001210956,0,,,,,,
21,0.00265629,0.001250024,0.00308599,0.003281286,3.9068E-05,,,,,,
24,0.00480475,0.002968794,0.00324225,0,0.00019532,,,,,,
27,0,7.8124E-05,0.003046925,0,7.8122E-05,,,,,,
30,0,0,0,0,0.000703126,,,,,,
33,0,0,0,0.004257875,0.000625,,,,,,
36,0.00292974,0,0,0,7.8124E-05,,,,,,
39,0.00140628,0,0,0.001796895,0,,,,,,
42,0.00484383,0,0,0,0,,,,,,
45,0.004570384,0.001054696,3.9061E-05,0.00226567,0,,,,,,
48,0.002070344,0.00277348,0.000664085,0,0,,,,,,
51,0,0.00203129,0.000429709,0.00132815,0.00285161,,,,,,
54,0,0,0,0,0.00152347,,,,,,
57,0,0,0,0.002617226,0.00367194,,Hours,Ethylene (ppb),,,
60,0,0.001367204,0.003164106,0.003515686,0,,2,73.3,,,
63,0,0.002695346,0.003398491,0.00289067,0.002343786,,4,124.3,,,
66,0,0,0.003281305,0.000820328,0,,6,202.6,,,
69,0,0,0,0.003984428,0.00718761,,8,220,,,
72,0.004687561,0,0.004140685,0.01167986,0.008945448,,10,252.3,,,
75,0.007382915,0.00703136,0.007500107,0.014492402,0.0217972,,,,,,
78,0.00425788,0.007226678,0.011757997,0.012773632,0.01464866,,,,,,
81,0,0.006445418,0.003242236,0.002500036,0.006445416,,,,,,
84,0,0,0,0,0,,,,,,
87,0,0,0,0,0,,,,,,
90,0,0,0,0,0,,,,,,
93,0,0,0,0,0,,,,,,
96,0,0,0.000429704,0,0,,,,,,
99,0.001171885,0.001640651,0,0,0,,,,,,
102,0,0,0.001289076,0.000351564,0.00015624,,,,,,
105,0,0.003085981,0,0,0.001132816,,,,,,
108,0,0,0,0,0,,,,,,
111,0,0.004101624,0,0,0,,,,,,
114,0,0,0.00015626,0.00398444,0,,,,,,
117,0.00109376,0.002617224,0,0,0.002578164,,,,,,
120,0,0,0.004218816,0.002421906,0.002460978,,,,,,
123,0,0.001132831,0.001523456,0,0,,,,,,
126,0,0,0.004882886,0.001445336,0,,,,,,
129,0.001015634,0.001484406,0,0,0,,,,,,
132,0,0.000546885,0,0,0.000234376,,,,,,
135,0.000195314,0.002148465,0,0,0,,,,,,
138,0.00070314,0,0,0.001914086,0,,,,,,
141,0.004687566,0.00324224,0,0.001171886,0,,,,,,
144,0,0.00378913,0.001289078,0.005546956,0.00121095,,,,,,
147,0,0.00066408,0.001015637,0.00289067,0.00078126,,,,,,
150,0,0,0.002031287,0.004961015,0.00281255,,,,,,
153,0.000156246,0,0,0,0.00230473,,,,,,
156,3.91E-05,0.001367199,0,0,0.002382854,,,,,,
159,0.004414136,0,0.002304724,0.001093769,0.002343788,,,,,,
162,0.011758,0.002421916,0.01402365,0.024453489,0.021289388,,,,,,
165,0.024453505,0.009648586,0.033359885,0.058360265,0.05605554,,,,,,
168,0.034375521,0.018008084,0.050117951,0.09230608,0.095665518,,,,,,
171,0.030352025,0.017265874,0.054102381,0.09566551,0.102775008,,,,,,
174,0.02257847,0.015312734,0.036641176,0.06703227,0.080743442,,,,,,
177,0.009648588,0.008476696,0.017734644,0.02964892,0.037969354,,,,,,
180,0.004726634,0.004375076,0.004179754,0.00601575,0.011953324,,,,,,
183,0,0,0.001523464,0.0002344,0,,,,,,
186,0,0,0,0,0,,,,,,
189,0,0,0,0,0,,,,,,
192,0,0,0,0,0,,,,,,
195,0,0,0,0,0,,,,,,
198,0,0,0,0,0,,,,,,
