input,sec,interval,sum,value,slope
Table,0,10,0,0.08605831,-0.0003085050000000006
Table,3,10,0,0.08642127,-0.0007742799999999883
Table,6,10,0,0.08613587,-0.0019285140000000062
Table,9,10,0.0011708939999999918,0.085749805,-0.0017375250000000036
Table,12,10,0.0008130140000000008,0.08564699,-0.0006146500000000082
Table,15,10,0,0.084207356,0.0010638040000000015
Table,18,10,0,0.08401228,0.0007217399999999985
Table,21,10,0.0008699500000000082,0.08503234,-0.0009725299999999992
Table,24,10,0.0005855600000000127,0.08527116,-0.00016976999999999964
Table,27,10,0,0.08473402,0.00024340000000000472
Table,30,10,0,0.08405981,0.0007963200000000031
Table,33,10,0,0.08510139,-0.0004541599999999951
Table,36,10,0.00018967999999998375,0.08497742,-0.0010098759999999929
Table,39,10,0.0009761019999999926,0.08485613,-0.0005011260000000045
Table,42,10,0.00019348199999999482,0.08464723,0.0002739699999999984
Table,45,10,0.0005446560000000045,0.083967544,0.0004168359999999899
Table,48,10,0.00039024000000000003,0.084355004,0.0002852960000000043
Table,51,10,0.001798504999999992,0.0849212,-0.0005086499999999994
Table,54,10,0.0003855650000000044,0.08438438,0.0007680099999999995
Table,57,10,0,0.0846403,0.00013087999999999989
Table,60,10,0,0.08441255,0.0008996149999999925
Table,63,10,0,0.08515239,-0.000644929999999988
Table,66,10,0,0.08477118,-0.0006360900000000058
Table,69,10,0.0015108599999999889,0.085312165,-0.0011809549999999974
Table,72,10,0.0005497799999999997,0.08450746,0.0005051299999999925
Table,75,10,0.00006451999999999847,0.08413509,0.00026914000000000105
Table,78,10,0,0.08413121,0.0007365899999999953
Table,81,10,0.00023627399999999465,0.08501259,-0.00045594999999999664
Table,84,10,0.0008696839999999956,0.08440423,-0.0002161200000000002
Table,87,10,0.0016715600000000025,0.0848678,-0.00014543999999999668
Table,90,10,0.0007618520000000212,0.08455664,0.0005978339999999915
Table,93,10,0,0.08418811,0.0004172900000000007
Table,96,10,0,0.08472236,0.0006564360000000102
Table,99,10,0,0.085154474,-0.00031187399999998977
