input,sec,interval,sum,value,slope
Table,0,10,0,0.085899584,-0.0017128839999999979
Table,3,10,0,0.08591562,-0.0008634299999999984
Table,6,10,0,0.08461537,0.00009862500000000496
Table,9,10,0,0.0841867,0.00009228000000000014
Table,12,10,0,0.08505219,-0.0013456550000000012
Table,15,10,0.000005009999999999737,0.084713995,-0.0012349450000000012
Table,18,10,0.003016576000000007,0.08427898,-0.001266650000000008
Table,21,10,0.0027746309999999996,0.083706535,0.000592590000000004
Table,24,10,0.001902850999999997,0.08347905,0.0006790700000000038
Table,27,10,0,0.08301233,0.0017449159999999991
Table,30,10,0,0.084299125,0.00035064499999999665
Table,33,10,0,0.08415812,-0.00019270999999999872
Table,36,10,0.001349274999999997,0.084757246,-0.0013534159999999962
Table,39,10,0.001312720999999989,0.08464977,-0.00004366999999999566
Table,42,10,0.0016669210000000018,0.08396541,-0.000001360000000005801
Table,45,10,0,0.08340383,0.0013943049999999985
Table,48,10,0.00018541000000001084,0.0846061,-0.00008022400000000374
Table,51,10,0.00011380999999999197,0.08396405,0.00035284000000000704
Table,54,10,0.0008666149999999873,0.084798135,-0.0006347599999999981
Table,57,10,0,0.084525876,0.0004673300000000019
Table,60,10,0,0.08431689,0.00028123999999998817
Table,63,10,0,0.084163375,0.00011804499999999718
Table,66,10,0,0.084993206,-0.0014045859999999993
Table,69,10,0.0004718759999999961,0.08459813,-0.0004677459999999911
Table,72,10,0.0005227099999999957,0.08428142,-0.0003888699999999995
Table,75,10,0,0.08358862,0.0007369299999999968
Table,78,10,0,0.084130384,0.00012381599999999882
Table,81,10,0.0005540820000000113,0.08389255,-0.0003380359999999999
Table,84,10,0.0018990660000000187,0.08432555,-0.0004750840000000006
Table,87,10,0.001413596000000017,0.0842542,0.0002570900000000015
Table,90,10,0.0006100200000000028,0.083554514,0.0007720760000000104
Table,93,10,0,0.083850466,0.0008699000000000068
Table,96,10,0.0001519839999999939,0.08451129,-0.00022838000000000025
Table,99,10,0.0004786139999999883,0.08432659,-0.00003150000000000375
Table,102,10,0.00023341499999998683,0.084720366,-0.00035846600000000173
Table,105,10,0,0.08428291,0.0005419499999999994
Table,108,10,0,0.08429509,0.0002951299999999907
Table,111,10,0,0.0843619,-0.0006036650000000032
Table,114,10,0,0.08482486,-0.0006562999999999986
Table,117,10,0,0.08459022,-0.00030585499999999377
Table,120,10,0,0.083758235,0.00026469499999999535
Table,123,10,0.0017581789999999986,0.08416856,-0.000854745000000004
Table,126,10,0.002469346000000011,0.084284365,-0.00007677100000000325
Table,129,10,0.0022584620000000027,0.08402293,0.00011528500000000663
Table,132,10,0,0.083313815,0.0017196649999999952
Table,135,10,0,0.084207594,0.0006343960000000093
Table,138,10,0,0.084138215,-0.00009559900000000177
Table,141,10,0.0008840549999999947,0.08503348,-0.0016125549999999877
