input,sec,interval,sum,value,slope
Table,0,10,0,0.08496059,-0.0010677300000000028
Table,3,10,0.00029255000000000253,0.08526701,-0.0018007500000000037
Table,6,10,0.0007669500000000024,0.08467349,-0.0006452400000000053
Table,9,10,0.0005024199999999895,0.08389286,-0.000027689999999996884
Table,12,10,0,0.08346626,0.0009654800000000047
Table,15,10,0.00006594399999998446,0.08402825,-0.00017084000000000543
Table,18,10,0.00017132999999999732,0.08386517,-0.0002922200000000097
Table,21,10,0,0.08443174,-0.000017146000000009542
Table,24,10,0,0.08385741,0.0003753100000000037
Table,27,10,0,0.08357295,-0.00018683399999999684
Table,30,10,0.00038642900000000757,0.084414594,-0.0014818939999999975
Table,33,10,0.002249949000000015,0.08423272,-0.0009511199999999997
Table,36,10,0.003033585000000019,0.083386116,-0.00008650600000000008
Table,39,10,0.0008221450000000102,0.0829327,0.0014240550000000074
Table,42,10,0.00014374999999999805,0.0832816,0.0009124000000000076
Table,45,10,0,0.08329961,0.0006971300000000041
Table,48,10,0.0003748249999999814,0.084356755,-0.0007873850000000016
Table,51,10,0,0.084194,0.00023400499999999547
Table,54,10,0,0.08399674,0.00010304999999999342
Table,57,10,0,0.08356937,0.00003776999999999253
Table,60,10,0.0009234400000000115,0.084428005,-0.0014761050000000053
Table,63,10,0.001419860000000009,0.08409979,-0.00009634999999999505
Table,66,10,0.001251550000000018,0.08360714,-0.00016309999999999936
Table,69,10,0,0.0829519,0.0011828900000000059
Table,72,10,0,0.08400344,0.00040007000000000237
Table,75,10,0,0.08344404,-0.0003314099999999903
Table,78,10,0.0016484209999999971,0.08413479,-0.0015550950000000063
Table,81,10,0.0017818409999999923,0.08440351,-0.0005552100000000004
Table,84,10,0.001200329,0.08311263,0.0005704659999999917
Table,87,10,0,0.082579695,0.0016331650000000059
Table,90,10,0.00047543900000000805,0.0838483,-0.0004217900000000052
Table,93,10,0.0007329690000000139,0.083683096,-0.000011046000000000666
Table,96,10,0.0010450950000000098,0.08421286,-0.0004271849999999966
Table,99,10,0,0.08342651,0.0009136700000000053
Table,102,10,0,0.08367205,0.00024648400000000514
Table,105,10,0,0.083785675,-0.00011505900000000069
Table,108,10,0.0001749449999999958,0.08434018,-0.0014721899999999982
Table,111,10,0.0010362989999999905,0.083918534,-0.0006032289999999968
Table,114,10,0.0014752349999999914,0.083670616,-0.0004130960000000017
Table,117,10,0.0002959750000000039,0.08286799,0.0011912699999999943
Table,120,10,0.0003796199999999972,0.083315305,0.00025812499999999794
Table,123,10,0.0005317299999999942,0.08325752,0.000025839999999999197
Table,126,10,0,0.08405926,0.000012010000000006738
Table,129,10,0,0.08357343,0.00034176999999999125
Table,132,10,0,0.08328336,0.00017794999999999617
Table,135,10,0.0006959449999999895,0.08407127,-0.0007516949999999967
Table,138,10,0.0009180349999999976,0.0839152,-0.00010519999999999974
Table,141,10,0,0.08346131,0.0006459300000000029
Table,144,10,0,0.083319575,0.00015521499999998634
Table,147,10,0,0.08381,0.00011689000000000838
Table,150,10,0,0.08410724,-0.0003545699999999985
Table,153,10,0.0006094989999999995,0.08347479,-0.0004870049999999987
Table,156,10,0.0006605390000000017,0.08392689,-0.00019784000000000468
Table,159,10,0.0008818960000000209,0.08375267,0.000023453999999992203
Table,162,10,0.00003021100000000221,0.082987785,0.0007838850000000119
Table,165,10,0.00037270100000000306,0.08372905,-0.00014680000000000248
Table,168,10,0.0004347149999999883,0.083776124,0.00024481100000001144
Table,171,10,0.001053484999999993,0.08377167,-0.00006780000000000674
Table,174,10,0.0009412750000000053,0.08358225,0.00019568999999999837
Table,177,10,0.000748890000000002,0.084020935,0.0003068249999999967
Table,180,10,0.0003529950000000087,0.08370387,0.0005509699999999979
Table,183,10,0,0.08377794,0.00008348000000001077
