input,sec,interval,sum,value,slope
Table,0,10,0,0.087053664,-0.002065404000000007
Table,3,10,0.0008627290000000065,0.08734554,-0.001924194000000004
Table,6,10,0.0008227489999999976,0.08599248,-0.000157789999999991
Table,9,10,0,0.08498826,0.0004769849999999992
Table,12,10,0,0.085421346,0.0005435339999999983
Table,15,10,0,0.08583469,-0.0001977699999999999
Table,18,10,0,0.085465245,-0.0009527149999999929
Table,21,10,0.00011536600000000563,0.08596488,-0.000519569999999997
Table,24,10,0.0004886860000000021,0.08563692,-0.0007905200000000029
Table,27,10,0,0.08451253,0.0006195699999999998
Table,30,10,0,0.08544531,0.0002863160000000087
Table,33,10,0,0.0848464,-0.00041720000000000645
Table,36,10,0.0012354640000000056,0.0851321,-0.0008443000000000062
Table,39,10,0.0031453300000000156,0.085731626,-0.0008968760000000048
Table,42,10,0.002206570000000019,0.0844292,0.0006471700000000025
Table,45,10,0,0.0842878,0.0014851700000000079
Table,48,10,0,0.08483475,0.0010129900000000053
Table,51,10,0,0.08507637,-0.00029158999999999435
Table,54,10,0.0007244759999999878,0.08577297,-0.001368229999999998
Table,57,10,0.00179832399999999,0.08584774,-0.0005529940000000011
Table,60,10,0.0014350490000000077,0.08478478,0.00007921999999999096
Table,63,10,0,0.08440474,0.001198249999999998
Table,66,10,0,0.085294746,0.0005208540000000011
Table,69,10,0,0.084864,-0.0002840549999999914
Table,72,10,0,0.08560299,-0.0006426260000000072
Table,75,10,0,0.0858156,-0.00045894999999999964
Table,78,10,0,0.084579945,0.00023728499999998987
Table,81,10,0,0.084960364,-0.00017130399999999713
Table,84,10,0.0020094999999999974,0.08535665,-0.0010226100000000071
Table,87,10,0.0015730600000000011,0.08481723,0.0005419200000000013
Table,90,10,0.0011920100000000072,0.08478906,0.00009112000000000009
Table,93,10,0,0.08433404,0.001376459999999996
Table,96,10,0,0.08535915,0.00010548000000000501
Table,99,10,0,0.08488018,-0.0002899299999999938
Table,102,10,0.0017613259999999936,0.0857105,-0.0014431149999999948
Table,105,10,0.0014479560000000002,0.08546463,0.000026689999999995884
Table,108,10,0.0005231910000000062,0.08459025,0.00040722499999999717
Table,111,10,0,0.084267385,0.0013274110000000006
Table,114,10,0.00022964400000000107,0.08549132,-0.0002866799999999975
Table,117,10,0.0016059689999999988,0.084997475,-0.0005175399999999969
Table,120,10,0.0016940649999999946,0.085594796,0.00013889400000000052
Table,123,10,0.00028640500000000346,0.08520464,0.0006082899999999974
Table,126,10,0,0.084479935,0.0008587850000000008
Table,129,10,0,0.08573369,0.00022698999999999636
Table,132,10,0,0.08581293,-0.0007993699999999937
Table,135,10,0.00037591000000000707,0.08533872,-0.0010904500000000067
Table,138,10,0.000910695000000003,0.08596068,-0.0003650699999999951
Table,141,10,0.0005048809999999987,0.08501356,0.00005099000000000076
Table,144,10,0,0.08424827,0.0006899900000000014
Table,147,10,0,0.08559561,0.00016971500000000084
Table,150,10,0.0006420790000000037,0.08506455,-0.0003548240000000036
Table,153,10,0.0019343140000000064,0.08493826,-0.0004689699999999991
Table,156,10,0.0017269190000000073,0.085765325,0.00007082499999999659
Table,159,10,0.0002693549999999989,0.084709726,0.0010402240000000063
Table,162,10,0,0.08446929,0.0008232650000000036
Table,165,10,0,0.08583615,-0.00013657000000000252
Table,168,10,0,0.08574995,-0.00041734000000000215
Table,171,10,0.00040492400000000095,0.085292555,-0.00033777900000001027
Table,174,10,0,0.08569958,-0.000006034000000001982
Table,177,10,0,0.08533261,0.00006621999999999184
Table,180,10,0,0.084954776,0.0003447380000000111
Table,183,10,0.0002671449999999964,0.085693546,-0.001094345999999996
Table,186,10,0.00008682499999999871,0.08539883,-0.00004213999999999607
Table,189,10,0.0011768230000000074,0.085299514,-0.0004388690000000084
Table,192,10,0.00030621500000001245,0.0845992,0.0007481540000000009
Table,195,10,0.0014226650000000035,0.08535669,-0.00022245999999999377
Table,198,10,0.0006159720000000063,0.084860645,0.0006511290000000003
Table,201,10,0.0001300309999999888,0.085347354,-0.00012245399999999407
Table,204,10,0,0.08513423,0.0008939899999999973
Table,207,10,0,0.085511774,-0.00015556399999999693
Table,210,10,0.0005078449999999929,0.0852249,-0.0006083950000000116
Table,213,10,0.0016141449999999974,0.08602822,-0.000785030000000006
Table,216,10,0,0.08535621,0.0005992999999999971
Table,219,10,0,0.084616505,0.0006935750000000018
Table,222,10,0,0.08524319,0.0003212699999999985
Table,225,10,0.00022834400000000532,0.08595551,-0.001704620000000004
Table,228,10,0.00140201999999999,0.08531008,-0.0007843159999999932
Table,231,10,0.0011557399999999884,0.08556446,-0.0004186099999999998
Table,234,10,0,0.08425089,0.0014312699999999984
Table,237,10,0,0.084525764,0.0003893599999999914
Table,240,10,0,0.08514585,-0.0006648900000000013
Table,243,10,0.0015658560000000044,0.08568216,-0.0008422699999999922
Table,246,10,0.0008958700000000069,0.084915124,0.00017936600000000025
Table,249,10,0.00048756000000001187,0.08448096,0.0004423399999999994
Table,252,10,0,0.08483989,0.0009441500000000047
Table,255,10,0.00035786999999999625,0.08509449,-0.0004906199999999972
Table,258,10,0.0006290499999999921,0.0849233,0.000034030000000004335
Table,261,10,0.0007122900000000043,0.08578404,-0.0006720700000000107
Table,264,10,0,0.08460387,0.0009959100000000026
Table,267,10,0,0.08495733,0.0003052100000000002
Table,270,10,0.0006107399999999985,0.08511197,-0.0005888299999999985
Table,273,10,0.00021895000000000941,0.08559978,-0.00009056000000000342
Table,276,10,0,0.08526254,-0.00007313999999999932
Table,279,10,0,0.08452314,0.0007744400000000012
Table,282,10,0,0.08550922,-0.0004823499999999925
Table,285,10,0.0007697149999999903,0.0851894,-0.0008662899999999918
Table,288,10,0.0022347349999999877,0.08529758,-0.00043500999999999956
Table,291,10,0.001992084999999977,0.08502687,0.00046285000000000076
Table,294,10,0.0015628649999999966,0.08432311,0.0007418749999999891
Table,297,10,0,0.08486257,0.0010300099999999979
Table,300,10,0,0.08548972,0.00022019999999998985
Table,303,10,0,0.085064985,0.0003126550000000089
Table,306,10,0.00011434000000000444,0.08589258,-0.0009374600000000011
Table,309,10,0,0.08570992,-0.0002405299999999888
Table,312,10,0,0.08537764,-0.00009008000000000627
Table,315,10,0,0.08495512,0.0004449499999999995
Table,318,10,0.0005407500000000065,0.08546939,-0.0009286400000000083
Table,321,10,0.002343625000000016,0.08528756,-0.0007209900000000047
Table,324,10,0.002568205000000018,0.08540007,-0.00018179999999999585
Table,327,10,0.0016060989999999997,0.08454075,0.001443540000000007
Table,330,10,0.0016130040000000012,0.08456657,0.0010818850000000046
Table,333,10,0.002211119999999997,0.08521827,0.000042780000000006146
Table,336,10,0.001689542000000016,0.08598429,0.0004814339999999889
Table,339,10,0,0.085648455,0.0010887900000000061
Table,342,10,0,0.08526105,0.0006408960000000019
Table,345,10,0,0.086465724,-0.000040143999999991964
Table,348,10,0,0.086737245,-0.0009175150000000076
Table,351,10,0,0.085901946,-0.00042376600000000597
Table,354,10,0.0006635150000000034,0.08642558,-0.00044384999999999564
Table,357,10,0.00006148000000000264,0.08581973,0.00021194500000000505
Table,360,10,0,0.08547818,0.00012067000000000327
Table,363,10,0,0.08598173,0.0003308999999999951
Table,366,10,0.00007116499999999804,0.086031675,-0.0003900899999999957
Table,369,10,0.0008223369999999924,0.08559885,-0.00029933599999999727
Table,372,10,0.0007989469999999804,0.08631263,0.00008492000000000222
Table,375,10,0.0004505699999999835,0.085641585,0.0002855809999999931
Table,378,10,0,0.085299514,0.00045183599999999713
Table,381,10,0,0.08639755,0.0000615299999999902
Table,384,10,0,0.085927166,-0.00006279600000000385
Table,387,10,0,0.08575135,-0.0005247000000000029
Table,390,10,0,0.08645908,-0.00043902999999999304
Table,393,10,0,0.08586437,-0.00041508999999999296
Table,396,10,0,0.08522665,0.00026020999999999683
Table,399,10,0,0.08602005,-0.0010817699999999958
Table,402,10,0.001210669999999997,0.08544928,-0.0009122599999999981
Table,405,10,0.0019800700000000004,0.08548686,-0.00039163999999999866
Table,408,10,0.000020520000000009975,0.08493828,0.0007896399999999942
Table,411,10,0,0.08453702,0.0008126700000000014
Table,414,10,0,0.08509522,0.00037776000000000476
Table,417,10,0.0011157149999999894,0.08572792,-0.0011699099999999962
Table,420,10,0.00026885099999998663,0.08534969,0.00017564999999999942
Table,423,10,0.0006365609999999938,0.08547298,-0.0003395500000000079
Table,426,10,0,0.08455801,0.0012796149999999978
Table,429,10,0.0007038089999999858,0.08552534,-0.0006712140000000033
Table,432,10,0.0006412339999999905,0.08513343,0.000028159999999999297
Table,435,10,0.0018090590000000017,0.085837625,-0.0005848350000000058
Table,438,10,0,0.084854126,0.0012604839999999923
Table,441,10,0,0.08516159,-0.000034414999999995977
Table,444,10,0,0.08525279,0.0005829900000000054
Table,447,10,0.00023749100000000634,0.08611461,-0.0013637599999999916
Table,450,10,0,0.085127175,0.00026629100000000183
Table,453,10,0.00010809399999998914,0.08583578,-0.000705269999999994
Table,456,10,0,0.08475085,0.0006764699999999985
Table,459,10,0,0.085393466,-0.0003078860000000072
Table,462,10,0.00011335500000000942,0.08513051,-0.0002604900000000021
Table,465,10,0.0015488649999999965,0.08542732,-0.00043019499999999433
Table,468,10,0.001959714999999987,0.08508558,0.000046150000000008684
Table,471,10,0.0018012249999999896,0.08487002,0.0004973999999999951
Table,474,10,0.0005592299999999939,0.084997125,0.0010053149999999927
Table,477,10,0,0.08513173,0.0004569999999999991
Table,480,10,0,0.08536742,0.0003389099999999978
Table,483,10,0,0.08600244,-0.000236680000000003
Table,486,10,0,0.08558873,-0.00010919500000000637
Table,489,10,0,0.08570633,-0.000331885000000004
Table,492,10,0,0.08576576,-0.00008676500000000253
Table,495,10,0,0.085479535,-0.0008474750000000003
Table,498,10,0.0015443769999999996,0.085374445,-0.0010149709999999895
Table,501,10,0.0013995750000000001,0.085678995,0.000036381000000001995
Table,504,10,0,0.08463206,0.000692230000000002
Table,507,10,0,0.084359474,0.0008157659999999956
Table,510,10,0,0.085715376,-0.00010842099999999744
Table,513,10,0.0008500389999999969,0.08532429,-0.0007150199999999968
Table,516,10,0.000912118999999989,0.08517524,-0.00003256999999999566
Table,519,10,0,0.085606955,0.000340468999999996
Table,522,10,0,0.08460927,0.0005421399999999965
Table,525,10,0,0.08514267,0.000029509999999996483
Table,528,10,0.0014565150000000054,0.085947424,-0.0014308089999999912
Table,531,10,0.0012094149999999915,0.08515141,0.00023145000000000804
Table,534,10,0.0021595949999999864,0.08517218,-0.0001576499999999953
Table,537,10,0,0.084516615,0.0013827149999999927
Table,540,10,0,0.08538286,-0.000015650000000005937
Table,543,10,0,0.08501453,0.0007925299999999996
Table,546,10,0.00029199499999998935,0.08589933,-0.0010347099999999942
Table,549,10,0,0.08536721,-0.000033140000000000946
Table,552,10,0,0.08580706,-0.0006102300000000033
Table,555,10,0,0.08486462,0.0009353649999999936
Table,558,10,0.000048970000000009284,0.08533407,-0.000929474999999999
Table,561,10,0.0004747199999999979,0.08519683,-0.0002567299999999967
Table,564,10,0.002332654999999975,0.085799985,-0.0009918749999999893
Table,567,10,0.0003382499999999844,0.084404595,0.0012975749999999953
Table,570,10,0.00005971999999999922,0.0849401,0.00016901999999999195
Table,573,10,0,0.08480811,0.000866059999999988
Table,576,10,0.0003426900000000205,0.08570217,-0.0006968299999999955
Table,579,10,0.0007942900000000169,0.08510912,-0.00010950999999999322
Table,582,10,0.0011988100000000085,0.08567417,-0.00040451999999999155
Table,585,10,0.0003420900000000032,0.08500534,0.0008567200000000053
Table,588,10,0,0.08499961,0.0003420900000000032
Table,591,10,0,0.08526965,NaN
Table,594,10,0,0.08586206,NaN
Table,597,10,0,0.0853417,NaN
Table,600,10,0,0.08574742,NaN
