input,sec,interval,sum,value,slope
Table,0,10,0,0.08524075,-0.00019328999999999874
Table,3,10,0,0.08538186,-0.001019375000000003
Table,6,10,0,0.0847567,-0.0005341150000000017
Table,9,10,0.00006839999999999624,0.08504746,-0.0016137100000000043
Table,12,10,0,0.084362485,0.000022435000000001204
Table,15,10,0,0.084222585,-0.0005772650000000074
Table,18,10,0,0.08343375,0.0006232300000000024
Table,21,10,0,0.08438492,-0.000667483999999996
Table,24,10,0.0003386429999999857,0.08364532,-0.00036558999999999897
Table,27,10,0.0023432529999999757,0.08405698,-0.000840805
Table,30,10,0.0010231309999999966,0.083717436,0.000631957999999988
Table,33,10,0,0.08327973,0.0005474899999999977
Table,36,10,0,0.083216175,0.00116380499999999
Table,39,10,0,0.084349394,-0.0006881639999999911
Table,42,10,0,0.08382722,-0.000831804999999991
Table,45,10,0.001993846999999979,0.08437998,-0.0016070199999999868
Table,48,10,0.0014883569999999818,0.08366123,0.000014299999999994872
Table,51,10,0.00003936000000000217,0.082995415,0.0006929109999999905
Table,54,10,0,0.08277296,0.0012866359999999938
Table,57,10,0.00017791200000001617,0.08367553,-0.0004911900000000025
Table,60,10,0.001715328000000002,0.083688326,-0.0007560859999999892
Table,63,10,0.0018496840000000042,0.084059596,0.0000060139999999986316
Table,66,10,0.00024542599999999304,0.08318434,0.0009279840000000067
Table,69,10,0,0.08293224,0.0007813299999999967
Table,72,10,0,0.08406561,0.00014037000000000077
Table,75,10,0,0.084112324,-0.0006762740000000045
Table,78,10,0.000807039999999995,0.08371357,-0.000731339999999997
Table,81,10,0.0012267039999999951,0.08420598,-0.00035994000000000304
Table,84,10,0.0013090639999999987,0.08343605,0.00018706000000000278
Table,87,10,0,0.08298223,0.0009799199999999952
Table,90,10,0,0.08384604,0.00005972399999999711
Table,93,10,0,0.08362311,0.0002694200000000063
Table,96,10,0.0009956159999999908,0.08396215,-0.0006695999999999924
Table,99,10,0.00017925199999997699,0.083905764,0.00021597000000000977
Table,102,10,0.00047189599999998555,0.08389253,-0.00019209000000000587
Table,105,10,0,0.08329255,0.0009717359999999869
Table,108,10,0.0000808130000000129,0.084121734,-0.0006003940000000041
Table,111,10,0,0.08370044,0.0001005540000000027
Table,114,10,0.000661240999999993,0.084264286,-0.00046500599999999004
Table,117,10,0,0.08352134,0.00044526500000000024
Table,120,10,0,0.083800994,-0.00016822400000000848
Table,123,10,0,0.08379928,0.0003842000000000012
Table,126,10,0,0.083966605,-0.00040265899999999966
Table,129,10,0,0.08363277,-0.0001612559999999985
Table,132,10,0.0017661300000000046,0.08418348,-0.0009992600000000018
Table,135,10,0.001657056000000004,0.083563946,0.0002782939999999984
Table,138,10,0.0010633999999999921,0.083471514,0.0002184510000000084
Table,141,10,0,0.08318422,0.0012693849999999979
Table,144,10,0,0.08384224,0.0001692199999999977
Table,147,10,0,0.083689965,-0.00037520500000000345
Table,150,10,0.0016765210000000003,0.084453605,-0.0008485909999999958
Table,153,10,0.0009491410000000006,0.08401146,0.000147880000000003
Table,156,10,0,0.08331476,0.000618179999999996
Table,159,10,0,0.083605014,0.0009104610000000013
Table,162,10,0,0.08415934,-0.0005794999999999967
Table,165,10,0.000802864999999986,0.08393294,-0.0009949199999999964
Table,168,10,0.0015172599999999925,0.084515475,-0.0009563750000000093
Table,171,10,0.000461536999999998,0.08357984,0.0007510839999999991
Table,174,10,0,0.08293802,0.0010081559999999962
Table,177,10,0,0.0835591,-0.00024198000000000275
Table,180,10,0,0.084330924,-0.00030463899999999544
Table,183,10,0.0002473100000000006,0.083946176,-0.00021469600000000033
Table,186,10,0,0.08331712,0.00030383999999999967
Table,189,10,0,0.084026285,-0.00008936500000000791
Table,192,10,0,0.08373148,0.00003283500000000883
Table,195,10,0.0011731599999999787,0.08362096,-0.0006904849999999907
Table,198,10,0.0012054699999999863,0.08393692,0.0000688499999999953
Table,201,10,0.0006942050000000033,0.083764315,0.00002040499999998724
Table,204,10,0,0.082930475,0.0010839049999999961
Table,207,10,0,0.08400577,0.00010116000000000291
Table,210,10,0,0.08378472,-0.0004908599999999957
Table,213,10,0.00037071600000000704,0.08401438,-0.0005910560000000065
Table,216,10,0.0002822160000000157,0.08410693,-0.00017069000000000112
Table,219,10,0.00017211100000001645,0.08329386,0.00039068000000000436
Table,222,10,0,0.083423324,0.0001507260000000038
Table,225,10,0.0004222610000000071,0.08393624,-0.0002591899999999925
Table,228,10,0,0.08368454,0.0002805750000000051
Table,231,10,0.0011138929999999908,0.08357405,-0.00033379399999999837
Table,234,10,0,0.08367705,0.00047548000000000035
Table,237,10,0,0.083965115,-0.0003032910000000111
Table,240,10,0,0.083240256,0.0009417040000000015
Table,243,10,0.00007717599999999825,0.08415253,-0.0009607199999999982
Table,246,10,0.000495819999999994,0.083661824,-0.00018048399999999465
Table,249,10,0.000595266000000011,0.08418196,-0.0005656400000000061
Table,252,10,0,0.08319181,0.000823299999999999
Table,255,10,0,0.08348134,0.00023816000000000115
Table,258,10,0,0.08361632,-0.00046619399999998923
Table,261,10,0.0016485639999999913,0.08401511,-0.0012818900000000077
Table,264,10,0.0015526540000000005,0.0837195,0.00009181999999999246
Table,267,10,0.0012768300000000204,0.083150126,0.000427963999999989
Table,270,10,0.00008005500000000942,0.08273322,0.0011287800000000098
Table,273,10,0.0008076450000000096,0.08381132,-0.000004089999999998262
Table,276,10,0.001040608999999998,0.08357809,0.00015214000000000893
Table,279,10,0.0007773189999999985,0.083862,-0.00006799500000000125
Table,282,10,0,0.08380723,0.0007235000000000019
Table,285,10,0,0.08373023,0.0003851039999999972
Table,288,10,0,0.083794005,-0.0003312850000000006
Table,291,10,0.0008414759999999799,0.08453073,-0.0016693659999999916
Table,294,10,0.002171659999999992,0.084115334,-0.0009358940000000066
Table,297,10,0.0014879299999999984,0.08346272,0.000598009999999996
Table,300,10,0.0007393460000000157,0.082861364,0.0011793599999999904
Table,303,10,0.0006651060000000125,0.08317944,0.00039429000000000547
Table,306,10,0.001767246000000014,0.08406073,-0.00008571999999999746
Table,309,10,0.0018314999999999998,0.084040724,0.0004307760000000077
Table,312,10,0.002191989999999991,0.08357373,0.0003200500000000023
Table,315,10,0.000011459999999977044,0.08397501,0.001016420000000004
Table,318,10,0,0.0844715,0.0004950299999999935
Table,321,10,0,0.08389378,0.0006805399999999934
Table,324,10,0.0009553010000000195,0.08499143,-0.0011641100000000099
Table,327,10,0.0014505890000000299,0.08496653,-0.0004866840000000011
Table,330,10,0.0016038190000000063,0.08457432,0.00009452500000001196
Table,333,10,0,0.08382732,0.0013474600000000087
Table,336,10,0.00010769499999997711,0.084479846,0.000008604000000009271
Table,339,10,0,0.084668845,0.0002477549999999884
Table,342,10,0.0013664639999999978,0.08517478,-0.0008279200000000098
Table,345,10,0.00002220899999999526,0.08448845,0.0006878599999999985
Table,348,10,0.00009192099999999481,0.0849166,-0.000021145999999999665
Table,351,10,0,0.08434686,0.000699749999999999
Table,354,10,0.00020520100000000208,0.08517631,-0.0006563950000000041
Table,357,10,0,0.084895454,0.00004856599999999989
Table,360,10,0.0002946330000000025,0.08504661,-0.0002921359999999984
Table,363,10,0,0.084519915,0.0004487710000000006
Table,366,10,0,0.08494402,-0.0004312699999999975
Table,369,10,0,0.084754474,0.0002771319999999994
Table,372,10,0,0.084968686,-0.00020435600000000276
Table,375,10,0,0.08451275,-0.0005987600000000037
Table,378,10,0.0008253500000000163,0.085031606,-0.0010430810000000013
Table,381,10,0.0005636800000000108,0.08476433,-0.00006166999999999978
Table,384,10,0.0008015499999999981,0.08391399,0.0003376450000000114
Table,387,10,0,0.083988525,0.0005493750000000047
Table,390,10,0,0.08470266,-0.0003233400000000053
Table,393,10,0,0.084251635,0.0005755149999999987
Table,396,10,0,0.0845379,-0.0002869949999999982
Table,399,10,0,0.08437932,-0.0008286659999999918
Table,402,10,0.00016604100000000566,0.08482715,-0.0003584000000000087
Table,405,10,0,0.084250905,-0.0003347850000000041
