input,sec,interval,sum,value,slope
Table,0,10,0,0.08664208,-0.0015205699999999989
Table,3,10,0,0.085483134,-0.0006241740000000051
Table,6,10,0,0.08613945,-0.0019008240000000093
Table,9,10,0,0.08512151,-0.0015571399999999985
Table,12,10,0.0003085340000000131,0.08485896,-0.0005539700000000009
Table,15,10,0,0.084238626,0.0002101340000000007
Table,18,10,0,0.08356437,0.0002098400000000028
Table,21,10,0,0.08430499,-0.00011143999999999044
Table,24,10,0.0009491299999999925,0.08444876,-0.0011697499999999972
Table,27,10,0.0016510849999999966,0.08377421,-0.00020048000000000288
Table,30,10,0.0014559199999999994,0.08419355,-0.0003085000000000032
Table,33,10,0,0.08327901,0.0014581099999999986
Table,36,10,0,0.08357373,0.0005014750000000012
Table,39,10,0,0.08388505,-0.0005036650000000004
Table,42,10,0.0010774499999999937,0.08473712,-0.0016987499999999989
Table,45,10,0.00201175499999999,0.084075205,-0.0005597450000000004
Table,48,10,0.0017913319999999927,0.083381385,0.0003388589999999969
Table,51,10,0.00046878000000000197,0.08303837,0.0012983359999999972
Table,54,10,0.00034457000000001625,0.08351546,0.000374559999999996
Table,57,10,0.00044187400000002264,0.083720244,0.00011843599999999954
Table,60,10,0,0.084336706,-0.000024215999999993576
Table,63,10,0,0.08389002,0.0002503500000000103
Table,66,10,0,0.08383868,0.00021574000000000593
Table,69,10,0.00025152999999998593,0.08431249,-0.0010139400000000048
Table,72,10,0.0007938139999999899,0.08414037,-0.00039882000000000806
Table,75,10,0.001329994000000001,0.08405442,-0.0002684100000000106
Table,78,10,0,0.08329855,0.0009187600000000046
Table,81,10,0,0.08374155,0.00014346399999999593
Table,84,10,0,0.08378601,0.0002677700000000005
Table,87,10,0.0013717220000000196,0.08421731,-0.0007655900000000104
Table,90,10,0.0012908740000000113,0.083885014,0.00026506200000001034
Table,93,10,0.000625566000000008,0.08405378,-0.000017965999999994264
Table,96,10,0,0.08345172,0.0011246260000000036
Table,99,10,0,0.084150076,0.000184214000000002
Table,102,10,0,0.084035814,-0.0006832739999999976
Table,105,10,0.0017024199999999962,0.084576346,-0.0014406559999999985
Table,108,10,0.001194279999999992,0.08433429,0.00006504999999999705
Table,111,10,0.0002769100000000052,0.08335254,0.00047646999999999273
Table,114,10,0,0.08313569,0.0011609000000000064
Table,117,10,0,0.08439934,-0.0004430900000000071
Table,120,10,0.0008751260000000038,0.08382901,-0.0004408999999999941
Table,123,10,0.002056456000000012,0.08429659,-0.0004983800000000066
Table,126,10,0.00018568600000000435,0.08395625,0.0006466100000000058
Table,129,10,0,0.08338811,0.0007268960000000046
Table,132,10,0,0.08379821,0.0006829500000000016
Table,135,10,0.0006911439999999908,0.08460286,-0.001224160000000002
Table,138,10,0.0019894300000000004,0.084115006,-0.0007504560000000104
Table,141,10,0.0007855400000000012,0.08448116,0.0001639400000000013
Table,144,10,0,0.0833787,0.00127766
Table,147,10,0,0.08336455,0.0005478299999999992
Table,150,10,0,0.0846451,-0.0010399499999999978
Table,153,10,0.00012845100000000165,0.08465636,-0.00039859999999999896
Table,156,10,0.0005919010000000058,0.08391238,-0.0001238900000000015
Table,159,10,0,0.08360515,0.00021474600000000177
Table,162,10,0,0.08425776,0.00003759500000000138
Table,165,10,0,0.08378849,0.00033956000000000264
Table,168,10,0.00016743999999999093,0.083819896,-0.00040259600000000506
Table,171,10,0,0.084295355,-0.0002567400000000053
Table,174,10,0.0004730250000000019,0.08412805,-0.0002728300000000017
Table,177,10,0,0.0834173,0.0006970099999999979
Table,180,10,0.000442655000000014,0.084038615,-0.0005544950000000021
Table,183,10,0.0003196150000000092,0.08385522,0.0003305100000000061
Table,186,10,0.0008193910000000026,0.08411431,-0.00048603999999999314
Table,189,10,0.00005890100000000009,0.08348412,0.0005981850000000011
Table,192,10,0,0.08418573,0.00020747000000000126
Table,195,10,0.00033444900000000055,0.08362827,0.000013736000000000304
Table,198,10,0.00043619400000000086,0.084082305,-0.00016230500000000148
Table,201,10,0,0.0843932,0.00009528000000000314
Table,204,10,0,0.083642006,0.0004014739999999989
Table,207,10,0,0.08392,-0.00006056000000000117
Table,210,10,0.0015973460000000134,0.08448848,-0.0011203800000000042
Table,213,10,0.0013472660000000136,0.08404348,0.00015706000000000053
Table,216,10,0.0002761909999999951,0.08385944,0.00020147000000000914
Table,219,10,0,0.0833681,0.0012388160000000037
Table,222,10,0,0.08420054,-0.00009301999999999921
Table,225,10,0,0.08406091,-0.0008696050000000094
Table,228,10,0.0007271010000000078,0.084606916,-0.0016079920000000025
Table,231,10,0.0003085260000000173,0.08410752,-0.00015381000000000422
Table,234,10,0,0.083191305,0.0004347550000000089
Table,237,10,0,0.082998924,0.0004461560000000031
Table,240,10,0.0012165189999999854,0.08395371,-0.0005723849999999947
Table,243,10,0.0016903009999999913,0.08362606,0.00000981399999999688
Table,246,10,0.0011226810000000004,0.08344508,0.00015073999999999643
Table,249,10,0,0.083381325,0.001055964999999992
Table,252,10,0,0.083635874,0.0004835960000000028
Table,255,10,0,0.08359582,-0.0004168799999999945
Table,258,10,0.0015626699999999882,0.08443729,-0.0012838399999999944
Table,261,10,0.0023403699999999805,0.08411947,-0.0003427899999999956
Table,264,10,0.0013349499999999875,0.08317894,0.0007355399999999929
Table,267,10,0.00012847000000000552,0.08315345,0.001169919999999991
Table,270,10,0,0.08377668,0.0004349099999999967
Table,273,10,0.00001048000000000715,0.08391448,-0.0002698800000000001
Table,276,10,0.00012300999999999285,0.08432337,-0.000036559999999991044
Table,279,10,0.000895679999999982,0.08421159,-0.000410149999999998
Table,282,10,0,0.0836446,0.0004571899999999962
Table,285,10,0,0.08428681,0.00007596999999999465
Table,288,10,0,0.08380144,0.0003625199999999912
Table,291,10,0.00019526000000000265,0.08410179,-0.0009226999999999985
Table,294,10,0,0.08436278,-0.00015025999999999928
Table,297,10,0,0.08416396,0.0001482299999999992
