input,sec,interval,sum,value,slope
Table,0,10,0,0.08557328,-0.0006120700000000062
Table,3,10,0,0.08584931,-0.0016469399999999995
Table,6,10,0,0.08491113,-0.0005776900000000057
Table,9,10,0,0.08496121,-0.0014526699999999892
Table,12,10,0.000544270999999999,0.08420237,-0.001547334999999997
Table,15,10,0.0016531509999999916,0.08433344,-0.0006682549999999926
Table,18,10,0.0011290389999999983,0.08350854,0.00020880599999999194
Table,21,10,0,0.082655035,0.0010037199999999996
Table,24,10,0,0.083665185,0.00044062500000000004
Table,27,10,0,0.083717346,-0.0003153060000000013
Table,30,10,0.00047080399999999134,0.083658755,-0.0006128150000000027
Table,33,10,0.00023133999999999655,0.08410581,-0.000476716000000002
Table,36,10,0,0.08340204,0.000386079999999997
Table,39,10,0,0.08304594,0.0005614399999999964
Table,42,10,0.00008058600000000748,0.083629094,-0.0007161799999999968
Table,45,10,0.0004093859999999977,0.08378812,-0.00006822999999998858
Table,48,10,0.00043881599999999465,0.08360738,-0.0003008899999999981
Table,51,10,0,0.082912914,0.00044970599999999417
Table,54,10,0,0.08371989,0.00026057000000000163
Table,57,10,0,0.08330649,-0.00027146000000000114
Table,60,10,0.0005386659999999932,0.08336262,-0.0004037199999999963
Table,63,10,0.0002676159999999983,0.08398046,-0.000281660000000003
Table,66,10,0.0003695999999999977,0.08303503,0.00030283600000000077
Table,69,10,0,0.0829589,0.0005174899999999955
Table,72,10,0.0008992699999999937,0.0836988,-0.0005527099999999979
Table,75,10,0,0.083337866,0.0004048200000000002
Table,78,10,0.0007265899999999853,0.08347639,-0.00029044999999999765
Table,81,10,0,0.08314609,0.0007848999999999912
Table,84,10,0.0013056899999999982,0.083742686,-0.0005539160000000015
Table,87,10,0.0006409340000000097,0.08318594,0.0004956059999999957
Table,90,10,0.00006714600000001791,0.08393099,-0.0002596960000000037
Table,93,10,0,0.08318877,0.0010697800000000063
Table,96,10,0,0.083681546,-0.00016914999999999292
Table,99,10,0,0.083671294,-0.0008334839999999955
Table,102,10,0.0015995600000000137,0.08425855,-0.0015201300000000084
Table,105,10,0.0006422199999999989,0.083512396,0.00038293000000000355
Table,108,10,0.00012352999999998282,0.08283781,0.000752150000000007
Table,111,10,0,0.08273842,0.0004644800000000032
Table,114,10,0,0.083895326,-0.0005744100000000113
Table,117,10,0,0.08358996,0.0002334599999999909
Table,120,10,0,0.0832029,0.00001130000000000575
Table,123,10,0,0.083320916,-0.0002467109999999967
Table,126,10,0.001490570999999996,0.08382342,-0.0010569099999999942
Table,129,10,0.000658429000000002,0.0832142,0.0001775259999999973
Table,132,10,0.00029180399999999274,0.083074205,0.0002696050000000061
Table,135,10,0,0.08276651,0.0010434399999999927
Table,138,10,0.0012834800000000035,0.083391726,-0.0006546159999999968
Table,141,10,0.0014282200000000078,0.08334381,-0.00009702000000000321
Table,144,10,0.0013413800000000031,0.08380995,-0.00030893999999999366
Table,147,10,0,0.08273711,0.0016894400000000004
Table,150,10,0,0.08324679,0.000047720000000001095
Table,153,10,0.0009169849999999952,0.08350101,-0.00039577999999999836
Table,156,10,0.0008870650000000063,0.08442655,-0.00045725500000000363
Table,159,10,0.00006992500000001234,0.08329451,0.0007967299999999955
Table,162,10,0,0.08310523,0.0005775100000000033
Table,165,10,0.00034590999999999095,0.083969295,-0.0004871749999999925
Table,168,10,0,0.08409124,-0.000020409999999998485
Table,171,10,0,0.08368274,-0.00017388000000000126
Table,174,10,0,0.08348212,0.0005401999999999907
Table,177,10,0,0.08407083,-0.0008327699999999966
Table,180,10,0.0014406309999999978,0.08350886,-0.0006605350000000038
Table,183,10,0.0027404949999999956,0.08402232,-0.0007035199999999991
Table,186,10,0.001441233000000014,0.08323806,0.0008248959999999916
Table,189,10,0.00003653200000000578,0.082848325,0.0013192550000000053
Table,192,10,0,0.0833188,0.0005963439999999987
Table,195,10,0,0.084062956,-0.00047436599999998996
Table,198,10,0,0.08416758,-0.00008544600000000291
Table,201,10,0,0.083915144,0.00024360600000000732
Table,204,10,0,0.08358859,-0.0003719750000000105
Table,207,10,0,0.084082134,-0.0005905479999999963
Table,210,10,0,0.08415875,0.000016160000000001173
Table,213,10,0,0.083216615,0.00019143500000000369
Table,216,10,0.000021099999999996122,0.083491586,-0.0004554360000000035
Table,219,10,0.0026903399999999994,0.08417491,-0.001362130000000003
Table,222,10,0.0011504700000000007,0.08340805,0.0005715300000000006
Table,225,10,0.000017450000000002186,0.08303615,0.0008116999999999985
Table,228,10,0,0.08281278,0.0013071100000000002
Table,231,10,0,0.08397958,-0.0009683399999999981
Table,234,10,0,0.08384785,-0.00032131999999999994
Table,237,10,0.0007407900000000051,0.08411989,-0.0008330700000000052
Table,240,10,0.0003233549999999974,0.08301124,0.0007731400000000055
Table,243,10,0.0017304049999999904,0.08352653,-0.00026603000000000043
Table,246,10,0.0016959049999999976,0.08328682,0.00023368
Table,249,10,0.0005050949999999971,0.08378438,0.00035570499999999783
Table,252,10,0,0.0832605,0.0011410199999999926
Table,255,10,0,0.0835205,0.00019918000000000713
Table,258,10,0,0.084140085,-0.0008351050000000027
Table,261,10,0,0.08440152,-0.0005206199999999994
Table,264,10,0,0.08371968,-0.00041756000000001126
Table,267,10,0,0.08330498,-0.000005069999999995911
Table,270,10,0,0.0838809,0.00019961000000000284
Table,273,10,0.000456145000000005,0.08330212,-0.00027505999999999364
Table,276,10,0.0011504690000000012,0.08329991,-0.00020159499999999886
Table,279,10,0.0009973989999999822,0.08408051,-0.00024347999999999037
Table,282,10,0.0003276689999999888,0.08302706,0.0009012199999999942
Table,285,10,0,0.083098315,0.0004927289999999973
Table,288,10,0.0013764960000000048,0.08383703,-0.0003965500000000094
Table,291,10,0.0013872010000000046,0.08392828,0.00023149000000000086
Table,294,10,0.0008001050000000093,0.083591044,0.000161175999999999
Table,297,10,0,0.08344048,0.000983830000000005
Table,300,10,0,0.08415977,0.0002421950000000006
Table,303,10,0.0013293399999999844,0.08375222,-0.0004259199999999963
Table,306,10,0.004634519999999989,0.08442431,-0.0009581000000000034
Table,309,10,0.004240935000000001,0.084401965,0.0006942649999999995
Table,312,10,0.0042385950000000255,0.0833263,0.0015931749999999884
Table,315,10,0.002964725000000029,0.08346621,0.0023470800000000014
Table,318,10,0.0053024550000000115,0.08509623,0.0003006800000000115
Table,321,10,0.004960685999999992,0.084919475,0.0015908350000000127
Table,324,10,0.004721985999999984,0.08581329,0.001073210000000005
Table,327,10,0.001122035999999993,0.08539691,0.002638409999999994
Table,330,10,0,0.08651031,0.0012490659999999931
Table,333,10,0,0.0868865,0.0008345099999999966
Table,336,10,0.00008468300000000206,0.08803532,-0.0009615399999999968
Table,339,10,0,0.087759376,-0.0000027719999999981093
Table,342,10,0,0.08772101,-0.0003393599999999969
Table,345,10,0,0.08707378,0.00042681499999999706
Table,348,10,0,0.087756604,-0.0015792940000000089
